,MOF,CH4_comp,CO2_comp,O2_comp,N2_comp,CH4_mass,CH4_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,IRMOF-1_v2_EQeq,0.0,0.03,0.194,0.7759999999999999,0.0,0.0,2.2385681521,0.1193646408,1.8285500503999998,0.046810384000000003,5.827954735800001,0.2288070328,9.8950729383,0.3949820576
1,IRMOF-1_v2_EQeq,1e-05,0.03,0.193998,0.775992,0.0,0.0,2.3028537722999998,0.1166407399,1.830368211,0.0779142403,5.8327298841,0.2678989786,9.9659518674,0.4624539588
2,IRMOF-1_v2_EQeq,5e-05,0.03,0.19399,0.77596,0.0002604363,0.000637936,2.2649966849000003,0.1470559312,1.8550432472,0.153219426,5.7254027426,0.23272982469999998,9.845703111,0.5336431179
3,IRMOF-1_v2_EQeq,0.0001,0.03,0.19397999999999999,0.7759199999999999,0.0014323995000000002,0.0015185913,2.3032109146,0.11685487609999999,1.8368616415999999,0.06520594219999999,5.7742911651,0.3455741228,9.9157961208,0.5291535324000001
4,IRMOF-1_v2_EQeq,0.0005,0.03,0.1939,0.7756000000000001,0.0059900341000000005,0.0034353903,2.2914252176,0.09797423890000001,1.825692941,0.1040298649,5.9079953159,0.16897606899999998,10.0311035086,0.3744155631
5,IRMOF-1_v2_EQeq,0.001,0.03,0.1938,0.7752,0.00976636,0.0042794045,2.2382110098,0.1273671916,1.815303452,0.0440298647,5.8293190639,0.2795093543,9.892599885700001,0.4551858151
6,IRMOF-1_v2_EQeq,0.005,0.03,0.193,0.772,0.044664819800000005,0.005858369,2.2578538382,0.17610557780000002,1.8295889993,0.050295214299999995,5.8140840671000005,0.1521727056,9.9461917244,0.3844318667
7,IRMOF-1_v2_EQeq,0.01,0.03,0.192,0.768,0.09909599960000001,0.0147186818,2.2646395425,0.0600763939,1.8417966488,0.0456546819,5.7156250581,0.1366705992,9.921157249,0.2571203568
8,IRMOF-1_v2_EQeq,0.02,0.03,0.19,0.76,0.18790476670000003,0.028726013999999998,2.2328538748,0.217600233,1.8285500503999998,0.0399353899,5.7165346102,0.25757351289999997,9.9658433021,0.5438351497999999
9,IRMOF-1_v2_EQeq,0.03,0.03,0.188,0.752,0.27736462440000004,0.0225243497,2.2264253127,0.12899514410000001,1.7776415547,0.1498519463,5.6053418725,0.12176113150000001,9.8867733643,0.42313257159999995
10,IRMOF-1_v2_EQeq,0.04,0.03,0.18600000000000005,0.7440000000000001,0.3859665478,0.0285222304,2.2092824806999998,0.1540173988,1.7555638907,0.1772572868,5.5221178603,0.3966210136,9.8729307795,0.7564179296
11,IRMOF-1_v2_EQeq,0.05,0.03,0.184,0.736,0.4604513202,0.0226504702,2.2767823819,0.0700945856,1.7327070151,0.0941868916,5.5303038287,0.1841107245,10.000244545900001,0.37104267189999995
