,MOF,CH4_comp,CO2_comp,O2_comp,N2_comp,CH4_mass,CH4_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,UIO-66_v2_EQeq,0.0,0.01,0.198,0.792,0.0,0.0,9.1829852795,0.300499937,2.3307666337,0.030806919,7.1423192344,0.13845731449999998,18.6560711476,0.46976417049999997
1,UIO-66_v2_EQeq,1e-05,0.01,0.197998,0.791992,0.0002758184,0.0002489732,9.0971677004,0.2656327443,2.3245926603,0.077475432,7.141971385900001,0.2642814898,18.564007565,0.6076386393
2,UIO-66_v2_EQeq,5e-05,0.01,0.19799,0.79196,0.0014710311999999999,0.00047871339999999994,9.0344645525,0.1284575413,2.3404554929,0.0947492932,7.1812515061,0.15451674599999998,18.5576425827,0.3782022939
3,UIO-66_v2_EQeq,0.0001,0.01,0.19798,0.79192,0.0022984863,0.0008280224,9.0504765494,0.1591106065,2.3408528278,0.0746362092,7.165571567100001,0.1188901902,18.5591994306,0.3534650283
4,UIO-66_v2_EQeq,0.0005,0.01,0.1979,0.7916000000000001,0.012411825800000002,0.0022954195999999997,9.127510644600001,0.43708406619999995,2.3369100428,0.0836831276,7.1938810815,0.0963744411,18.6707135947,0.6194370545000001
5,UIO-66_v2_EQeq,0.001,0.01,0.1978,0.7912,0.0234139135,0.0020434564,9.1567188804,0.2023962705,2.3797305214,0.0711859096,7.1872719604999995,0.0991882194,18.747135275799998,0.37481385590000005
6,UIO-66_v2_EQeq,0.005,0.01,0.197,0.7879999999999999,0.1223714089,0.0043904765000000005,9.1033455574,0.2572905772,2.3295440647,0.0545848641,7.156581021900001,0.1382989281,18.7118420529,0.4545648459
7,UIO-66_v2_EQeq,0.01,0.01,0.196,0.784,0.2418773716,0.010246655300000001,9.0116863312,0.34228785920000004,2.2997439458,0.06255462690000001,7.0577385397,0.1322333695,18.611046188299998,0.5473225109000001
8,UIO-66_v2_EQeq,0.02,0.01,0.194,0.7759999999999999,0.4784988713,0.0099147887,8.9611707925,0.11445639099999999,2.27553708,0.0306237058,6.9368210581,0.1707002934,18.6520278019,0.3256951789
9,UIO-66_v2_EQeq,0.03,0.01,0.192,0.768,0.7102629034000001,0.0202847776,8.9877313752,0.3125460591,2.2328082941,0.04153659,6.8315300003,0.1038944783,18.762332573,0.478261905
10,UIO-66_v2_EQeq,0.04,0.01,0.19,0.76,0.9485852829000001,0.0197796878,8.8238290449,0.1867575302,2.2134917042,0.0516169579,6.8263657883,0.0304022577,18.8122718203,0.2885564336
11,UIO-66_v2_EQeq,0.05,0.01,0.188,0.752,1.1734998259,0.022498276400000003,8.8139108526,0.2729632373,2.1678898812000003,0.0373791344,6.612920612100001,0.08694896140000001,18.7682211718,0.41978960950000005
