,MOF,H2S_comp,CO2_comp,O2_comp,N2_comp,H2S_mass,H2S_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,NU-100_EQeq,0.0,0.01,0.198,0.792,0.0,0.0,1.269262099,0.0236346929,3.2035936625,0.0739159402,9.4514883063,0.2505699566,13.9243440678,0.3481205897
1,NU-100_EQeq,1e-05,0.01,0.197998,0.791992,0.0046208481,0.0013004245,1.2993238776,0.059207197,3.2009565048,0.064910393,9.5565346328,0.2199826132,14.0614358633,0.3454006277
2,NU-100_EQeq,5e-05,0.01,0.19799,0.79196,0.0190270216,0.0023452488,1.2667472031,0.0279643587,3.2153332677999997,0.0542718735,9.5045886472,0.0779369477,14.0056961397,0.1625184287
3,NU-100_EQeq,0.0001,0.01,0.19798,0.79192,0.0397302332,0.0023903204999999998,1.2754031237999999,0.0785199535,3.2084426299,0.0642303111,9.5146054717,0.1312203625,14.038181458599999,0.2763609476
4,NU-100_EQeq,0.0005,0.01,0.1979,0.7916000000000001,0.2084364915,0.0186333481,1.2652265684000001,0.0377759482,3.1972985118,0.0455923871,9.4536480677,0.1230172735,14.124609639400001,0.2250189569
5,NU-100_EQeq,0.001,0.01,0.1978,0.7912,0.4060457016,0.0243398464,1.244464056,0.057799508099999994,3.1777750377999996,0.0272913046,9.4039735553,0.1432967399,14.232258350699999,0.25272739899999996
6,NU-100_EQeq,0.005,0.01,0.197,0.7879999999999999,2.0538310752,0.0714730548,1.2486165585,0.0312150646,3.1526795048,0.0413914109,9.3156839983,0.1742766732,15.7708111368,0.3183562035
7,NU-100_EQeq,0.01,0.01,0.196,0.784,3.8883983776999997,0.11764322099999999,1.2209527037999999,0.030740251200000002,3.1232879568,0.06948286070000001,9.2668287057,0.2037459579,17.499467744,0.42161229079999996
8,NU-100_EQeq,0.02,0.01,0.194,0.7759999999999999,7.1660293618,0.191703622,1.15457115,0.0473518091,2.9935142767,0.046800344800000004,8.9842723335,0.08942664060000001,20.298387122,0.3752824165
9,NU-100_EQeq,0.03,0.01,0.192,0.768,10.319214564,0.5777794154,1.1292467334,0.062496938499999995,2.9372832688,0.048907550099999995,8.737575448200001,0.1657934883,23.1233200144,0.8549773923
10,NU-100_EQeq,0.04,0.01,0.19,0.76,13.449386130599999,0.3320112629,1.1159119365999999,0.06267991469999999,2.8980661816000004,0.0809330765,8.690991628799999,0.17578119379999999,26.154355877600004,0.6514054479
11,NU-100_EQeq,0.05,0.01,0.188,0.752,15.9706477034,0.6073876991,1.0784224423,0.0249849352,2.8440044486000002,0.07296949059999999,8.4499920452,0.18038026699999998,28.343066639499998,0.8857223919
