,MOF,H2S_comp,CO2_comp,O2_comp,N2_comp,H2S_mass,H2S_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,MgMOF-74_EQeq,0.0,0.01,0.198,0.792,0.0,0.0,8.2206638546,0.2621348867,2.8620847460000003,0.0169376031,9.8572195213,0.3312505638,20.9399681219,0.6103230535999999
1,MgMOF-74_EQeq,1e-05,0.01,0.197998,0.791992,0.0087761934,0.0023885773,7.9663646052,0.517802463,2.9050702641000004,0.0445389345,9.8873169837,0.2514056202,20.767528046400002,0.816135595
2,MgMOF-74_EQeq,5e-05,0.01,0.19799,0.79196,0.04256453809999999,0.0062939503,8.189317066000001,0.2901459058,2.9127151857999998,0.0431204221,10.0731517817,0.164055179,21.2177485716,0.5036154572
3,MgMOF-74_EQeq,0.0001,0.01,0.19798,0.79192,0.08083849280000001,0.0113409221,8.032268395900001,0.3792932094,2.8963266708999997,0.0546178624,9.9369317087,0.13486766,20.9463652683,0.5801196539
4,MgMOF-74_EQeq,0.0005,0.01,0.1979,0.7916000000000001,0.41394379,0.0110107973,8.0792256335,0.34843098450000004,2.8774661454,0.0407239791,9.9021452941,0.2686253645,21.272780863,0.6687911254
5,MgMOF-74_EQeq,0.001,0.01,0.1978,0.7912,0.8312517873999999,0.0250902964,8.1096282418,0.5278215717,2.8906502021,0.1108488864,9.8864753769,0.223439993,21.718005608200002,0.8872007475
6,MgMOF-74_EQeq,0.005,0.01,0.197,0.7879999999999999,4.1708859261,0.0770570736,8.1907018639,0.2348087664,2.8855688469,0.0549186133,9.740115945700001,0.1688222593,24.987272582600003,0.5356067126
7,MgMOF-74_EQeq,0.01,0.01,0.196,0.784,8.677168711,0.1683083957,7.9343254176,0.147051136,2.869271888,0.1247775585,9.7774271808,0.170999758,29.258193197399997,0.6111368482
8,MgMOF-74_EQeq,0.02,0.01,0.194,0.7759999999999999,18.0091877216,0.35337134530000003,8.2869453174,0.13238449019999998,2.8332904,0.042683733,9.7353468405,0.1427015231,38.8647702795,0.6711410916
9,MgMOF-74_EQeq,0.03,0.01,0.192,0.768,28.5581234641,1.5989178730000002,8.3935118098,0.08699167,2.8308183894,0.0428033609,9.5980046251,0.137551706,49.3804582884,1.8662646099000002
10,MgMOF-74_EQeq,0.04,0.01,0.19,0.76,40.4807285043,1.2086224549,8.5045474227,0.2279897925,2.7891146545999996,0.031071882400000004,9.4687578657,0.2074523295,61.243148447299994,1.6751364593
11,MgMOF-74_EQeq,0.05,0.01,0.188,0.752,54.510253803299996,1.5008248311,8.479809896699999,0.3113920576,2.7662714452999997,0.0336368134,9.2941444917,0.12046736300000001,75.050479637,1.9663210650999998
