MOF,acetone_comp,CO2_comp,O2_comp,N2_comp,acetone_mass,acetone_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
MgMOF-74_EQeq,0.0,0.03,0.19399999999999998,0.7759999999999999,0.0000000000,0.0000000000,23.9325807466,0.4072226330,2.8091654074,0.0415899890,9.5750808588,0.0887468151,36.3168270128,.5375594371
MgMOF-74_EQeq,1e-05,0.03,0.193998,0.775992,72.9063897794,5.2505995976,26.3879533013,0.6396403171,2.7916782212,0.0180613690,9.2153139876,0.2121659311,111.3013352895,6.1204672148
MgMOF-74_EQeq,0.04,0.03,0.18600000000000003,0.7440000000000001,0.0,0.0,,,,,,,,
MgMOF-74_EQeq,0.05,0.03,0.184,0.736,0.0,0.0,,,,,,,,
MgMOF-74_EQeq,5e-05,0.03,0.19399,0.77596,0.0,0.0,,,,,,,,
MgMOF-74_EQeq,0.0001,0.03,0.19398,0.7759199999999999,0.0,0.0,,,,,,,,
MgMOF-74_EQeq,0.0005,0.03,0.1939,0.7756000000000001,0.0,0.0,,,,,,,,
MgMOF-74_EQeq,0.001,0.03,0.1938,0.7752,0.0,0.0,,,,,,,,
MgMOF-74_EQeq,0.005,0.03,0.193,0.772,0.0,0.0,,,,,,,,
MgMOF-74_EQeq,0.01,0.03,0.192,0.768,0.0,0.0,,,,,,,,
MgMOF-74_EQeq,0.02,0.03,0.19,0.76,0.0,0.0,,,,,,,,
MgMOF-74_EQeq,0.03,0.03,0.188,0.752,0.0,0.0,,,,,,,,
