,MOF,acetone_comp,CO2_comp,O2_comp,N2_comp,acetone_mass,acetone_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,MOF-801_EQeq,0.0,0.03,0.194,0.7759999999999999,0.0,0.0,68.3324757754,1.7031197098,0.470562208,0.0232266091,1.5288900825999998,0.0762862334,70.331928066,1.8026325523
1,MOF-801_EQeq,1e-05,0.03,0.193998,0.775992,45.996442448500005,0.3685491015,27.461102692199997,0.22770297890000002,0.3186801012,0.024859033399999998,0.8622729834999999,0.0906902144,74.6384982254,0.7118013282
2,MOF-801_EQeq,5e-05,0.03,0.19399,0.77596,50.881704238199994,0.5296551270000001,27.0407844679,0.17065646899999998,0.2665982785,0.010534315,0.6817071473,0.055862584699999995,78.8707941319,0.7667084956999999
3,MOF-801_EQeq,0.0001,0.03,0.19397999999999999,0.7759199999999999,53.1844465557,0.6710800193,26.9118976587,0.4577248057,0.2498565874,0.0156860841,0.6210489466,0.0276039303,80.96724974840001,1.1720948394
4,MOF-801_EQeq,0.0005,0.03,0.1939,0.7756000000000001,58.392333747600006,0.8425383742,26.3215458625,0.2434060388,0.21891076280000002,0.010623751599999998,0.5281245928,0.043204647699999994,85.4609149657,1.1397728123
5,MOF-801_EQeq,0.001,0.03,0.1938,0.7752,62.4920630525,1.43924957,26.0100304019,0.34047090399999996,0.1970630107,0.022687827400000003,0.46416121109999997,0.0466006592,89.16331767620001,1.8490089606
6,MOF-801_EQeq,0.005,0.03,0.193,0.772,78.00318480109999,2.8250603682,21.0784611008,1.8071108663,0.1229787067,0.023959663500000002,0.2813738597,0.0478544349,99.4859984683,4.7039853329
7,MOF-801_EQeq,0.01,0.03,0.192,0.768,86.05230952040002,4.6849043094,17.7162131633,2.2027996724000003,0.0915996407,0.021521925499999997,0.2066550936,0.0540939832,104.06677741799999,6.963319890499999
8,MOF-801_EQeq,0.02,0.03,0.19,0.76,92.2750768283,4.365548773,14.4898729408,2.3421283262,0.0741771414,0.0154786053,0.1583506846,0.0415861656,106.99747759510001,6.7647418701
9,MOF-801_EQeq,0.03,0.03,0.188,0.752,96.7654945445,4.3788907825,12.324923463900001,1.3440134283,0.0587661208,0.0187414209,0.1234295499,0.0363462103,109.2726136791,5.7779918420000005
10,MOF-801_EQeq,0.04,0.03,0.18600000000000005,0.7440000000000001,99.99337713620001,2.2429244362,10.5633994866,1.1201199451000001,0.0496989942,0.0104180395,0.0939538365,0.0230712706,110.7004294535,3.3965336913999997
11,MOF-801_EQeq,0.05,0.03,0.184,0.736,104.2705082941,2.8910890797000004,8.7917909355,1.2659219652,0.0352472942,0.0145694046,0.0681354956,0.0182767255,113.16568201940001,4.189857175
