MOF,acetone_comp,CO2_comp,O2_comp,N2_comp,acetone_mass,acetone_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
UIO-66_v2_EQeq,0.0,0.04,0.192,0.768,0.0000000000,0.0000000000,27.9047499740,0.6551080692,1.9492639832,0.0396663820,5.6687260615,0.0383356778,35.5227400187,.7331101290
UIO-66_v2_EQeq,1e-05,0.04,0.191998,0.767992,119.2198051509,1.2191810400,3.5445349851,0.0573281028,0.4015833460,0.0177666238,0.8715209768,0.0260137579,124.0374444588,1.3202895245
UIO-66_v2_EQeq,0.04,0.04,0.184,0.736,179.4420979630,3.0082146506,1.2617957861,0.1412337752,0.1356134642,0.0099464834,0.1200879968,0.0206214644,180.9595952101,3.1800163736
UIO-66_v2_EQeq,0.05,0.04,0.182,0.728,181.7238214988,4.3722016406,1.3077304648,0.0642056401,0.1324653491,0.0109442119,0.1097595728,0.0072484883,183.2737768855,4.4545999809
UIO-66_v2_EQeq,5e-05,0.04,0.19199000000000002,0.7679600000000001,137.2817951000,0.6475542565,2.8221039445,0.0459893802,0.2863562196,0.0141593863,0.5062533199,0.0169441169,140.8965085840,.7246471399
UIO-66_v2_EQeq,0.0001,0.04,0.19198,0.7679199999999999,143.2598797033,1.1832581360,2.6035254779,0.1641956051,0.2468978057,0.0138380012,0.4108893224,0.0076946524,146.5211923093,1.3689863947
UIO-66_v2_EQeq,0.0005,0.04,0.1919,0.7676000000000001,156.2559641845,1.1724018017,2.1008496386,0.2377105103,0.2097622729,0.0189868545,0.2787604168,0.0126624128,158.8453365128,1.4417615793
UIO-66_v2_EQeq,0.001,0.04,0.1918,0.7672,161.4645259054,3.6703209854,1.8992917986,0.2317187616,0.1902928619,0.0170365327,0.2308643575,0.0270887114,163.7849749234,3.9461649911
UIO-66_v2_EQeq,0.005,0.04,0.191,0.764,172.3016311307,2.3471618363,1.4947052001,0.1246363619,0.1590562244,0.0116856108,0.1533476626,0.0223475576,174.1087402178,2.5058313666
UIO-66_v2_EQeq,0.01,0.04,0.19,0.76,175.4730704338,1.8323570320,1.3173124472,0.1036002615,0.1474112549,0.0101011872,0.1331992086,0.0136054836,177.0709933445,1.9596639643
UIO-66_v2_EQeq,0.02,0.04,0.188,0.752,179.0964948868,2.8996285262,1.2700749551,0.2005007316,0.1361024918,0.0173400196,0.1215864210,0.0248136080,180.6242587547,3.1422828854
UIO-66_v2_EQeq,0.03,0.04,0.18600000000000003,0.7440000000000001,177.6977203754,1.4236673408,1.2786483077,0.0775376698,0.1313956012,0.0149175961,0.1151913606,0.0107683865,179.2229556449,1.5268909932
