MOF,acetone_comp,CO2_comp,O2_comp,N2_comp,acetone_mass,acetone_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
NU-125_v2_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,12.4506261919,0.5709041178,3.4031462878,0.1329611520,10.0719545197,0.1930914628,25.9257269994,.8969567326
NU-125_v2_EQeq,1e-05,0.05,0.189998,0.759992,1.0010719861,0.0912902763,12.5115952343,0.3840158806,3.3775249111,0.0919103155,10.0057621322,0.3271673513,26.8959542637,.8943838237
NU-125_v2_EQeq,0.04,0.05,0.182,0.728,833.7777699835,4.8376982334,3.9657198594,0.2075223131,0.4538643872,0.0418465027,0.7858858280,0.0553067453,838.9832400581,5.1423737945
NU-125_v2_EQeq,0.05,0.05,0.18,0.72,840.6197886215,6.2104172331,3.3344601987,0.2479174401,0.4067001387,0.0301747825,0.6830724794,0.0263276442,845.0440214383,6.5148370999
NU-125_v2_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,4.7704164009,0.2727813846,12.3296946715,0.1598130201,3.3467792591,0.1822770442,10.0338687200,0.4160355565,30.4807590515,1.0309070054
NU-125_v2_EQeq,0.0001,0.05,0.18998,0.7599199999999999,9.7264343947,0.3515340355,12.1229175890,0.4002260586,3.3249226561,0.0531901523,9.9055122509,0.1533014850,35.0797868907,.9582517314
NU-125_v2_EQeq,0.0005,0.05,0.1899,0.7596,44.4145750409,1.3842542587,10.9555904989,0.3338042076,3.1026964297,0.1310536931,9.2590607328,0.1628237289,67.7319227023,2.0119358883
NU-125_v2_EQeq,0.001,0.05,0.1898,0.7592,89.0828815028,2.0953547022,10.4653936462,0.5499639364,2.9473995138,0.0379278909,8.6975698447,0.1638909739,111.1932445075,2.8471375034
NU-125_v2_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,496.9213166334,14.0328101741,8.3408238314,0.4442662411,1.6261730925,0.0273664367,4.1949311090,0.1278813719,511.0832446663,14.6323242238
NU-125_v2_EQeq,0.01,0.05,0.188,0.752,613.3181863342,7.7888501258,6.6296643866,0.2703160759,1.1703217414,0.0553385533,2.7690024311,0.0996248330,623.8871748933,8.2141295880
NU-125_v2_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,737.4378282440,14.6250622987,4.8330907645,0.7356513935,0.7319347572,0.0548621997,1.5858707261,0.1523841277,744.5887244918,15.5679600196
NU-125_v2_EQeq,0.03,0.05,0.184,0.736,798.8451969737,15.1350411101,4.0143225394,0.8042636427,0.5261271272,0.0871633225,1.0590781988,0.1235551832,804.4447248391,16.1500232585
