MOF,acetone_comp,CO2_comp,O2_comp,N2_comp,acetone_mass,acetone_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
UIO-66_v2_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,32.5311664180,0.1996812676,1.8722421374,0.0168202123,5.3330522825,0.1494729970,39.7364608379,.3659744769
UIO-66_v2_EQeq,1e-05,0.05,0.189998,0.759992,119.9089590945,0.6583573428,4.3633742169,0.1114020383,0.3892048351,0.0109527443,0.8438268867,0.0240231172,125.5053650332,.8047352426
UIO-66_v2_EQeq,0.04,0.05,0.182,0.728,177.5040916899,1.6466781046,1.5800184643,0.2161524133,0.1379363453,0.0098672754,0.1232989058,0.0150458489,179.3453454053,1.8877436422
UIO-66_v2_EQeq,0.05,0.05,0.18,0.72,179.1320480198,1.3444058462,1.5405138001,0.2089483383,0.1261996831,0.0100470329,0.1018928458,0.0134082953,180.9006543488,1.5768095127
UIO-66_v2_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,137.8457642991,0.8057929691,3.3955519695,0.2297194948,0.2724189332,0.0150649075,0.4839375023,0.0258298066,141.9976727041,1.0764071780
UIO-66_v2_EQeq,0.0001,0.05,0.18998,0.7599199999999999,142.5352835569,1.2309504047,3.2869141428,0.1911145959,0.2518186458,0.0136993205,0.4143678072,0.0230235834,146.4883841527,1.4587879045
UIO-66_v2_EQeq,0.0005,0.05,0.1899,0.7596,155.1623032220,2.9773915584,2.5502362074,0.2037211846,0.2063696440,0.0218414267,0.2780914775,0.0228526610,158.1970005509,3.2258068307
UIO-66_v2_EQeq,0.001,0.05,0.1898,0.7592,163.0785604936,2.8414916758,2.2895894759,0.2256988221,0.1802066678,0.0155660448,0.2227032971,0.0186572265,165.7710599344,3.1014137692
UIO-66_v2_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,171.5168553442,1.0055342868,1.9283319294,0.1481989383,0.1551134395,0.0100015558,0.1586189049,0.0125716189,173.7589196180,1.1763063998
UIO-66_v2_EQeq,0.01,0.05,0.188,0.752,176.2903487726,1.7246695938,1.5533738291,0.3545520993,0.1426126716,0.0116583988,0.1280082390,0.0154902096,178.1143435123,2.1063703015
UIO-66_v2_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,176.4898567593,1.2727435958,1.5562316133,0.1221300135,0.1314261654,0.0108767421,0.1174122393,0.0103169104,178.2949267773,1.4160672618
UIO-66_v2_EQeq,0.03,0.05,0.184,0.736,178.5502190566,1.0316934367,1.5414804036,0.1915720621,0.1280029723,0.0105392963,0.1104285122,0.0072524382,180.3301309447,1.2410572333
