MOF,acetone_comp,CO2_comp,O2_comp,N2_comp,acetone_mass,acetone_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
MOF-177_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,4.3383126913,0.2170225508,2.4975441503,0.0686446357,7.7899062224,0.1881735708,14.6257630640,.4738407573
MOF-177_EQeq,1e-05,0.05,0.189998,0.759992,5.9332120308,2.6532308217,4.2942543219,0.2256628729,2.4912750394,0.0515107123,7.7838080904,0.2832918691,20.5025494825,3.2136962760
MOF-177_EQeq,0.04,0.05,0.182,0.728,1171.9675424074,5.7893732712,5.1893096724,0.3397714193,0.6627843422,0.0333043959,1.3371678861,0.0935790092,1179.1568043081,6.2560280956
MOF-177_EQeq,0.05,0.05,0.18,0.72,1186.6790640943,10.0550468530,4.7199922602,0.4311616656,0.6047950658,0.0403558755,1.1542239272,0.0815669318,1193.1580753475,10.6081313259
MOF-177_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,11.8626318622,1.6394954401,4.2729434803,0.1791670211,2.5071219587,0.0663167746,7.9403776286,0.1596686132,26.5830749298,2.0446478490
MOF-177_EQeq,0.0001,0.05,0.18998,0.7599199999999999,12.2437479053,1.5683346708,4.3629758002,0.1067130939,2.5113013660,0.1465211960,7.8168904563,0.1642436498,26.9349155278,1.9858126105
MOF-177_EQeq,0.0005,0.05,0.1899,0.7596,19.7763200474,2.4530520123,4.3165229543,0.0994858200,2.4574914970,0.0752373932,7.8088104315,0.2038144957,34.3591449302,2.8315897212
MOF-177_EQeq,0.001,0.05,0.1898,0.7592,25.1757800079,4.9532584055,4.2983249322,0.1815853341,2.4710745707,0.1558663061,7.8342701324,0.1521804684,39.7794496432,5.4428905141
MOF-177_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,65.7017512907,5.7632128251,4.3304109185,0.1677843084,2.4942354529,0.0615349820,7.7473717519,0.1969342598,80.2737694140,6.1894663753
MOF-177_EQeq,0.01,0.05,0.188,0.752,121.5064940923,9.7018352653,4.6359461318,0.2389366115,2.4710745707,0.1073765664,7.5565002215,0.1108510571,136.1700150163,10.1589995003
MOF-177_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,1052.5663510341,17.3893641866,7.4137784274,0.2559318023,1.1765031571,0.0732754983,2.6930875280,0.1805963608,1063.8497201466,17.8991678480
MOF-177_EQeq,0.03,0.05,0.184,0.736,1128.8097847176,12.9505065043,5.9612889260,0.1837573195,0.8353590356,0.0696620125,1.7777579204,0.1590005322,1137.3841905996,13.3629263685
