MOF,acetone_comp,CO2_comp,O2_comp,N2_comp,acetone_mass,acetone_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
NU-100_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,6.0299015025,0.1531434262,3.0139309815,0.0872146420,8.9163143236,0.1993094027,17.9601468076,.4396674709
NU-100_EQeq,1e-05,0.05,0.189998,0.759992,0.4953938292,0.0531391245,6.1388023424,0.0530523991,3.0152070256,0.0163382369,8.8497340925,0.1405708704,18.4991372897,.2631006309
NU-100_EQeq,0.04,0.05,0.182,0.728,0.0,0.0,,,,,,,,
NU-100_EQeq,0.05,0.05,0.18,0.72,0.0,0.0,,,,,,,,
NU-100_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,2.4893192570,0.1542126622,5.9067300906,0.3365802988,2.9834335287,0.0262648870,8.8937485406,0.1557360217,20.2732314169,.6727938697
NU-100_EQeq,0.0001,0.05,0.18998,0.7599199999999999,4.9506191995,0.2285826942,5.8845054294,0.1699048170,2.9188656997,0.0441384193,8.7538853706,0.2137758182,22.5078756992,.6564017487
NU-100_EQeq,0.0005,0.05,0.1899,0.7596,19.7353230692,1.4216916771,5.5090841128,0.1046457327,2.8349020010,0.0540452487,8.5498996291,0.2320093113,36.6292088121,1.8123919698
NU-100_EQeq,0.001,0.05,0.1898,0.7592,33.4089028861,1.0835908841,5.2140809782,0.0868349163,2.7691431975,0.0558782331,8.2716255425,0.1910740732,49.6637526043,1.4173781067
NU-100_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,81.4068375701,1.2635721412,4.1415656168,0.0620707621,2.4756956004,0.0198931953,7.4549378311,0.0225627104,95.4790366184,1.3680988090
NU-100_EQeq,0.01,0.05,0.188,0.752,110.8481900956,1.6650109726,3.8668571071,0.1555974281,2.3761216295,0.0434510020,7.1937556494,0.0969864869,124.2849244816,1.9610458896
NU-100_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,156.2116917179,3.0134548377,3.6697009677,0.1057506207,2.2612776648,0.0454622021,6.8559019377,0.0452988850,168.9985722881,3.2099665455
NU-100_EQeq,0.03,0.05,0.184,0.736,0.0,0.0,,,,,,,,
