,MOF,acetone_comp,CO2_comp,O2_comp,N2_comp,acetone_mass,acetone_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,HKUST-1_v2_EQeq,0.0,0.02,0.196,0.784,0.0,0.0,17.7357725889,0.474778893,3.7127132169,0.072450821,9.7827700388,0.3692081933,31.2312558446,0.9164379073000001
1,HKUST-1_v2_EQeq,1e-05,0.02,0.195998,0.783992,37.8931832716,2.5345010729,10.4039651849,1.0043187156,2.7818071645,0.13545836220000002,7.868592500399999,0.1793711936,58.947548121400004,3.8536493443
2,HKUST-1_v2_EQeq,5e-05,0.02,0.19599,0.78396,93.67289465959999,4.301063275,6.1102183611,0.6350701645,2.1863314762,0.11953308160000001,6.3210119455,0.2196593484,108.2904564424,5.2753258695
3,HKUST-1_v2_EQeq,0.0001,0.02,0.19598,0.78392,129.48915144309998,2.6863649923,4.8511223975,0.457677416,1.9228144725999998,0.0941610861,5.6483144407,0.2010560054,141.9114027539,3.4392594998000003
4,HKUST-1_v2_EQeq,0.0005,0.02,0.1959,0.7836000000000001,306.61831046419996,16.7548722764,4.0527932723,0.1861505921,1.2916300812000001,0.1154796124,3.4802833258,0.2245494263,315.44301714349996,17.281051907200002
5,HKUST-1_v2_EQeq,0.001,0.02,0.1958,0.7832,399.1277902861,8.2226285093,2.8389329282999998,0.1564704486,0.8140261769,0.07049919269999999,1.8701801113,0.1414688625,404.65092950260004,8.5910670131
6,HKUST-1_v2_EQeq,0.005,0.02,0.195,0.78,467.00455595410006,3.5059647011000004,1.1056585606,0.3532396851,0.292778302,0.028660642200000003,0.5388237544,0.08740252130000001,468.9418165711,3.9752675497000003
7,HKUST-1_v2_EQeq,0.01,0.02,0.194,0.7759999999999999,476.80268091470003,3.5729327697000004,0.8787985187999999,0.2095412236,0.24285224489999999,0.0620980092,0.4027790783,0.0574088425,478.3271107567,3.901980845
8,HKUST-1_v2_EQeq,0.02,0.02,0.192,0.768,490.8755603935,6.485792534500001,0.5951098091,0.2064718066,0.18532155649999998,0.0417754543,0.2687605995,0.0677761623,491.9247523586,6.8018159577
9,HKUST-1_v2_EQeq,0.03,0.02,0.19,0.76,494.8194106915,6.9138946071000005,0.5687413072999999,0.1390942912,0.15043944369999998,0.024274187599999997,0.23243377640000001,0.043797017,495.7710252189,7.1210601029
10,HKUST-1_v2_EQeq,0.04,0.02,0.188,0.752,497.58604597589994,5.1293802491000005,0.4530381396,0.1426884447,0.13043595730000002,0.0270111717,0.19234401550000002,0.0213178565,498.3618640883,5.320397722
11,HKUST-1_v2_EQeq,0.05,0.02,0.18600000000000005,0.7440000000000001,507.1543680057,9.4225486348,0.39461826920000004,0.1525781047,0.1223353718,0.038953371699999996,0.1694769316,0.0342661057,507.8407985783,9.6483462169
