,MOF,H2S_comp,CO2_comp,O2_comp,N2_comp,H2S_mass,H2S_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,MOF-177_EQeq,0.0,0.05,0.19,0.76,0.0,0.0,4.443190766,0.063989447,2.463412324,0.046432924699999996,7.801492673099999,0.16789974670000002,14.7080957631,0.2783221184
1,MOF-177_EQeq,1e-05,0.05,0.189998,0.759992,0.0014837835,0.0025158774,4.376384869100001,0.0504456608,2.5369002358,0.0855290628,7.8418927974,0.2893925048,14.7566616858,0.4278831058
2,MOF-177_EQeq,5e-05,0.05,0.18999,0.7599600000000001,0.0081608095,0.0048931122999999995,4.335678767,0.2486181714,2.4606260524,0.11377749289999999,7.824818027899999,0.2315552329,14.6292836568,0.5988440095
3,MOF-177_EQeq,0.0001,0.05,0.18997999999999998,0.7599199999999999,0.012055741299999999,0.0046921356,4.4395990511,0.17951485399999997,2.4529638057,0.0333771607,7.7819786508,0.1522458214,14.686597248900002,0.36982997170000004
4,MOF-177_EQeq,0.0005,0.05,0.1899,0.7596,0.0628753278,0.0050317548,4.3423833015,0.1545281735,2.487269774,0.0309287123,7.723284130700001,0.2558891272,14.615812534000002,0.4463777678
5,MOF-177_EQeq,0.001,0.05,0.1898,0.7592,0.12111383210000001,0.0090559432,4.346932807,0.166483465,2.4796075273,0.0893020675,7.7106305069,0.1427457941,14.658284673299999,0.4075872698
6,MOF-177_EQeq,0.005,0.05,0.189,0.7559999999999999,0.6033434849,0.0587993111,4.3536373415,0.1723996541,2.4404255837999997,0.11308989300000001,7.6851708059,0.1927627134,15.082577216099999,0.5370515715999999
7,MOF-177_EQeq,0.01,0.05,0.188,0.752,1.2144768335,0.0572940302,4.3634546955,0.21293131329999998,2.4578397809,0.0905163097,7.739749087000001,0.0818638728,15.775520396900001,0.442605526
8,MOF-177_EQeq,0.02,0.05,0.18600000000000005,0.7440000000000001,2.4293246129,0.0785547437,4.3797371363,0.19795472670000003,2.4583622068,0.1086489608,7.6796824871,0.1833865544,16.9471064431,0.5685449856
9,MOF-177_EQeq,0.03,0.05,0.184,0.736,3.6200609097000003,0.2123631995,4.3598629806,0.108579415,2.3796500359,0.0945640611,7.4610644563,0.1997312775,17.8206383825,0.6152379531000001
10,MOF-177_EQeq,0.04,0.05,0.182,0.728,4.7633161329,0.2262636122,4.4393596035,0.12281587669999999,2.3638031165,0.0860437577,7.5025317536000005,0.2043251893,19.0690106065,0.6394484359
11,MOF-177_EQeq,0.05,0.05,0.18,0.72,6.1167122011,0.4323491672,4.3507639695,0.22328028809999997,2.3119088091,0.07918693269999999,7.3921555650999995,0.1084096257,20.1715405448,0.8432260137
