MOF,CH4_comp,CO2_comp,O2_comp,N2_comp,CH4_mass,CH4_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
ZIF-8_v2_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,9.5585519685,0.0762899076,2.5358504828,0.0516292977,7.7669631827,0.1309004869,19.8613656340,.2588196922
ZIF-8_v2_EQeq,1e-05,0.05,0.189998,0.759992,0.0003303987,0.0001468439,9.4936099975,0.2553334463,2.4914762114,0.1156072063,7.8020286239,0.1479360336,19.7874452315,.5190235301
ZIF-8_v2_EQeq,0.04,0.05,0.182,0.728,1.0797063990,0.0361698287,9.5253258438,0.2895886351,2.3853733743,0.0844043612,7.4248988418,0.1463860920,20.4153044589,.5565489170
ZIF-8_v2_EQeq,0.05,0.05,0.18,0.72,1.3388858617,0.0363133683,9.5358977926,0.2043200712,2.3901329909,0.0317576524,7.2930989383,0.2978875385,20.5580155835,.5702786304
ZIF-8_v2_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0014684389,0.0006965417,9.6377912417,0.2358585330,2.5443445677,0.0757664778,7.7736942089,0.1105472289,19.9572984572,.4228687814
ZIF-8_v2_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0029735887,0.0014939156,9.6014438750,0.1453992283,2.5515206050,0.1197624038,7.7761943043,0.3042538650,19.9321323730,.5709094127
ZIF-8_v2_EQeq,0.0005,0.05,0.1899,0.7596,0.0140603023,0.0037481165,9.6111096567,0.1831348856,2.4876685181,0.0490696241,7.8546588383,0.2920534830,19.9674973154,.5280061092
ZIF-8_v2_EQeq,0.001,0.05,0.1898,0.7592,0.0258078134,0.0049176262,9.6276220338,0.2328903046,2.5496167584,0.0739772712,7.7465777891,0.1767632659,19.9496243947,.4885484679
ZIF-8_v2_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,0.1326734530,0.0068538510,9.6300384793,0.2157118414,2.5166655668,0.0583880992,7.7238846150,0.1940375571,20.0032621141,.4749913487
ZIF-8_v2_EQeq,0.01,0.05,0.188,0.752,0.2704864421,0.0149870717,9.6506789507,0.2259040838,2.4887668912,0.0642305255,7.7376030875,0.2300973817,20.1475353715,.5352190627
ZIF-8_v2_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,0.5328964703,0.0189314749,9.6116130828,0.2174153798,2.4401455773,0.0243846514,7.5961233273,0.2221080921,20.1807784577,.4828395982
ZIF-8_v2_EQeq,0.03,0.05,0.184,0.736,0.8111656385,0.0378065268,9.5940938534,0.2959183853,2.4449784188,0.0431293864,7.5350312514,0.0843302339,20.3852691621,.4611845324
