MOF,CH4_comp,CO2_comp,O2_comp,N2_comp,CH4_mass,CH4_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
MOF-177_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,4.3519612078,0.2675178005,2.4470429787,0.0435647388,7.7690201204,0.2483875523,14.5680243069,.5594700916
MOF-177_EQeq,1e-05,0.05,0.189998,0.759992,0.0001746106,0.0004277070,4.4146964946,0.1945140500,2.4752539780,0.0563144010,7.7894488625,0.1505306304,14.6795739457,.4017867884
MOF-177_EQeq,0.04,0.05,0.182,0.728,0.5277606845,0.0181712563,4.4012874257,0.2678193971,2.3540511661,0.0498009503,7.4711263740,0.2951669107,14.7542256503,.6309585144
MOF-177_EQeq,0.05,0.05,0.18,0.72,0.6532184353,0.0114845500,4.4206826861,0.2553576537,2.3246211730,0.0589454496,7.3552618667,0.2222064232,14.7537841611,.5479940765
MOF-177_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0004365266,0.0005521674,4.4496558528,0.2601049728,2.4263200841,0.0765401014,7.8019500330,0.1667880897,14.6783624965,.5039853313
MOF-177_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0015714958,0.0025061343,4.2779718811,0.0851895413,2.4486102564,0.1108747038,7.8202444289,0.2022140007,14.5483980622,.4007843801
MOF-177_EQeq,0.0005,0.05,0.1899,0.7596,0.0070717313,0.0026710293,4.3524401032,0.2996430826,2.4505258181,0.0988206204,7.8315259730,0.1501397985,14.6415636256,.5512745308
MOF-177_EQeq,0.001,0.05,0.1898,0.7592,0.0132704093,0.0036459774,4.3110156581,0.2199970245,2.4660244535,0.0523747720,7.8543939679,0.2370224736,14.6447044888,.5130402475
MOF-177_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,0.0668758783,0.0064487852,4.4589943115,0.1398964625,2.4595812006,0.0457088674,7.7572812164,0.1469845892,14.7427326068,.3390387043
MOF-177_EQeq,0.01,0.05,0.188,0.752,0.1244100869,0.0073874957,4.3514823125,0.1376072178,2.4447791331,0.0596308491,7.7158139190,0.1395206750,14.6364854515,.3441462376
MOF-177_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,0.2541457986,0.0174208581,4.3294531279,0.2309963868,2.4395548739,0.0443758028,7.6165668213,0.2367673849,14.6397206217,.5295604326
MOF-177_EQeq,0.03,0.05,0.184,0.736,0.3885086925,0.0256683592,4.3854838801,0.1622953555,2.3927106837,0.0680536485,7.4281345437,0.2114509122,14.5948378000,.4674682754
