MOF,CH4_comp,CO2_comp,O2_comp,N2_comp,CH4_mass,CH4_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
MgMOF-74_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,40.4003455065,1.4355716346,2.7354170905,0.0342979388,9.2831234502,0.0716224613,52.4188860472,1.5414920347
MgMOF-74_EQeq,1e-05,0.05,0.189998,0.759992,0.0003672094,0.0004450284,40.0298491249,1.1805308583,2.7324415221,0.0405463663,9.2728237860,0.1707738490,52.0354816424,1.3922961020
MgMOF-74_EQeq,0.04,0.05,0.182,0.728,0.9067548431,0.0126152274,40.4007231787,1.0194818565,2.6071472058,0.0288722233,8.9129767617,0.0954620221,52.8276019893,1.1564313293
MgMOF-74_EQeq,0.05,0.05,0.18,0.72,1.1162707753,0.0155716664,40.4801602215,1.1064140468,2.5909875808,0.0358724107,8.8513390823,0.1018752252,53.0387576599,1.2597333491
MgMOF-74_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0015835907,0.0009993394,40.3262588193,1.3063491776,2.7442064616,0.0163431857,9.2880929380,0.1980619139,52.3601418096,1.5217536166
MgMOF-74_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0023180095,0.0003948569,39.8885997398,1.4596755145,2.7429246783,0.0478484739,9.2820413843,0.0897025205,51.9158838119,1.5976213658
MgMOF-74_EQeq,0.0005,0.05,0.1899,0.7596,0.0112457889,0.0023629078,40.0010830959,0.6061547716,2.7413224492,0.0940536756,9.3492496992,0.1213213470,52.1029010332,.8238927020
MgMOF-74_EQeq,0.001,0.05,0.1898,0.7592,0.0212522459,0.0033898572,40.9246803451,1.2276910021,2.7522176071,0.0394248039,9.2476156583,0.2042737963,52.9457658564,1.4747794595
MgMOF-74_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,0.1135824678,0.0050728591,40.9968786716,2.4094634643,2.7293286198,0.0810977976,9.2407625743,0.1898504655,53.0805523335,2.6854845865
MgMOF-74_EQeq,0.01,0.05,0.188,0.752,0.2255124931,0.0121307707,40.5687243412,1.5634482504,2.7323041882,0.0637510852,9.2669726148,0.1131434890,52.7935136373,1.7524735953
MgMOF-74_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,0.4467561765,0.0216954826,40.6808300252,1.3931946735,2.6860684339,0.0602751135,9.1271857321,0.1652063403,52.9408403677,1.6403716099
MgMOF-74_EQeq,0.03,0.05,0.184,0.736,0.6777768110,0.0240509039,40.0443265574,0.8233675824,2.6468367097,0.0262406442,8.9943320863,0.1200274951,52.3632721644,.9936866256
