MOF,CH4_comp,CO2_comp,O2_comp,N2_comp,CH4_mass,CH4_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
HKUST-1_v2_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,32.3507420572,0.5232635608,3.0073010120,0.1071148835,8.2434390016,0.3749628246,43.6014820708,1.0053412689
HKUST-1_v2_EQeq,1e-05,0.05,0.189998,0.759992,0.0002486445,0.0006630520,32.1993504862,0.9079830091,3.0649970185,0.1173735013,8.1900342298,0.1774948272,43.4546303790,1.2035143896
HKUST-1_v2_EQeq,0.04,0.05,0.182,0.728,1.2314533194,0.0631959341,30.8470555074,1.3353250888,2.8099112364,0.0485100799,7.8027410880,0.1432638436,42.6911611512,1.5902949464
HKUST-1_v2_EQeq,0.05,0.05,0.18,0.72,1.6111334686,0.0809076276,31.0493655647,0.3591186212,2.7851135259,0.0736257718,7.7504941433,0.2081526192,43.1961067025,.7218046398
HKUST-1_v2_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0012432225,0.0018899890,32.4432591284,1.9566369094,3.0173854143,0.0722089952,8.1537074067,0.0782904283,43.6155951719,2.1090263219
HKUST-1_v2_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0029837340,0.0017698645,32.9119819803,2.3465240655,3.0456548043,0.1444073924,8.1758508486,0.2788377677,44.1364713672,2.7715390901
HKUST-1_v2_EQeq,0.0005,0.05,0.1899,0.7596,0.0169907074,0.0022848853,32.7683191082,1.2284816725,3.0003576531,0.0877301737,8.2199930042,0.3324866690,44.0056604729,1.6509834005
HKUST-1_v2_EQeq,0.001,0.05,0.1898,0.7592,0.0324066663,0.0072330433,31.4798995519,1.5784069497,3.0767346014,0.0312166746,8.2482150381,0.3213301173,42.8372558577,1.9381867849
HKUST-1_v2_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,0.1461200836,0.0342476144,32.4880401186,1.1460820695,2.9811807570,0.0982306562,8.1480629999,0.2976445992,43.7634039591,1.5762049393
HKUST-1_v2_EQeq,0.01,0.05,0.188,0.752,0.3192595360,0.0132568952,32.5762382110,2.3271882318,2.9836605280,0.0974597346,8.0937898578,0.1798814808,43.9729481328,2.6177863424
HKUST-1_v2_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,0.6139861482,0.0378164950,31.8056414757,0.5787404743,2.8968685412,0.1308149677,8.0691860334,0.1499218356,43.3856821985,.8972937726
HKUST-1_v2_EQeq,0.03,0.05,0.184,0.736,0.9194044738,0.0322816791,31.7190345860,1.4260531862,2.8562002960,0.0849651252,7.8615008098,0.2106847553,43.3561401656,1.7539847458
