MOF	argon_mass	argon_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	argon_comp	O2_comp	N2_comp
LODPUQ	0.0	0.0	8.6393087991	0.2555064778	30.503542208200003	0.7115736999	39.1428510073	0.9670801777	1e-06	0.1666665	0.8333325
LODPUQ	0.0	0.0	10.4078801354	0.2840560031	29.3903234271	0.4725363114	39.7982035625	0.7565923145000001	1e-06	0.19999979999999998	0.7999991999999999
LODPUQ	0.0	0.0	12.8916865691	0.2533027295	27.296360343699998	0.8009558823999999	40.188046912800004	1.0542586119	1e-06	0.24999975	0.74999925
LODPUQ	0.0005147474	0.0008405789	8.6661094993	0.1825730354	30.650695966300002	0.7626443637	39.317320213	0.946057978	1e-05	0.166665	0.8333250000000001
LODPUQ	0.0008579123	0.0018795916	10.3950982629	0.30715607100000003	29.134639260500002	0.6602777202000001	39.5305954357	0.9693133828	1e-05	0.199998	0.799992
LODPUQ	0.0006863298	0.0012840055000000001	12.901582212200001	0.44361362200000004	27.1630436112	0.5020778078	40.065312153200004	0.9469754353000001	1e-05	0.24999749999999998	0.7499925000000001
LODPUQ	0.0051474737	0.0028711236	8.59876415	0.11713650800000001	30.111653582	0.3787183363	38.7155652057	0.4987259679	0.0001	0.16665	0.8332499999999999
LODPUQ	0.007034880699999999	0.0054691487	10.3574398431	0.4603504837	29.2639853683	1.0000833645	39.6284600921	1.4659029969	0.0001	0.19998	0.79992
LODPUQ	0.006691715799999999	0.003972420999999999	12.8947102378	0.2973034389	27.7668192104	0.97457948	40.668221164	1.2758553398999999	0.0001	0.249975	0.749925
LODPUQ	0.0494157472	0.0062903167000000005	8.5973897551	0.3779005141	30.3768431835	0.3665952472	39.0236486858	0.750786078	0.001	0.1665	0.8325
LODPUQ	0.0513031542	0.013352599199999999	10.2661800228	0.236723949	29.515217622399998	0.5521315593	39.8327007994	0.8022081075	0.001	0.1998	0.7992
LODPUQ	0.057308540199999994	0.0091696336	12.930032186300002	0.3524700995	27.1149148269	0.4396555885	40.1022555534	0.8012953215999999	0.001	0.24975	0.74925
LODPUQ	0.1134160032	0.0162197613	8.6438443022	0.2001556897	30.415827498800002	0.8863780351999999	39.1730878042	1.1027534862000001	0.002	0.16633333333333333	0.8316666666666667
