MOF,H2S_comp,CO2_comp,O2_comp,N2_comp,H2S_mass,H2S_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
UIO-66_v2_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,32.5125908205,0.7082097024,1.8797303724,0.0234572409,5.3656430089,0.0427922480,39.7579642018,.7744591913
UIO-66_v2_EQeq,1e-05,0.05,0.189998,0.759992,0.3920353017,0.0337268779,32.2861954735,0.2069397591,1.8752679956,0.0431655157,5.3163555557,0.0510505922,39.8698543265,.3348827449
UIO-66_v2_EQeq,0.04,0.05,0.182,0.728,0.0,0.0,,,,,,,,
UIO-66_v2_EQeq,0.05,0.05,0.18,0.72,0.0,0.0,,,,,,,,
UIO-66_v2_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,1.9290233256,0.1049315984,32.0076455644,0.7106572767,1.8254483096,0.0327011493,5.2234532551,0.0575767806,40.9855704547,.9058668050
UIO-66_v2_EQeq,0.0001,0.05,0.18998,0.7599199999999999,3.6232421480,0.1657586513,31.0843291036,0.6391175596,1.8120000509,0.0328169261,5.1473011965,0.0372146216,41.6668724990,.8749077586
UIO-66_v2_EQeq,0.0005,0.05,0.1899,0.7596,13.7137809326,0.5025604589,28.0685262256,0.2651129451,1.6553889644,0.0147956104,4.5504734851,0.0729253839,47.9881696077,.8553943983
UIO-66_v2_EQeq,0.001,0.05,0.1898,0.7592,22.4998574892,0.4628556427,25.6555897395,0.6445562657,1.5501869036,0.0311913265,4.2213285545,0.0488944003,53.9269626868,1.1874976352
UIO-66_v2_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,59.7787264332,1.3235783348,20.4061343091,0.3145169792,1.2240360637,0.0204543865,2.9987481930,0.0515249468,84.4076449990,1.7100746473
UIO-66_v2_EQeq,0.01,0.05,0.188,0.752,0.0,0.0,,,,,,,,
UIO-66_v2_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,0.0,0.0,,,,,,,,
UIO-66_v2_EQeq,0.03,0.05,0.184,0.736,0.0,0.0,,,,,,,,
