MOF,CH4_comp,CO2_comp,O2_comp,N2_comp,CH4_mass,CH4_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
UIO-66_v2_EQeq,0.0,0.02,0.196,0.784,0.0000000000,0.0000000000,16.3972514143,0.5856278516,2.1772119697,0.0361761653,6.4765640097,0.1080006002,25.0510273937,.7298046171
UIO-66_v2_EQeq,1e-05,0.02,0.195998,0.783992,0.0003064648,0.0002373866,16.4173819826,0.3524413075,2.1986069269,0.0552904710,6.6268880663,0.0835269153,25.2431834406,.4914960804
UIO-66_v2_EQeq,0.04,0.02,0.188,0.752,0.8672648387,0.0047086006,16.0195195823,0.1231623789,2.0742716615,0.0636841099,6.1373047157,0.0975372299,25.0983607982,.2890923193
UIO-66_v2_EQeq,0.05,0.02,0.18600000000000003,0.7440000000000001,1.0755383411,0.0215686807,15.9757282417,0.3433188840,2.0425459964,0.0154300605,6.0874285958,0.0626357283,25.1812411750,.4429533535
UIO-66_v2_EQeq,5e-05,0.02,0.19599,0.78396,0.0010266572,0.0009623191,16.3156364591,0.3218622768,2.2028247898,0.0371762502,6.5046059483,0.2139557787,25.0240938544,.5739566248
UIO-66_v2_EQeq,0.0001,0.02,0.19598,0.78392,0.0019154052,0.0006920950,16.5264820979,0.2570199960,2.1833248146,0.0313931338,6.4907455245,0.1910282033,25.2024678422,.4801334281
UIO-66_v2_EQeq,0.0005,0.02,0.1959,0.7836000000000001,0.0108335319,0.0020133597,16.2373836029,0.3175533954,2.1793209012,0.0239148993,6.4937423729,0.1176501821,24.9212804089,.4611318365
UIO-66_v2_EQeq,0.001,0.02,0.1958,0.7832,0.0227243676,0.0008142973,16.4738652472,0.4340174812,2.1861978517,0.0460523252,6.4981841303,0.1401119634,25.1809715968,.6209960671
UIO-66_v2_EQeq,0.005,0.02,0.195,0.78,0.1098676436,0.0073109690,16.4263335714,0.4921419605,2.1793820296,0.0231603424,6.5054621907,0.1367727680,25.2210454353,.6593860399
UIO-66_v2_EQeq,0.01,0.02,0.19399999999999998,0.7759999999999999,0.2212982579,0.0050790017,16.1569874086,0.4328039892,2.1451806624,0.0541942228,6.5226673115,0.0746582185,25.0461336404,.5667354322
UIO-66_v2_EQeq,0.02,0.02,0.192,0.768,0.4356550873,0.0043171313,16.2056958191,0.5159166377,2.1351555967,0.0401417079,6.4136837083,0.1724034726,25.1901902114,.7327789495
UIO-66_v2_EQeq,0.03,0.02,0.19,0.76,0.6522491100,0.0166767002,16.0306985618,0.2112979639,2.0905623932,0.0355946083,6.2542085611,0.1501707392,25.0277186261,.4137400116
