MOF,argon_comp,CO2_comp,O2_comp,N2_comp,argon_mass,argon_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
NU-100_EQeq,0.0,0.04,0.192,0.768,0.0000000000,0.0000000000,4.9797862602,0.1665525436,3.0494475410,0.0737630482,9.0940850301,0.2246307922,17.1233188313,.4649463840
NU-100_EQeq,1e-05,0.04,0.191998,0.767992,0.0001593041,0.0004248110,4.9846990801,0.3039364440,3.0672696229,0.0979348823,9.1897103284,0.2306730764,17.2418383355,.6329692137
NU-100_EQeq,0.04,0.04,0.184,0.736,0.7278605392,0.0218235667,4.9139895659,0.1538605187,2.9437910935,0.0817263464,8.7389532271,0.1833445288,17.3245944257,.4407549606
NU-100_EQeq,0.05,0.04,0.182,0.728,0.9278403153,0.0222838575,4.8612937244,0.2323812199,2.8921538442,0.0986554359,8.5888498090,0.0583295827,17.2701376929,.4116500960
NU-100_EQeq,5e-05,0.04,0.19199000000000002,0.7679600000000001,0.0012213316,0.0013683267,4.8825241245,0.1550818035,3.0467253137,0.0725561436,8.9841233844,0.1748234065,16.9145941542,.4038296803
NU-100_EQeq,0.0001,0.04,0.19198,0.7679199999999999,0.0021240550,0.0008885559,4.8515850566,0.2736584063,3.0471506617,0.1066001903,9.0464213300,0.1180079442,16.9472811033,.4991550967
NU-100_EQeq,0.0005,0.04,0.1919,0.7676000000000001,0.0093989433,0.0018577894,4.9854593974,0.2205894680,3.0673972273,0.0675877866,9.0971384859,0.0907763584,17.1593940539,.3808114024
NU-100_EQeq,0.001,0.04,0.1918,0.7672,0.0186916838,0.0045753544,4.8581939690,0.0949732604,3.0149518168,0.0598708725,9.0116417238,0.1686006019,16.9034791934,.3280200892
NU-100_EQeq,0.005,0.04,0.191,0.764,0.0952638657,0.0087924075,4.9331144717,0.1809289514,3.0634414908,0.0317317603,9.0243023941,0.0609952323,17.1161222223,.2824483515
NU-100_EQeq,0.01,0.04,0.19,0.76,0.1897843122,0.0158573188,4.9112407262,0.1310902796,3.0331141771,0.0915767070,9.0088861661,0.1596148540,17.1430253816,.3981391594
NU-100_EQeq,0.02,0.04,0.188,0.752,0.3759046295,0.0167564919,4.9252773543,0.1401666047,2.9890055877,0.1091998840,8.9137449523,0.1842700080,17.2039325238,.4503929886
NU-100_EQeq,0.03,0.04,0.18600000000000003,0.7440000000000001,0.5528915105,0.0105274730,4.9041054402,0.1248487519,2.9482997825,0.0694581721,8.7198505098,0.1653866233,17.1251472430,.3702210203
