,MOF,argon_comp,CO2_comp,O2_comp,N2_comp,argon_mass,argon_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,ZIF-8_v2_EQeq,0.0,0.04,0.192,0.768,0.0,0.0,7.696680761900001,0.1083021142,2.5699000475,0.0767561519,7.951970245599999,0.1936155585,18.218551055,0.3786738246
1,ZIF-8_v2_EQeq,1e-05,0.04,0.191998,0.767992,0.0,0.0,7.7225568651,0.2561144019,2.5315302154,0.08246381900000001,7.936520937899999,0.2533074464,18.1906080184,0.5918856672999999
2,ZIF-8_v2_EQeq,5e-05,0.04,0.19199,0.7679600000000001,0.0007313242,0.0004478428,7.70030543,0.2053449459,2.5640420578,0.0337864344,7.8709415112,0.17433763,18.1360203232,0.41391685310000004
3,ZIF-8_v2_EQeq,0.0001,0.04,0.19197999999999998,0.7679199999999999,0.0021025570999999997,0.0015938842000000001,7.675033438200001,0.3419508652,2.5670442775,0.07375980110000001,7.958637166799999,0.1476821418,18.2028174396,0.5649866923
4,ZIF-8_v2_EQeq,0.0005,0.04,0.1919,0.7676000000000001,0.008867306,0.0033513485,7.653587485,0.18293815730000001,2.5630169096,0.0652097791,7.965560508099999,0.1896458111,18.191032208699998,0.441145096
5,ZIF-8_v2_EQeq,0.001,0.04,0.1918,0.7672,0.0164547946,0.0037912654,7.658923802,0.3036554257,2.5424407211,0.08038129849999999,7.9154303891,0.15723243550000002,18.1332497068,0.5450604251
6,ZIF-8_v2_EQeq,0.005,0.04,0.191,0.764,0.0795315072,0.009178045899999999,7.665569026900001,0.15600349759999999,2.5615524122,0.11789031289999999,7.9290847566,0.22700611899999998,18.2357377029,0.5100779754
7,ZIF-8_v2_EQeq,0.01,0.04,0.19,0.76,0.1572347039,0.0174888198,7.5590440574,0.10996818119999999,2.5353379087,0.086233159,7.7576679561,0.2312885359,18.009284626099998,0.44497869590000005
8,ZIF-8_v2_EQeq,0.02,0.04,0.188,0.752,0.3214169877,0.0163774173,7.715408214,0.2032140179,2.4925745844,0.043744123200000005,7.783053540599999,0.2597284452,18.312453326700002,0.5230640036
9,ZIF-8_v2_EQeq,0.03,0.04,0.18600000000000005,0.7440000000000001,0.5011399109,0.0089680448,7.7300075718,0.2042092986,2.4475412891999997,0.0381304055,7.7364491973,0.2711847778,18.4151379692,0.5224925267
10,ZIF-8_v2_EQeq,0.04,0.04,0.184,0.736,0.6490502311999999,0.0195552318,7.7211472719000005,0.2106419641,2.4481270882,0.056945414400000005,7.5570192703,0.1010047641,18.3753438616,0.38814737439999997
11,ZIF-8_v2_EQeq,0.05,0.04,0.182,0.728,0.8250251178,0.0185282831,7.7268863298,0.22817022899999997,2.4311389183000003,0.043563320999999995,7.5794560243,0.09150010789999999,18.5625063902,0.381761941
