MOF,argon_comp,CO2_comp,O2_comp,N2_comp,argon_mass,argon_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
MOF-801_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,74.0462165280,1.6423312950,0.3945902088,0.0102325447,1.2380341460,0.0590999450,75.6788408828,1.7116637847
MOF-801_EQeq,1e-05,0.05,0.189998,0.759992,0.0000000000,0.0000000000,74.1694015107,2.1622776467,0.3983655994,0.0193103929,1.2608724055,0.0395947569,75.8286395156,2.2211827965
MOF-801_EQeq,0.04,0.05,0.182,0.728,0.0989788796,0.0059128102,75.2846617515,1.7221197426,0.3852445698,0.0235907066,1.1920596187,0.0566399229,76.9609448196,1.8082631823
MOF-801_EQeq,0.05,0.05,0.18,0.72,0.1243610513,0.0093725719,74.7448179257,1.6633343573,0.3810049918,0.0130010771,1.1882667880,0.0420856004,76.4384507568,1.7277936067
MOF-801_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0001159003,0.0001892644,74.8196650361,1.0565579146,0.4001914030,0.0095553972,1.2532054691,0.0594422128,76.4731778085,1.1257447890
MOF-801_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0000386334,0.0001545338,75.0409299446,0.5337564356,0.3977776287,0.0081556193,1.2704357574,0.0670546263,76.7091819641,.6091212150
MOF-801_EQeq,0.0005,0.05,0.1899,0.7596,0.0014294374,0.0009336193,75.0862041489,1.5425235740,0.3953019627,0.0224107602,1.2510381372,0.0409958858,76.7339736862,1.6068638393
MOF-801_EQeq,0.001,0.05,0.1898,0.7592,0.0023180065,0.0020588399,75.0154844801,1.9850927113,0.4006555904,0.0066905989,1.2419624350,0.0397738615,76.6604205120,2.0336160116
MOF-801_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,0.0113195986,0.0026832866,75.5731146005,1.5968757482,0.3967254707,0.0137672405,1.2465680152,0.0299190921,77.2277276850,1.6432453674
MOF-801_EQeq,0.01,0.05,0.188,0.752,0.0241845350,0.0060613889,75.5272872338,2.4249645496,0.3933833216,0.0318514174,1.2485457055,0.0546358421,77.1934007959,2.5175131980
MOF-801_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,0.0516915460,0.0074817330,75.4240586438,2.7894664227,0.3897936060,0.0080990609,1.2538827603,0.0482080943,77.1194265561,2.8532553109
MOF-801_EQeq,0.03,0.05,0.184,0.736,0.0740603092,0.0061552180,74.4645774089,1.7406433381,0.3814382334,0.0125525664,1.2068787504,0.0364829459,76.1269547019,1.7958340684
