MOF	o-xylene_comp	m-xylene_comp	p-xylene_comp	o-xylene_mass	o-xylene_error	m-xylene_mass	m-xylene_error	p-xylene_mass	p-xylene_error	total_mass	total_mass_error
Cu-BDC	0.0	0.0	1.0	0.0	0.0	0.0	0.0	106.90865037280001	7.5087914072	106.90865037280001	7.5087914072
Cu-BDC	0.0	0.025	0.975	0.0	0.0	9.6406973012	10.330466892	103.7030278634	6.309505647999999	113.34372516459999	16.63997254
Cu-BDC	0.0	0.25	0.75	0.0	0.0	46.166558951400006	24.679235657800003	80.1664646618	16.8609798635	126.3330236132	41.5402155213
Cu-BDC	0.05	0.475	0.475	7.6016975926	7.7568251184	61.2901762008	38.7653369552	60.664385639799995	15.156768281199998	129.55625943319998	61.678930354799995
Cu-BDC	0.05	0.5	0.45	0.4465492248	0.7939190404	83.5554728157	23.0562388982	42.2367185577	10.2263052841	126.2387405982	34.0764632227
Cu-BDC	0.05	0.525	0.4249999999999999	13.7818974208	7.208996084400001	63.37165507	24.4444440715	54.7204113876	10.5753074017	131.8739638784	42.2287475576
Cu-BDC	0.05	0.55	0.3999999999999999	16.187668418399998	3.5854159813	81.03158903010001	33.4137260623	42.807597033	18.549977648800002	140.0268544815	55.5491196924
Cu-BDC	0.05	0.5750000000000001	0.3749999999999999	9.034592204900001	6.690077398500001	73.554220688	23.8654671594	49.153569195299994	12.7431207893	131.7423820882	43.2986653472
Cu-BDC	0.05	0.6000000000000001	0.3499999999999999	11.0787722989	8.0908442589	91.3985763697	16.2921274224	39.786396245300004	14.7599272823	142.26374491389998	39.142898963600004
Cu-BDC	0.05	0.625	0.325	13.5933313908	10.6512191589	92.323793209	16.836557311099998	36.3486924682	18.696728709000002	142.265817068	46.184505179
Cu-BDC	0.05	0.65	0.29999999999999993	6.1978131387	3.2597929271	84.2921236251	21.774541365900003	42.0429721423	9.1391147169	132.5329089061	34.1734490099
Cu-BDC	0.05	0.675	0.2749999999999999	5.6176099696	1.2285200786	100.8248057137	38.6088069954	34.5676759545	26.6973704703	141.0100916378	66.5346975443
Cu-BDC	0.05	0.7000000000000001	0.2499999999999999	11.105710303199999	2.4825617767	119.2244987144	15.8116316021	15.7794540459	11.2126002936	146.1096630635	29.506793672399997
Cu-BDC	0.0	0.275	0.725	0.0	0.0	54.6914012291	42.1530769333	71.1401610737	28.8105669605	125.83156230280001	70.9636438938
Cu-BDC	0.05	0.7250000000000001	0.22499999999999987	16.6383619516	1.4747479194	96.8659551616	22.402543233499998	26.9048498137	14.7472675223	140.4091669269	38.6245586752
Cu-BDC	0.05	0.75	0.2	24.222446233600003	10.6127200315	91.70836341889999	28.009427639499997	27.911916743000003	22.4594701088	143.8427263955	61.0816177798
Cu-BDC	0.05	0.775	0.17499999999999993	11.2207148599	2.0592771695	110.619878501	13.8086006577	21.4405792531	6.9399515302	143.28117261399998	22.8078293574
Cu-BDC	0.05	0.8	0.1499999999999999	9.4645641963	2.8901834169	111.6984347493	16.082173182000002	21.39188363	10.6150728785	142.5548825756	29.587429477399997
Cu-BDC	0.05	0.8250000000000001	0.12499999999999988	21.6540111332	12.060740145	109.6615071948	17.3457952868	13.9217678276	13.7882322204	145.2372861556	43.1947676522
Cu-BDC	0.05	0.8500000000000001	0.09999999999999988	15.4686309196	2.1007698928	118.43086366520001	19.9296138913	10.5120381319	12.9829900031	144.4115327167	35.013373787199995
Cu-BDC	0.05	0.875	0.07499999999999996	6.1169991259000005	7.9623677551	118.6121771556	13.269776032100001	14.283358731199998	9.3629029289	139.0125350127	30.5950467161
