MOF	o-xylene_comp	m-xylene_comp	p-xylene_comp	o-xylene_mass	o-xylene_error	m-xylene_mass	m-xylene_error	p-xylene_mass	p-xylene_error	total_mass	total_mass_error
UIO-67	0.0	0.0	1.0	0.0	0.0	0.0	0.0	344.9937688689	15.2525204783	344.9937688689	15.2525204783
UIO-67	0.0	0.025	0.975	0.0	0.0	7.7354669652	6.9984240473	339.8490527284	30.4807072203	347.5845196936	37.4791312676
UIO-67	0.0	0.25	0.75	0.0	0.0	89.4448401667	14.9145080931	255.4385721763	20.9540260224	344.88341234300003	35.868534115500005
UIO-67	0.05	0.475	0.475	22.351575741799998	7.3639468261	156.7553142618	54.4819106137	182.6207819266	21.170601279	361.72767193019996	83.0164587188
UIO-67	0.05	0.5	0.45	20.5140519994	8.907615311599999	134.4142486653	24.414568162	199.7383052925	19.6092430787	354.66660595720003	52.931426552299996
UIO-67	0.05	0.525	0.4249999999999999	31.1170369496	16.344957755	154.245141218	59.815217341899995	171.5360819819	48.8413217339	356.89826014949995	125.0014968308
UIO-67	0.05	0.55	0.3999999999999999	26.089684098600003	10.8677217979	145.3237795211	8.616728263099999	208.43720224650002	27.5589215921	379.8506658662	47.0433716531
UIO-67	0.05	0.5750000000000001	0.3749999999999999	29.9241354543	7.4922471175	163.5886604192	26.062524280599998	158.769758784	35.867357781100004	352.2825546575	69.4221291792
UIO-67	0.05	0.6000000000000001	0.3499999999999999	18.2841494979	10.736345385	167.5649987369	35.638953183000005	162.4956053046	37.1820148611	348.3447535394	83.55731342909999
UIO-67	0.05	0.625	0.325	20.0008065689	10.100332905	195.2732452168	16.5685684464	142.6209204796	22.827096892800004	357.8949722653	49.4959982442
UIO-67	0.05	0.65	0.29999999999999993	17.944321465399998	12.990667181400001	216.0395407042	41.801811415100005	122.5132607665	38.2838814419	356.4971229361	93.0763600384
UIO-67	0.05	0.675	0.2749999999999999	24.1838444115	9.7656187344	199.6769961114	17.2534577658	132.65555101290002	29.142272268000003	356.51639153580004	56.1613487682
UIO-67	0.05	0.7000000000000001	0.2499999999999999	26.3524377319	6.5110366833	182.03046209709998	22.0377378519	143.7630229391	25.0530194167	352.1459227681	53.60179395189999
UIO-67	0.0	0.275	0.725	0.0	0.0	86.0745868965	39.6573572781	257.3531703178	52.5183730184	343.4277572143	92.17573029649999
UIO-67	0.05	0.7250000000000001	0.22499999999999987	25.0719516922	21.1464675496	226.3780203302	36.9816811193	115.58357161020001	44.963636664300004	367.0335436326	103.0917853332
UIO-67	0.05	0.75	0.2	20.768047178299998	2.4808148667	209.5057336887	20.0902698011	126.254872505	29.328324471	356.52865337199995	51.8994091388
UIO-67	0.05	0.775	0.17499999999999993	26.2946319326	11.7464707853	229.2998407328	48.03909296649999	101.3142976295	26.0325302982	356.90877029489997	85.81809405
UIO-67	0.05	0.8	0.1499999999999999	16.5850093357	9.2979290366	255.2563963238	21.7144593629	81.9020591993	29.9335147029	353.7434648588	60.945903102399996
UIO-67	0.05	0.8250000000000001	0.12499999999999988	30.0590156527	10.2362496793	268.7969668947	26.8808984173	45.361787257799996	11.9434102595	344.21776980519996	49.060558356099996
UIO-67	0.05	0.8500000000000001	0.09999999999999988	29.8996117819	21.2570367765	254.80270838360002	12.3706161753	70.9101988717	12.332935918599999	355.6125190372	45.9605888704
UIO-67	0.05	0.875	0.07499999999999996	26.359444495500004	13.9444391554	287.5908584412	20.9359070006	40.4080054241	12.6056457151	354.35830836080004	47.4859918711
UIO-67	0.05	0.9	0.04999999999999993	23.5129468011	16.9865633768	290.6212836789	16.7362762847	33.4082486322	17.3722970468	347.5424791122	51.0951367083
UIO-67	0.05	0.925	0.024999999999999908	20.981753466700003	6.576264741699999	320.6505205865	32.422011786999995	10.3805202073	6.1413333265	352.0127942605	45.13960985520001
UIO-67	0.05	0.95	0.0	37.7121531461	12.994833115899999	304.9098262593	17.8696044806	0.0	0.0	342.6219794054	30.8644375965
UIO-67	0.0	0.30000000000000004	0.7	0.0	0.0	87.6528603874	25.1763832577	250.1834995097	37.7504682442	337.8363598971	62.926851501899996
UIO-67	0.07500000000000001	0.0	0.925	24.3975507	13.2645159121	0.0	0.0	327.12126673	26.9845247275	351.51881743	40.2490406396
UIO-67	0.07500000000000001	0.025	0.9	47.4007554524	17.3100459285	7.7687490921	6.0908788452	307.987547151	14.677558339	363.15705169550006	38.0784831127
UIO-67	0.07500000000000001	0.05	0.875	38.9856324223	13.4480603187	16.628801607899998	10.8162769239	299.2606231427	22.116861649	354.87505717290003	46.3811988916
UIO-67	0.07500000000000001	0.07500000000000001	0.85	62.1780197908	8.8369039735	30.7789606081	4.8498168212	285.42401681169997	19.0120127101	378.38099721059996	32.6987335048
UIO-67	0.07500000000000001	0.1	0.825	34.94097816	13.5999755431	30.132586670100004	3.5272043562	290.7526604956	9.7995005451	355.8262253257	26.926680444400002
UIO-67	0.07500000000000001	0.125	0.8	40.572664367600005	11.6770011325	44.9676568078	4.1554213668	257.0623896302	10.860694841900001	342.6027108056	26.693117341199997
UIO-67	0.07500000000000001	0.15000000000000002	0.7749999999999999	42.9899977943	11.3105995695	44.9308712991	20.427915429000002	270.2946626046	30.6745033153	358.215531698	62.4130183138
UIO-67	0.07500000000000001	0.17500000000000002	0.75	37.5509975844	7.661637234700001	59.1125607353	22.9439663571	272.3616578535	28.784030723	369.0252161732	59.3896343148
UIO-67	0.07500000000000001	0.2	0.725	34.8428834702	3.9588586127	54.7175682951	26.3952083681	280.7347403022	46.997999083500005	370.2951920675	77.3520660643
UIO-67	0.07500000000000001	0.225	0.7	39.372756108800004	16.5153727427	49.961727531899996	20.6856393112	265.24979284470004	47.7200620396	354.5842764854	84.92107409350001
UIO-67	0.0	0.325	0.675	0.0	0.0	88.3535367429	20.8028833472	254.2421672992	23.2775383984	342.5957040421	44.080421745600006
UIO-67	0.07500000000000001	0.25	0.675	28.4842455437	13.3662504396	77.0183450011	28.9562008655	245.1421331316	27.576246945300003	350.6447236764	69.8986982504
UIO-67	0.07500000000000001	0.275	0.6499999999999999	39.5006295437	13.4324015954	90.0018778693	8.656508296	230.2720291761	26.9809134986	359.7745365891	49.06982339
UIO-67	0.07500000000000001	0.30000000000000004	0.625	33.9915616982	22.703695275999998	79.2815296295	34.3679234663	251.15043288029997	22.379849588899997	364.423524208	79.4514683312
UIO-67	0.07500000000000001	0.325	0.6	31.3237364745	22.1584081276	80.4446523797	18.4793290125	243.44124127849997	55.224453827	355.20963013269994	95.86219096709999
UIO-67	0.07500000000000001	0.35000000000000003	0.575	51.4208860423	2.2378356724	95.21666164540001	21.746508609699998	222.187975724	21.6182547769	368.8255234117	45.602599059
UIO-67	0.07500000000000001	0.375	0.55	39.5882140881	14.3418754167	118.94856980760001	21.7983274553	197.6555448256	30.6394854562	356.1923287213	66.7796883282
UIO-67	0.07500000000000001	0.4	0.5249999999999999	36.8293009382	18.3101995514	137.2660014324	23.4413801084	170.8494191535	25.0321013948	344.94472152410003	66.7836810546
UIO-67	0.07500000000000001	0.425	0.5	32.0506881934	11.692720248399999	107.5310485941	31.6052507102	218.7178760732	33.6217021228	358.2996128607	76.9196730814
UIO-67	0.07500000000000001	0.45	0.475	33.6990293198	12.940975399700001	129.9877257892	23.6303934549	191.2145774273	6.916531012	354.90133253629995	43.487899866599996
UIO-67	0.07500000000000001	0.475	0.45	38.731637243499996	14.1594166441	134.6209481902	15.354154093699998	176.47059521580002	19.4305954757	349.8231806495	48.944166213500004
UIO-67	0.0	0.35000000000000003	0.6499999999999999	0.0	0.0	103.954095799	22.987719245300003	245.0212664602	16.7836582162	348.9753622592	39.7713774615
UIO-67	0.07500000000000001	0.5	0.425	37.8680536352	9.1498017132	158.47372302370002	17.5855053214	161.2396429372	15.713753400999998	357.58141959610003	42.449060435599996
UIO-67	0.07500000000000001	0.525	0.3999999999999999	25.7691246659	7.4014559763	151.5160068132	28.9500159321	189.2141464322	35.9490684886	366.4992779113	72.30054039699999
UIO-67	0.07500000000000001	0.55	0.375	35.7660245686	14.693504775	168.0151832953	21.007360378399998	156.1124437056	30.4306580688	359.8936515695	66.1315232222
UIO-67	0.07500000000000001	0.5750000000000001	0.3499999999999999	29.8943567092	15.1453726745	177.87545130869998	50.654376919300006	141.5261136741	36.4127898056	349.295921692	102.2125393994
UIO-67	0.07500000000000001	0.6000000000000001	0.325	27.3053575755	9.2103673732	188.32603915159999	15.8693735891	149.2142849853	25.3915787093	364.8456817124	50.4713196716
UIO-67	0.07500000000000001	0.625	0.30000000000000004	36.8643347559	18.022309826300003	201.7212193787	30.8333973727	141.06541897030002	42.7192459007	379.6509731049	91.5749530997
UIO-67	0.07500000000000001	0.65	0.2749999999999999	30.248198268699998	10.0386261161	181.66961377389998	33.997922932	153.0750117043	64.0527991789	364.9928237469	108.089348227
UIO-67	0.07500000000000001	0.675	0.25	28.573581779	13.3429485817	187.0718284752	32.7316124166	140.2105938166	34.0395947275	355.8560040708	80.1141557258
