o-xylene_comp	m-xylene_comp	p-xylene_comp	o-xylene_mass	o-xylene_error	m-xylene_mass	m-xylene_error	p-xylene_mass	p-xylene_error	total_mass	total_mass_error
0.1 0.74 0.16000000000000006 50.7798524363 22.1055734319 235.2543919564 38.2578045396 61.4183960352 13.2884238278 347.4526404279 73.6518017993
0.01 0.03 0.96 7.0192452612 9.3681288655 24.3480069997 22.8652150063 332.5367442479 35.5971596137 363.9039965088 67.8305034855
0.1 0.75 0.15000000000000002 37.6187675716 19.6512425855 206.0806538397 28.0769810447 100.6822992149 28.4616384634 344.3817206262 76.1898620936
0.1 0.76 0.14 35.0962263059 8.1189660004 255.5443977895 37.2574689247 74.2504537783 28.8061110123 364.8910778737 74.1825459374
0.1 0.77 0.13 42.5541743958 26.4461767579 250.9380180868 12.1061315453 62.1861259857 16.4966264197 355.6783184683 55.0489347229
0.1 0.78 0.12 30.1608194816 11.0549631040 246.9896926274 24.2440377277 70.8505068549 14.9802723798 348.0010189639 50.2792732115
0.1 0.79 0.11 34.5478477698 6.2812686030 276.2731064514 74.8962226926 34.9865505986 37.3438938307 345.8075048198 118.5213851263
0.1 0.8 0.09999999999999998 32.9027121617 16.8772348027 232.7318506907 44.2992115503 79.7342391386 29.8479167827 345.3688019910 91.0243631357
0.1 0.81 0.08999999999999997 60.8700174992 17.3689757797 214.8547104161 58.3713855867 66.6828299811 32.8485609185 342.4075578964 108.5889222849
0.1 0.8200000000000001 0.07999999999999996 42.5541743958 18.8259237959 265.0861843164 38.8728831011 49.6830953642 12.9881230658 357.3234540764 70.6869299628
0.1 0.8300000000000001 0.06999999999999995 27.4189268014 7.2419194192 291.2986783386 26.1516198593 32.0253065041 24.6475258996 350.7429116441 58.0410651781
0.1 0.84 0.06000000000000005 43.9799585895 15.3608649136 282.5246217621 55.7143956656 37.1800647428 25.9298980126 363.6846450944 97.0051585918
0.01 0.04 0.95 4.6063797026 4.5801919992 20.5093572475 19.1301598815 320.5820921625 9.2959462797 345.6978291126 33.0062981604
0.1 0.85 0.05000000000000005 73.2633724135 22.3006072674 261.7959131002 26.6726269022 14.5868690584 15.1272979917 349.6461545721 64.1005321613
0.1 0.86 0.040000000000000036 31.0382251392 23.0955269857 268.4861312398 23.1890862394 49.6830953642 24.0947319738 349.2074517432 70.3793451989
0.1 0.87 0.030000000000000027 24.1286555853 13.0693688702 294.5889495547 37.2665077687 27.9673053375 20.1636334371 346.6849104775 70.4995100760
0.1 0.88 0.020000000000000014 44.1993100039 33.4005297428 273.2021866496 20.4055772317 42.6638501030 8.7850173010 360.0653467565 62.5911242755
0.1 0.89 0.010000000000000007 44.3089857111 18.3574987730 304.7887903249 26.0779220381 10.0901650629 10.0183820903 359.1879410989 54.4538029014
0.1 0.9 0.0 45.4057427832 6.1418396035 278.4666205955 10.2275169759 0.0000000000 0.0000000000 323.8723633787 16.3693565794
0.11 0.0 0.89 68.2182898820 33.4652915865 0.0000000000 0.0000000000 277.6988906450 45.8523163986 345.9171805270 79.3176079851
0.11 0.01 0.88 38.1671461076 29.1299999730 7.0192452612 9.8927244716 293.8212196043 19.1150630806 339.0076109731 58.1377875252
0.11 0.02 0.87 69.4247226613 34.6241882431 8.4450294548 3.7095690180 273.8602408928 51.7669338011 351.7299930089 90.1006910622
0.11 0.03 0.86 52.6443394588 27.4934051292 7.6772995044 7.4385683740 268.0474284109 15.8237379843 328.3690673741 50.7557114875
0.01 0.05 0.94 3.1805955090 2.4425939762 36.1929833779 18.4698580098 297.0018151133 44.5375208436 336.3753940002 65.4499728296
0.11 0.04 0.85 39.2639031797 15.7811109428 7.1289209684 9.8829923251 309.8338728563 22.8483744848 356.2266970044 48.5124777527
0.11 0.05 0.84 43.5412557607 11.5571345661 24.4576827069 16.8857852895 284.7181359062 58.4084669306 352.7170743738 86.8513867862
0.11 0.06 0.8300000000000001 41.6767687382 17.9412830561 24.0189798781 8.5911859466 283.9504059558 17.0106986520 349.6461545721 43.5431676547
0.11 0.07 0.8200000000000001 51.4379066795 22.1360248906 30.3801708960 16.4235480662 282.0859189333 58.1037013231 363.9039965088 96.6632742799
0.11 0.08 0.81 51.5475823867 15.9237645245 43.3219043463 49.9379883347 276.7118092802 42.0708922173 371.5812960132 107.9326450765
0.11 0.09 0.8 45.6250941976 20.2160623089 34.9865505986 23.7609325283 278.7956477171 19.5776513549 359.4072925133 63.5546461921
0.11 0.1 0.79 47.3799055129 13.9525432805 35.4252534275 5.2644339459 270.7893210911 8.5349970772 353.5944800315 27.7519743036
0.11 0.11 0.78 57.1410434542 26.7698608608 62.0764502785 30.3340086770 245.0155298977 19.3153835959 364.2330236304 76.4192531337
0.11 0.12 0.77 70.4118040261 28.1813218255 53.6314208236 10.9103902952 245.5639084337 31.2943059567 369.6071332834 70.3860180774
0.11 0.13 0.76 28.9543867023 12.2405164889 30.5995223104 16.4206181673 265.4152114380 36.1564063262 324.9691204507 64.8175409824
0.01 0.06 0.93 8.0063266260 7.6804324568 55.8249349677 13.0214212568 276.3827821586 32.0207989660 340.2140437523 52.7226526796
0.11 0.14 0.75 24.1286555853 12.2719226124 36.3026590851 15.9901012669 297.2211665277 21.1193382626 357.6524811981 49.3813621419
0.11 0.15 0.74 41.5670930310 27.0825721740 55.0572050173 28.2324955045 255.9831006183 40.8158700628 352.6073986666 96.1309377413
0.11 0.16 0.73 39.9219574229 10.3444601426 64.0506130082 28.5864634117 254.5573164246 29.3423001743 358.5298868557 68.2732237286
0.11 0.17 0.72 28.6253595807 17.7850581307 27.4189268014 12.4857013954 306.1048988113 13.6879500824 362.1491851934 43.9587096085
0.11 0.18 0.71 33.6704421122 16.6851322687 109.7853829130 49.1924584958 208.1644922766 47.5471703743 351.6203173018 113.4247611388
0.11 0.19 0.7 33.3414149906 17.9466458669 74.1407780711 15.8692827527 240.4091501951 41.3557410601 347.8913432568 75.1716696797
0.11 0.2 0.69 59.0055304767 17.6928366800 69.4247226613 58.3021039765 244.5768270689 45.5226855776 373.0070802069 121.5176262341
0.11 0.21 0.6799999999999999 22.0448171484 23.2284758917 58.2378005263 21.1921167278 275.5053765009 17.5151795365 355.7879941756 61.9357721560
0.11 0.22 0.6699999999999999 49.5734196570 45.5945012918 87.8502414718 33.5643503870 229.5512551817 33.3500724750 366.9749163105 112.5089241538
0.11 0.23 0.6599999999999999 46.3928241480 16.3648504228 102.6564619446 26.1147969462 224.0674698214 23.7224270044 373.1167559140 66.2020743734
0.01 0.07 0.92 1.5354599009 1.4550126777 32.4640093329 9.9170130534 315.3176582166 13.3065156317 349.3171274504 24.6785413628
0.11 0.24 0.65 58.7861790623 35.4875067537 95.9662438051 16.6331445396 202.7903826235 29.8785292125 357.5428054909 81.9991805058
0.11 0.25 0.64 55.2765564317 8.7575897682 68.8763441252 32.5469013392 244.2477999473 21.5880130290 368.4007005042 62.8925041364
0.11 0.26 0.63 43.4315800535 31.4935469024 95.8565680979 27.7754675844 208.3838436910 49.5413801145 347.6719918424 108.8103946013
0.11 0.27 0.62 47.1605540985 11.2918051684 76.5536436296 18.4776715297 251.1573695012 29.8511406221 374.8715672293 59.6206173202
0.11 0.28 0.61 47.4895812201 11.7429857043 76.8826707513 17.7850581307 250.4993152580 28.5359245129 374.8715672294 58.0639683479
0.11 0.29 0.6000000000000001 47.2702298057 28.3073828920 84.8889973773 32.9129469692 231.9641207402 23.0266752682 364.1233479232 84.2470051294
0.11 0.3 0.5900000000000001 29.5027652384 16.9965501852 109.8950586202 21.2623833111 202.2420040875 28.0855481523 341.6398279461 66.3444816486
0.11 0.31 0.5800000000000001 42.5541743958 27.8204705526 134.3527413271 23.4921166194 193.1389203894 20.1445345615 370.0458361123 71.4571217335
0.11 0.32 0.5700000000000001 31.4769279681 8.6525722716 115.4885196877 34.6102890863 199.3904357001 25.6425462405 346.3558833559 68.9054075984
0.11 0.33 0.56 29.0640624095 27.3002200749 113.6240326652 16.8686799818 207.7257894478 36.1191261802 350.4138845225 80.2880262369
0.01 0.08 0.91 5.5934610675 11.1287070540 59.8829361344 28.4007144439 308.5177643699 49.8299599567 373.9941615718 89.3593814546
0.11 0.34 0.55 47.8186083417 13.0767298220 130.5140915749 8.6358738213 192.9195689750 38.8282984111 371.2522688916 60.5409020544
0.11 0.35000000000000003 0.54 34.4381720626 39.2534856691 136.1075526424 22.0379954643 184.1455123985 31.3864204788 354.6912371035 92.6779016122
0.11 0.36 0.53 41.5670930310 28.3922424351 110.9918156923 63.4096339975 194.8937317047 24.5693168308 347.4526404280 116.3711932634
0.11 0.37 0.52 47.4895812201 23.0224958190 114.8304654445 19.9670039399 205.9709781325 22.9492322470 368.2910247971 65.9387320059
0.11 0.38 0.51 68.2182898820 5.6607966437 101.8887319942 20.9293896593 205.0935724748 38.3708263650 375.2005943510 64.9610126680
0.11 0.39 0.5 42.2251472742 17.8875665192 144.6622578044 33.9846066959 168.2425348537 49.8676035381 355.1299399323 101.7397767532
0.11 0.4 0.49 38.8252003508 13.3678446175 108.5789501337 35.4305161123 213.9773047585 55.7316650218 361.3814552430 104.5300257516
0.11 0.41 0.48 50.1217981930 9.3732634939 155.7395042322 30.9355492170 153.9846929169 22.0052219438 359.8459953421 62.3140346547
0.11 0.42 0.47 79.1858606026 17.1963674741 139.3978238585 30.0231113585 144.1138792684 32.0238040619 362.6975637295 79.2432828945
0.11 0.43 0.46 34.8768748914 18.0695512348 124.4819276786 35.2535326003 189.8486491732 30.1191138781 349.2074517432 83.4421977132
0.0 0.11 0.89 0.0000000000 0.0000000000 58.7861790623 22.6516846746 259.3830475417 10.1234895959 318.1692266040 32.7751742705
0.01 0.09 0.9 3.7289740450 3.8869169664 34.6575234770 17.9063856370 321.7885249418 28.8044406571 360.1750224638 50.5977432605
0.11 0.44 0.45 41.4574173238 14.8220540533 98.1597579492 15.0699370596 207.7257894478 39.1982880149 347.3429647208 69.0902791278
0.11 0.45 0.44 29.5027652384 12.6274800541 110.3337614490 29.2930653387 207.9451408622 32.2185340724 347.7816675496 74.1390794652
0.11 0.46 0.43 30.2704951888 15.9901012669 118.4497637822 42.0159603940 203.1194097451 35.9803188851 351.8396687161 93.9863805460
0.11 0.47 0.4199999999999999 21.2770871979 15.4701074303 136.7656068856 57.3535790517 196.8678944344 40.7131825273 354.9105885179 113.5368690093
0.11 0.48 0.41 58.8958547695 19.8340261068 182.5003767904 17.2912370069 131.2818215253 37.2677988532 372.6780530852 74.3930619669
0.11 0.49 0.4 49.9024467786 33.8825165253 126.6754418227 30.5521166907 159.2491268628 30.9790678970 335.8270154641 95.4137011130
0.11 0.5 0.39 40.5800116661 21.0280109666 153.2169629665 28.8895056371 157.3846398403 52.1069273392 351.1816144729 102.0244439429
0.11 0.51 0.38 41.3477416166 20.2778489371 152.9976115521 29.2239972168 156.8362613043 50.7503522355 351.1816144730 100.2521983894
0.11 0.52 0.37 29.1737381167 21.9066071980 154.4233957457 23.1579418197 161.1136138853 30.6181890042 344.7107477477 75.6827380219
0.11 0.53 0.36 52.7540151660 30.0711509295 201.2549227226 35.4169333952 119.5465208543 23.1413143239 373.5554587429 88.6293986486
0.01 0.1 0.89 8.5547051621 9.8732505856 45.4057427832 27.2154913975 288.2277585368 37.8443175400 342.1882064821 74.9330595231
0.11 0.54 0.35 53.7410965308 18.9710442958 142.2493922459 33.2923133869 171.2037789482 28.1796144357 367.1942677249 80.4429721184
0.11 0.55 0.34 62.4054774001 11.1933717880 152.5589087232 37.2729627439 141.3719865883 25.0041370337 356.3363727116 73.4704715656
0.11 0.56 0.33 41.4574173238 46.6068850222 161.1136138853 17.6765123616 175.2617801148 34.2750184536 377.8328113239 98.5584158374
0.11 0.5700000000000001 0.31999999999999995 63.2828830577 12.8015560176 158.5910726196 15.7169536102 161.8813438357 26.9757652421 383.7552995130 55.4942748699
0.11 0.58 0.31000000000000005 64.3796401298 37.4352606849 171.9715088987 24.2142502269 108.1402473049 34.1399883090 344.4913963334 95.7894992208
0.11 0.59 0.30000000000000004 67.1215328099 28.1386060010 177.6746456734 58.2707352349 120.6432779264 63.3124334763 365.4394564097 149.7217747122
0.11 0.6 0.29000000000000004 27.0898996798 23.6615012288 192.9195689750 19.9404793169 127.1141446515 10.3676904888 347.1236133063 53.9696710345
0.11 0.61 0.28 59.7732604272 16.3707296580 178.7714027454 56.0098277437 122.3980892417 24.8400344502 360.9427524143 97.2205918519
0.11 0.62 0.27 57.9087734047 30.9557619269 150.5847459935 16.3795445539 158.3717212052 27.9567658817 366.8652406034 75.2920723625
0.11 0.63 0.26 71.3988853910 6.9156599646 136.2172283496 14.1579401452 165.8296692951 15.7353109693 373.4457830357 36.8089110791
0.01 0.11 0.88 6.9095695540 10.7145925078 51.8766095083 8.1071048312 311.3693327572 12.5126475990 370.1555118195 31.3343449380
0.11 0.64 0.25 34.3284963554 27.9584868805 187.6551350291 53.5478092250 113.9530597868 34.6714036984 335.9366911713 116.1776998039
0.11 0.65 0.24 29.7221166528 26.5079627289 207.5064380333 22.0837966820 122.6174406561 40.5272144120 359.8459953422 89.1189738229
0.11 0.66 0.23 46.2831484408 7.0602538589 174.9327529932 33.5040886056 132.2689028902 38.5859027460 353.4848043242 79.1502452105
0.11 0.67 0.22 39.2639031797 32.2125599329 217.0482245602 37.9002175964 96.6242980483 38.0143025925 352.9364257882 108.1270801218
0.11 0.68 0.21 39.3735788869 20.7909967618 233.3899049339 52.9114533183 79.8439148458 19.3676244094 352.6073986666 93.0700744895
0.11 0.6900000000000001 0.2 52.2056366300 33.8924554538 144.4429063900 36.8523432612 149.4879889215 20.7005452343 346.1365319415 91.4453439493
0.11 0.7000000000000001 0.18999999999999995 65.6957486163 43.6470733580 165.5006421735 29.8301794383 142.2493922459 27.3231222091 373.4457830357 100.8003750054
0.11 0.71 0.18000000000000005 33.5607664050 8.7024753771 226.0416325511 30.6574501557 109.7853829130 29.5384188785 369.3877818691 68.8983444113
0.11 0.72 0.17000000000000004 61.7474231569 12.4200172251 184.0358366913 24.3825649053 138.0817153721 28.9211325433 383.8649752203 65.7237146737
0.11 0.73 0.16000000000000006 37.1800647428 17.0389603406 262.0152645146 16.3029904483 79.2955363098 20.6073620232 378.4908655672 53.9493128121
0.01 0.12 0.87 2.6322169729 2.9754273496 47.1605540985 14.5004392323 298.0985721853 38.6369942445 347.8913432567 56.1128608264
0.11 0.74 0.15000000000000002 19.4126001754 17.6383635314 246.2219626770 39.3428638186 91.6888912240 41.2613945676 357.3234540764 98.2426219176
0.11 0.75 0.14 38.0574704004 17.8552590277 247.5380711635 30.9246599780 80.5019690890 12.7412776085 366.0975106529 61.5211966142
0.11 0.76 0.13 58.6765033551 28.0478333053 237.1188789789 41.9907592922 71.7279125126 30.7671148480 367.5232948466 100.8057074455
0.11 0.77 0.12 28.7350352879 40.9876181491 267.6087255821 54.7939657578 76.3342922152 8.1603443259 372.6780530852 103.9419282328
0.11 0.78 0.11 29.8317923600 13.9180157758 258.3959661768 29.8301794383 71.1795339766 20.3701774874 359.4072925134 64.1183727015
0.11 0.79 0.09999999999999998 29.7221166528 20.5816626785 256.8605062759 57.6881709230 73.7020752423 18.7875478836 360.2846981710 97.0573814851
0.11 0.8 0.08999999999999997 34.7671991842 15.1272979917 241.5059072671 21.0463081299 77.9794278233 22.1251541808 354.2525342746 58.2987603024
0.11 0.81 0.07999999999999996 71.2892096838 11.9340071767 254.7766678390 46.0564847322 34.5478477698 33.3457440138 360.6137252926 91.3362359227
0.11 0.8200000000000001 0.06999999999999995 54.3991507741 22.7787757300 261.7959131002 17.3079247094 31.9156307969 21.3053353811 348.1106946712 61.3920358205
0.11 0.8300000000000001 0.059999999999999935 30.0511437744 21.5188097690 272.8731595280 32.5986018073 48.2573111705 18.7028437047 351.1816144729 72.8202552810
0.01 0.13 0.86 7.5676237972 8.2774284194 36.7413619139 20.9707294356 293.7115438971 27.4723964111 338.0205296082 56.7205542661
0.11 0.84 0.05000000000000005 54.1797993597 11.3640122942 255.2153706679 5.7031367747 51.8766095083 8.1662383999 361.2717795359 25.2333874688
0.11 0.85 0.040000000000000036 28.9543867023 19.9766405253 279.5633776675 27.1446821416 35.6446048419 8.3526530130 344.1623692117 55.4739756799
0.11 0.86 0.030000000000000027 67.8892627604 27.5056528045 270.4602939695 60.0253852994 15.4642747160 12.3773299595 353.8138314459 99.9083680634
0.11 0.87 0.020000000000000014 50.1217981930 21.4538691471 273.4215380640 45.6525048905 23.3609256348 16.0081453967 346.9042618918 83.1145194343
0.11 0.88 0.010000000000000007 34.8768748914 34.0849795127 300.2920863294 37.9395522709 5.9224881891 4.7249740691 341.0914494099 76.7495058527
0.11 0.89 0.0 32.2446579185 13.1501127203 307.2016558834 12.2208466763 0.0000000000 0.0000000000 339.4463138019 25.3709593966
0.12 0.0 0.88 36.9607133283 24.6670394217 0.0000000000 0.0000000000 313.7821983157 24.7138090123 350.7429116440 49.3808484340
0.12 0.01 0.87 42.0057958598 36.8719223140 3.3999469234 1.2790275455 308.5177643699 33.2923133868 353.9235071531 71.4432632463
0.12 0.02 0.86 67.6699113460 14.4938013563 3.6192983378 2.2583610337 296.4534365772 20.5606120492 367.7426462610 37.3127744392
0.12 0.03 0.85 41.3477416166 28.7475908320 18.9738973466 16.9852229262 305.5565202753 47.1396345564 365.8781592385 92.8724483146
0.01 0.14 0.85 1.0967570721 1.3873001550 34.4381720626 29.4731909776 304.4597632033 30.3577919768 339.9946923380 61.2182831094
0.12 0.04 0.84 40.3606602517 30.7843123525 14.5868690584 15.1590713894 290.0922455593 62.1194530638 345.0397748694 108.0628368057
0.12 0.05 0.8300000000000001 35.0962263059 39.5806240504 15.1352475944 6.2659297069 291.2986783386 52.5363809841 341.5301522389 98.3829347414
0.12 0.06 0.8200000000000001 75.2375351432 44.8754611108 44.3089857111 10.5971935140 228.7835252313 32.2782146535 348.3300460856 87.7508692783
0.12 0.07 0.81 22.7028713916 12.1656020106 11.1869221350 5.8283119650 324.5304176219 15.8692827527 358.4202111485 33.8631967283
0.12 0.08 0.8 29.9414680672 24.0247384144 46.3928241480 4.8851879524 266.6216442173 36.0190785497 342.9559364325 64.9290049165
0.12 0.09 0.79 62.4054774001 14.3402822078 20.1803301259 17.9198157639 266.7313199245 16.7139444681 349.3171274505 48.9740424398
0.12 0.1 0.78 51.8766095083 14.9029875699 38.6058489364 16.2616197333 269.4732126046 27.9154300791 359.9556710493 59.0800373823
0.12 0.11 0.77 58.4571519407 15.8267783797 64.0506130082 12.7223820359 260.0411017849 11.8409136182 382.5488667338 40.3900740338
0.12 0.12 0.76 49.2443925354 10.3676904888 30.8188737248 20.7098404953 275.6150522081 35.5701162613 355.6783184683 66.6476472454
0.12 0.13 0.75 46.0637970264 23.9986888134 54.0701236525 21.1830330939 255.6540734967 20.0727519319 355.7879941756 65.2544738392
0.01 0.15 0.84 1.4257841937 1.9122612971 53.0830422876 10.6425002341 288.7761370728 21.1830330939 343.2849635541 33.7377946251
0.12 0.14 0.74 52.7540151660 19.3153835959 88.3986200079 12.7789849345 240.6285016095 10.7772776624 381.7811367834 42.8716461928
0.12 0.15 0.73 38.0574704004 19.3924515243 40.6896873733 13.4575265881 262.4539673434 23.4470143380 341.2011251171 56.2969924504
0.12 0.16 0.72 23.7996284637 14.6588465459 48.3669868778 25.9298980126 288.8858127800 39.5344034602 361.0524281215 80.1231480187
0.12 0.17 0.71 44.4186614183 14.4005498280 66.2441271523 15.6863102712 234.7060134204 18.1545598839 345.3688019910 48.2414199831
0.12 0.18 0.7 42.9928772247 8.7630821424 62.4054774001 24.1824364503 249.0735310643 50.0361683954 354.4718856891 82.9816869881
0.12 0.19 0.69 57.6894219902 19.0393995177 88.6179714223 22.5046426913 207.6161137405 39.2975879701 353.9235071530 80.8416301791
0.12 0.2 0.6799999999999999 42.7735258103 27.1056582041 64.2699644226 35.8248608804 238.8736902942 69.7130406287 345.9171805271 132.6435597132
0.12 0.21 0.67 49.7927710714 17.2912370069 71.2892096838 30.8966414551 220.2288200692 38.4247083220 341.3108008244 86.6125867840
0.12 0.22 0.66 39.9219574229 17.8525640977 83.6825645980 28.1300550524 240.9575287311 38.8852586651 364.5620507520 84.8678778152
0.12 0.23 0.65 33.7801178194 15.5352842172 109.7853829130 18.1333450828 221.1062257269 27.7494711345 364.6717264593 61.4181004345
0.01 0.16 0.83 13.2707605719 5.7367838913 60.3216389632 20.5418822689 274.0795923073 34.8513435265 347.6719918424 61.1300096867
0.12 0.24 0.64 29.8317923600 9.7998788685 88.9469985439 25.9484471944 234.4866620060 35.4006272556 353.2654529099 71.1489533185
0.12 0.25 0.63 41.6767687382 48.2124229586 91.4695398096 29.5139753092 224.8351997719 57.7565228480 357.9815083197 135.4829211158
0.12 0.26 0.62 60.7603417920 14.5732563218 64.3796401298 27.3583188258 236.7898518573 36.2255390974 361.9298337791 78.1571142450
0.12 0.27 0.61 36.3026590851 14.7700238653 93.9920810754 37.3194056063 226.0416325511 61.6506261695 356.3363727116 113.7400556411
0.12 0.28 0.6 53.7410965308 20.9247913093 67.4505599316 28.2869787210 249.6219096004 44.1784857643 370.8135660628 93.3902557946
0.12 0.29 0.5900000000000001 36.5220104995 8.4841089299 126.4560904083 58.1326772173 200.3775170650 36.7673802201 363.3556179728 103.3841663673
