o-xylene_comp	m-xylene_comp	p-xylene_comp	o-xylene_mass	o-xylene_error	m-xylene_mass	m-xylene_error	p-xylene_mass	p-xylene_error	total_mass	total_mass_error
0.0 0.0 1.0 0.0000000000 0.0000000000 0.0000000000 0.0000000000 320.0337136265 10.3258382370 320.0337136265 10.3258382370
0.0 0.01 0.99 0.0000000000 0.0000000000 2.7418926801 4.2759462510 311.8080355860 18.1757499231 314.5499282661 22.4516961741
0.0 0.1 0.9 0.0000000000 0.0000000000 71.5085610982 24.1645227948 261.3572102714 32.7238200262 332.8657713696 56.8883428210
0.0 1.0 0.0 0.0000000000 0.0000000000 315.7563610454 21.4740441499 0.0000000000 0.0000000000 315.7563610454 21.4740441499
0.1 0.35000000000000003 0.5499999999999999 20.8383843691 13.8034622576 107.0434902328 58.4249399734 225.0545511863 69.9610667776 352.9364257882 142.1894690086
0.1 0.36 0.54 34.2188206482 19.2679960510 150.4750702863 37.3645030452 173.6166445068 51.0650846534 358.3105354413 107.6975837496
0.1 0.37 0.53 21.4964386123 15.9298065527 132.2689028902 16.6533812746 216.3901703170 13.6209987088 370.1555118195 46.2041865361
0.1 0.38 0.52 37.5090918644 29.7105802528 128.8689559668 56.4036048799 191.0550819525 38.9532539871 357.4331297837 125.0674391198
0.1 0.39 0.51 47.1605540985 22.0117805516 168.4618862681 37.7730523687 157.6039912547 20.4550339517 373.2264316213 80.2398668720
0.1 0.4 0.5 35.6446048419 30.4495792860 146.7460962413 31.7082314016 189.6292977588 30.3736371639 372.0199988420 92.5314478515
0.1 0.41 0.49 35.6446048419 30.4495792860 146.7460962413 31.7082314016 189.6292977588 30.3736371639 372.0199988420 92.5314478515
0.1 0.42 0.48 43.8702828823 18.3128875315 154.0943686241 58.2211712323 185.3519451778 60.2198537962 383.3165966842 136.7539125600
0.1 0.43 0.47 43.8702828823 18.3128875315 154.0943686241 58.2211712323 185.3519451778 60.2198537962 383.3165966842 136.7539125600
0.1 0.44 0.46 38.7155246436 10.9147994246 169.2296162185 35.5498202464 175.3714558220 44.7519893414 383.3165966841 91.2166090124
0.01 0.0 0.99 19.3029244682 18.2391723313 0.0000000000 0.0000000000 304.8984660321 39.8894030057 324.2013905003 58.1285753370
0.1 0.45 0.45 43.1025529319 25.3025445799 125.6883604578 35.2152966535 192.0421633173 34.6783417258 360.8330767070 95.1961829592
0.1 0.46 0.44 26.8705482654 18.1545598839 106.9338145256 27.1765691381 229.3319037673 28.1283445507 363.1362665583 73.4594735727
0.1 0.47 0.43 44.8573642472 27.9825697507 164.0748579799 35.5687635539 172.4102117275 65.1093232874 381.3424339546 128.6606565920
0.1 0.48 0.42 38.3864975220 26.8739054753 145.1009606333 76.5426438429 163.1974523222 41.8415338480 346.6849104775 145.2580831662
0.1 0.49 0.41 35.7542805491 18.6822515226 201.2549227226 36.6782851617 153.4363143809 55.7143956656 390.4455176526 111.0749323499
0.1 0.5 0.4 37.1800647428 10.0375744107 113.1853298364 27.7858593541 212.0031420288 35.7522619208 362.3685366080 73.5756956856
0.1 0.51 0.39 26.7608725582 13.2956635035 135.9978769352 30.7796230769 201.0355713082 25.1690813538 363.7943208016 69.2443679342
0.1 0.52 0.38 28.4060081663 14.8025641644 176.1391857725 50.4622684385 169.4489676329 50.3983444192 373.9941615717 115.6631770221
0.1 0.53 0.37 28.5156838735 22.3049219829 185.3519451778 23.9183582489 143.7848521468 19.3899702433 357.6524811981 65.6132504751
0.1 0.54 0.36 22.4835199772 11.6895988867 144.7719335116 21.0737240878 183.3777824481 49.8203031747 350.6332359369 82.5836261492
0.01 0.01 0.98 1.9741627297 3.1482850663 1.7548113153 2.7220794666 333.9625284416 6.5438817436 337.6915024866 12.4142462765
0.1 0.55 0.35 41.8961201526 17.2940194089 196.1001644839 28.5038701964 129.9657130389 28.4819175101 367.9619976754 74.2798071154
0.1 0.56 0.34 54.7281778957 46.0293146120 157.3846398403 53.6985523757 152.7782601377 43.8516340484 364.8910778737 143.5795010361
0.1 0.5700000000000001 0.33 40.4703359589 30.9386597242 210.0289792991 22.3264830532 100.2435963861 33.7359337684 350.7429116441 87.0010765458
0.1 0.58 0.3200000000000001 51.3282309723 37.3194056063 194.7840559975 36.3647334918 111.5401942283 40.4261740793 357.6524811981 114.1103131774
0.1 0.59 0.31000000000000005 44.9670399544 10.0996975781 168.9005890969 43.0845489602 150.2557188719 43.3572915457 364.1233479232 96.5415380840
0.1 0.6 0.30000000000000004 31.3672522609 16.0801194369 183.4874581553 27.7598726358 150.0363674575 35.8194882257 364.8910778737 79.6594802984
0.1 0.61 0.29000000000000004 30.1608194816 18.7542252402 185.1325937634 32.8119216485 149.5976646287 35.5552336499 364.8910778737 87.1213805386
0.1 0.62 0.28 40.4703359589 44.8325529773 225.0545511863 18.9024418886 90.3727827376 29.9428741330 355.8976698828 93.6778689989
0.1 0.63 0.27 46.2831484408 23.4572724714 225.0545511863 51.8458772949 109.7853829130 30.5631386622 381.1230825401 105.8662884285
0.1 0.64 0.26 39.0445517653 4.4631410244 169.8876704618 43.3706063044 131.7205243541 47.5309765230 340.6527465812 95.3647238518
0.01 0.02 0.97 5.0450825315 9.6215041828 9.3224351125 16.5315892843 312.3564141221 60.1062901785 326.7239317661 86.2593836456
0.1 0.65 0.25 52.3153123372 24.3924296000 213.5386019297 38.3244021839 104.0822461383 5.1629191185 369.9361604052 67.8797509024
0.1 0.66 0.24 27.7479539231 29.0886772864 216.7191974386 48.9620659557 113.5143569580 19.2854681671 357.9815083197 97.3362114092
0.1 0.67 0.23 30.5995223104 22.1577503104 233.6092563483 18.7542252402 95.9662438051 28.8928364154 360.1750224638 69.8048119660
0.1 0.68 0.22 28.5156838735 28.7760297836 232.0737964474 31.4706219386 96.5146223411 52.5574411371 357.1041026620 112.8040928593
0.1 0.6900000000000001 0.21 34.2188206482 12.8015560176 195.4421102407 61.2913541832 121.3013321696 54.2175288750 350.9622630585 128.3104390758
0.1 0.7000000000000001 0.2 41.0187144950 22.3845942078 249.9509367220 18.3443890815 86.5341329854 5.9831088905 377.5037842024 46.7120921798
0.1 0.71 0.19000000000000009 54.2894750669 44.1327196173 206.7387080829 39.4710665232 110.1144100346 18.6564793328 371.1425931844 102.2602654733
0.1 0.72 0.18000000000000005 29.6124409456 15.9086494148 217.9256302179 19.4543806962 113.0756541292 27.5231400291 360.6137252927 62.8861701401
0.1 0.73 0.17000000000000004 49.6830953642 18.6976977853 236.4608247357 21.4740441499 94.8694867330 42.0846139698 381.0134068329 82.2563559050
