MOF,ammonia_comp,CO2_comp,O2_comp,N2_comp,ammonia_mass,ammonia_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
MgMOF-74_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,39.8989227786,1.9468906218,2.7126196591,0.0507623041,9.4049560545,0.1776186423,52.0164984922,2.1752715682
MgMOF-74_EQeq,1e-05,0.05,0.189998,0.759992,0.0478512507,0.0050508539,40.3766780516,2.3204578997,2.7202188029,0.0308593805,9.2969899242,0.1472593300,52.4417380294,2.5036274641
MgMOF-74_EQeq,0.04,0.05,0.182,0.728,0.0,0.0,,,,,,,,
MgMOF-74_EQeq,0.05,0.05,0.18,0.72,0.0,0.0,,,,,,,,
MgMOF-74_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.2545813230,0.0355280884,40.6725841832,2.1533868544,2.7101018705,0.0660545558,9.3604310468,0.0623245339,52.9976984235,2.3172940325
MgMOF-74_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.5076520669,0.0283037544,40.3898336316,1.5062132806,2.7243388206,0.0650128473,9.3920113403,0.2135664789,53.0138358594,1.8130963612
MgMOF-74_EQeq,0.0005,0.05,0.1899,0.7596,2.3856674713,0.2167864275,40.2972410089,1.0000641172,2.7372939874,0.0696234685,9.2485774947,0.1278559154,54.6687799623,1.4143299286
MgMOF-74_EQeq,0.001,0.05,0.1898,0.7592,4.4555020696,0.3097258508,40.2890581122,1.5836287396,2.7371108755,0.0441669922,9.2121479429,0.1263569732,56.6938190002,2.0638785558
MgMOF-74_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,17.7788105861,1.4252215443,39.9224013974,1.3248495559,2.6637287823,0.0444782909,9.0382559462,0.0988257921,69.4031967120,2.8933751832
MgMOF-74_EQeq,0.01,0.05,0.188,0.752,28.3838074737,1.5419782535,38.2463553296,0.9329622206,2.6031645220,0.0396300854,8.8351882470,0.1365840543,78.0685155723,2.6511546138
MgMOF-74_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,0.0,0.0,,,,,,,,
MgMOF-74_EQeq,0.03,0.05,0.184,0.736,0.0,0.0,,,,,,,,
