MOF,argon_comp,CO2_comp,O2_comp,N2_comp,argon_mass,argon_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
UIO-66_v2_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,32.6529584573,0.7013262029,1.8749317891,0.0450489712,5.3180412829,0.1734490657,39.8459315293,.9198242398
UIO-66_v2_EQeq,1e-05,0.05,0.189998,0.759992,0.0000763141,0.0001869306,32.9246580895,1.0492914236,1.8683604809,0.0621175738,5.3581776455,0.0573862096,40.1512725300,1.1689821376
UIO-66_v2_EQeq,0.04,0.05,0.182,0.728,0.4201472190,0.0092160125,32.5510448288,0.3699843968,1.7845228130,0.0198487755,5.1621248931,0.0872977276,39.9178397539,.4863469124
UIO-66_v2_EQeq,0.05,0.05,0.18,0.72,0.5409905794,0.0208961299,32.6921689378,0.3559913054,1.7651145304,0.0281492360,5.0980672584,0.0526423176,40.0963413060,.4576789889
UIO-66_v2_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0008394550,0.0008899676,32.8276615309,0.7915646481,1.8975493153,0.0593111043,5.3258009797,0.1516692808,40.0518512809,1.0034350008
UIO-66_v2_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0013354966,0.0012769790,32.5721420005,0.9318484080,1.8635618976,0.0253904649,5.3406514338,0.1224301494,39.7776908285,1.0809460013
UIO-66_v2_EQeq,0.0005,0.05,0.1899,0.7596,0.0049222588,0.0017799351,32.4866606313,0.5765451846,1.8761849224,0.0464024925,5.3351928885,0.0714402199,39.7029607010,.6961678321
UIO-66_v2_EQeq,0.001,0.05,0.1898,0.7592,0.0116378986,0.0018219739,32.7606296804,0.9592086068,1.8632868196,0.0546136083,5.3582311606,0.0784024163,39.9937855592,1.0940466053
UIO-66_v2_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,0.0511685969,0.0058737066,32.7324300744,0.6528265912,1.8577241307,0.0469876221,5.3506320093,0.1614214757,39.9919548113,.8671093956
UIO-66_v2_EQeq,0.01,0.05,0.188,0.752,0.1068778821,0.0063225659,32.3932363031,0.5009078723,1.8585799290,0.0207327298,5.3218141010,0.0945094823,39.6805082152,.6224726503
UIO-66_v2_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,0.2123057966,0.0220009695,32.5378485899,0.6161682722,1.8307970489,0.0338018767,5.2229181036,0.0691254181,39.8038695390,.7410965365
UIO-66_v2_EQeq,0.03,0.05,0.184,0.736,0.3263190461,0.0156520179,32.8191302045,0.6966302058,1.8195799785,0.0313670557,5.1974716497,0.1069358846,40.1625008788,.8505851640
