,MOF,ammonia_comp,CO2_comp,O2_comp,N2_comp,ammonia_mass,ammonia_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,HKUST-1_v2_EQeq,0.0,0.04,0.192,0.768,0.0,0.0,27.7169324854,0.9943790328000001,3.193779795,0.0832349805,8.5739986188,0.4151627328,39.4847108992,1.4927767461
1,HKUST-1_v2_EQeq,1e-05,0.04,0.191998,0.767992,0.0051032114,0.002267251,28.084954938000003,0.896871353,3.1587323642,0.10343469570000001,8.6331925258,0.2349551009,39.8819830394,1.2375284006
2,HKUST-1_v2_EQeq,5e-05,0.04,0.19199,0.7679600000000001,0.0214686823,0.0084650053,28.470025991,0.4974588251,3.1524502775,0.1341845134,8.59353695,0.1437513484,40.2374819008,0.7838596922
3,HKUST-1_v2_EQeq,0.0001,0.04,0.19197999999999998,0.7679199999999999,0.051999964100000004,0.0132085146,27.831953709,0.7997246738,3.13939015,0.1392170549,8.6195880581,0.23423222859999998,39.6429318812,1.1863824719
4,HKUST-1_v2_EQeq,0.0005,0.04,0.1919,0.7676000000000001,0.23404383190000003,0.0321746438,28.355232081999997,0.9511688998000001,3.2104769201,0.07366585070000001,8.4638603225,0.2931418204,40.2636131565,1.3501512146999999
5,HKUST-1_v2_EQeq,0.001,0.04,0.1918,0.7672,0.46826363649999997,0.0627352308,28.4654796975,1.2104270385,3.155921957,0.0719542033,8.6101807135,0.1566402405,40.699846004499996,1.5017567131
6,HKUST-1_v2_EQeq,0.005,0.04,0.191,0.764,2.4782250256,0.11294301539999999,27.9974387896,1.1864008921,3.1686514484,0.1715635216,8.5793535688,0.21601000239999998,42.223668832399994,1.6869174315
7,HKUST-1_v2_EQeq,0.01,0.04,0.19,0.76,4.8189273034,0.6888606925,27.6364630918,0.9226316917,3.0744201485000002,0.07540099,8.3609584452,0.24611315079999999,43.89076898890001,1.933006525
8,HKUST-1_v2_EQeq,0.02,0.04,0.188,0.752,8.796704594500001,0.4551551507,26.554445256999998,1.3130232199,3.0182120045999996,0.11689565800000001,8.1713642689,0.2314441644,46.540726125,2.116518193
9,HKUST-1_v2_EQeq,0.03,0.04,0.18600000000000005,0.7440000000000001,12.9141163071,0.646803219,26.6315049305,1.0540114358,2.8983564039,0.11769717800000001,7.8706186976999994,0.1883485135,50.3145963392,2.0068603463
10,HKUST-1_v2_EQeq,0.04,0.04,0.184,0.736,15.8672039495,1.9849817996,25.701105981399998,0.5965481935,2.8009840606,0.06351829190000001,7.587819445399999,0.1235834601,51.957113436899995,2.7686317451
11,HKUST-1_v2_EQeq,0.05,0.04,0.182,0.728,20.0876477399,1.72881343,25.2019229635,0.6568074023,2.6731931925,0.1058190623,7.407487885399999,0.16903779,55.3702517813,2.6604776846
