MOF,H2S_comp,CO2_comp,O2_comp,N2_comp,H2S_mass,H2S_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
NU-100_EQeq,0.0,0.03,0.19399999999999998,0.7759999999999999,0.0000000000,0.0000000000,3.7922875201,0.1271024450,3.0872609797,0.1285144109,9.2801968841,0.1101202593,16.1597453839,.3657371152
NU-100_EQeq,1e-05,0.03,0.193998,0.775992,0.0033070776,0.0017095292,3.7393577349,0.0540435501,3.0983625630,0.0393924625,9.1778316406,0.1547403347,16.0188590161,.2498858765
NU-100_EQeq,0.04,0.03,0.18600000000000003,0.7440000000000001,13.0460585750,0.5768240862,3.2518188510,0.0873733906,2.8058507314,0.0607348117,8.3766346318,0.0570329054,27.4803627892,.7819651939
NU-100_EQeq,0.05,0.03,0.184,0.736,15.9168284137,0.3318062723,3.1854957831,0.1285017125,2.7802022460,0.0478062410,8.2860736016,0.1064317402,30.1686000444,.6145459660
NU-100_EQeq,5e-05,0.03,0.19399,0.77596,0.0198877678,0.0046588877,3.7509379531,0.0852494875,3.0892175806,0.0971082100,9.2670148920,0.1580789955,16.1270581935,.3450955807
NU-100_EQeq,0.0001,0.03,0.19398,0.7759199999999999,0.0407721892,0.0082892311,3.7395916787,0.1925504590,3.0904936247,0.0880232416,9.2339109628,0.1098573810,16.1047684554,.3987203127
NU-100_EQeq,0.0005,0.03,0.1939,0.7756000000000001,0.2093878425,0.0176983564,3.7547395399,0.0836078296,3.0975544018,0.1075914930,9.1980887132,0.1305582506,16.2597704974,.3394559296
NU-100_EQeq,0.001,0.03,0.1938,0.7752,0.3982536832,0.0410525033,3.6918671430,0.1246096123,3.0900682767,0.0672112321,9.3129656779,0.1014606096,16.4931547808,.3343339573
NU-100_EQeq,0.005,0.03,0.193,0.772,1.9532143729,0.0464839162,3.6329133048,0.0568938148,3.0653980916,0.0769936779,9.0791528865,0.2461668188,17.7306786558,.4265382277
NU-100_EQeq,0.01,0.03,0.192,0.768,3.7596488648,0.1594305816,3.5598058666,0.1417849026,3.0215021763,0.0422526256,8.9126278343,0.0952251174,19.2535847420,.4386932272
NU-100_EQeq,0.02,0.03,0.19,0.76,7.0655485667,0.2976001436,3.4366929407,0.0492469763,2.9298822133,0.1029091181,8.7351922632,0.1839125294,22.1673159839,.6336687674
NU-100_EQeq,0.03,0.03,0.188,0.752,10.3063939757,0.2214015849,3.3405420380,0.0721021478,2.8591893728,0.0470558726,8.5960738386,0.1332198036,25.1021992251,.4737794089
