,MOF,H2S_comp,CO2_comp,O2_comp,N2_comp,H2S_mass,H2S_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,NU-125_v2_EQeq,0.0,0.03,0.194,0.7759999999999999,0.0,0.0,7.8162599949,0.22783503940000002,3.4861804638,0.14017132359999998,10.4842149907,0.2429321236,21.7866554494,0.6109384865999999
1,NU-125_v2_EQeq,1e-05,0.03,0.193998,0.775992,0.005569080400000001,0.0053648487,7.756009927000001,0.3307653055,3.4688206738,0.0994461193,10.3603445894,0.2900432147,21.5907442706,0.7256194881999999
2,NU-125_v2_EQeq,5e-05,0.03,0.19399,0.77596,0.0250608619,0.0055913124,7.7752784451,0.3293469809,3.5080370667,0.06291332940000001,10.4440234858,0.2824676368,21.7523998595,0.6803192595
3,NU-125_v2_EQeq,0.0001,0.03,0.19397999999999999,0.7759199999999999,0.0514583031,0.016072948899999998,7.752846439,0.3644801361,3.4865987719,0.0751966423,10.3933034545,0.3641597849,21.6842069685,0.8199095122
4,NU-125_v2_EQeq,0.0005,0.03,0.1939,0.7756000000000001,0.2525021065,0.0075411189,7.7902331159000004,0.3919601353,3.4461274545,0.052357917000000004,10.327202619400001,0.2599194491,21.8160652963,0.7117786203
5,NU-125_v2_EQeq,0.001,0.03,0.1938,0.7752,0.49932375100000004,0.0276675144,7.7416304359,0.1938312735,3.5011349816000004,0.075543147,10.3376395934,0.3280786464,22.0797287619,0.6251205813
6,NU-125_v2_EQeq,0.005,0.03,0.193,0.772,2.4949480311000003,0.1383608864,7.652621385800001,0.40711526530000003,3.4417352185000003,0.1315434607,10.3249138094,0.18878753739999998,23.9142184448,0.8658071498000001
7,NU-125_v2_EQeq,0.01,0.03,0.192,0.768,4.8605820147,0.2633174301,7.5528277173000005,0.2976686647,3.3695770555,0.0649031816,10.1782468596,0.228104351,25.961233647100002,0.8539936274
8,NU-125_v2_EQeq,0.02,0.03,0.19,0.76,9.472337516,0.3204326344,7.3390046842,0.2962979199,3.3083994826,0.08775852630000001,9.9245551507,0.21886164460000002,30.0442968335,0.9233507251999999
9,NU-125_v2_EQeq,0.03,0.03,0.188,0.752,13.7381417411,0.2988122577,7.0550097343,0.11523921919999999,3.2252607296,0.172393479,9.6902725512,0.2626998215,33.7086847562,0.8491447773999999
10,NU-125_v2_EQeq,0.04,0.03,0.18600000000000005,0.7440000000000001,17.8895570543,0.8615650729000001,7.0219369047,0.22139112100000002,3.1522659503,0.0786280322,9.4071009685,0.2311428218,37.4708608778,1.3927270479
11,NU-125_v2_EQeq,0.05,0.03,0.184,0.736,22.157923056399998,0.740022827,6.7157975385,0.18629384129999998,3.0887876823,0.0226563223,9.2684906303,0.1627662693,41.2309989075,1.1117392599
