MOF,ammonia_comp,CO2_comp,O2_comp,N2_comp,ammonia_mass,ammonia_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
NU-125_v2_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,12.6234676753,0.4526892194,3.3676946687,0.1275661675,10.0429324079,0.2851844277,26.0340947519,.8654398146
NU-125_v2_EQeq,1e-05,0.05,0.189998,0.759992,0.0000556585,0.0002226341,12.6904761040,0.7257706245,3.3898650028,0.1121658919,10.0909974195,0.3197360165,26.1713941848,1.1578951670
NU-125_v2_EQeq,0.04,0.05,0.182,0.728,1.8842077046,0.0872775207,12.5839240747,0.1659086718,3.1892862252,0.0597705174,9.6661027168,0.3345896524,27.3235207213,.6475463623
NU-125_v2_EQeq,0.05,0.05,0.18,0.72,2.3668226872,0.3762140799,12.6004604895,0.5322926370,3.1970249267,0.1147251682,9.6370806051,0.3140237283,27.8013887085,1.3372556134
NU-125_v2_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0025602917,0.0015504668,12.4560903986,0.3037122819,3.3654985506,0.0927229904,10.1113220530,0.2056712866,25.9354712939,.6036570257
NU-125_v2_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0047866323,0.0022095800,12.5384848828,0.3382239721,3.4033554419,0.0810816814,10.1408934792,0.1637507827,26.0875204362,.5852660162
NU-125_v2_EQeq,0.0005,0.05,0.1899,0.7596,0.0238775029,0.0032720391,12.5914014101,0.3073351753,3.3670672064,0.0604328672,10.0562075063,0.1669142678,26.0385536257,.5379543494
NU-125_v2_EQeq,0.001,0.05,0.1898,0.7592,0.0445824704,0.0113105991,12.5576096060,0.5257760208,3.3445831411,0.1284461602,10.1221252366,0.2652994662,26.0689004541,.9308322463
NU-125_v2_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,0.2453983922,0.0372644461,12.6775345620,0.3436853603,3.3422824460,0.0699338238,9.9889164901,0.2224707571,26.2541318903,.6733543873
NU-125_v2_EQeq,0.01,0.05,0.188,0.752,0.4818357634,0.0638620280,12.5502760655,0.2950360429,3.3387268264,0.1538561183,10.0379885781,0.3036121742,26.4088272334,.8163663634
NU-125_v2_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,0.9304990520,0.0836831648,12.6916264633,0.4927401576,3.2817323354,0.1301526797,9.8655954031,0.1846268560,26.7694532538,.8912028581
NU-125_v2_EQeq,0.03,0.05,0.184,0.736,1.4605907478,0.2184999328,12.4297759298,0.5159544164,3.2909351156,0.1004318679,9.7715710852,0.1633030045,26.9528728784,.9981892216
