MOF,ammonia_comp,CO2_comp,O2_comp,N2_comp,ammonia_mass,ammonia_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
MOF-177_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,4.3486089406,0.1883489870,2.4526155218,0.1475729657,7.7644465214,0.1619625276,14.5656709838,.4978844803
MOF-177_EQeq,1e-05,0.05,0.189998,0.759992,0.0086194914,0.0148477575,4.2343924071,0.1752089426,2.4907526135,0.0408191158,7.7827409173,0.0994902334,14.5165054293,.3303660493
MOF-177_EQeq,0.04,0.05,0.182,0.728,4.2870384439,0.8751302862,4.1058090141,0.1361916318,2.3380301047,0.0904895036,7.4621316294,0.0537068544,18.1930091921,1.1555182760
MOF-177_EQeq,0.05,0.05,0.18,0.72,4.8714955713,0.4717764096,4.2868314445,0.1458202824,2.3512648946,0.1168833853,7.2971771598,0.1426461128,18.8067690702,.8771261901
MOF-177_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0304926094,0.0331560632,4.3225091457,0.2014356903,2.4486102564,0.0487025002,7.7810639310,0.1911679267,14.5826759425,.4744621804
MOF-177_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0746095762,0.0832639453,4.3699197823,0.2174627732,2.5149583474,0.1028623472,7.7598729225,0.1088179141,14.7193606284,.5124069798
MOF-177_EQeq,0.0005,0.05,0.1899,0.7596,0.4370916290,0.4148589617,4.2944937696,0.0739424297,2.4613226203,0.0990400981,7.7171859987,0.2405595190,14.9100940176,.8284010085
MOF-177_EQeq,0.001,0.05,0.1898,0.7592,0.5772278765,0.3075550072,4.3553134751,0.1944126257,2.4350271827,0.1480005966,7.7171859987,0.2370067838,15.0847545330,.8869750133
MOF-177_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,1.5818156983,0.3039916941,4.2355896454,0.3020929975,2.4480878305,0.0482797427,7.6795300338,0.3038323492,15.9450232080,.9581967835
MOF-177_EQeq,0.01,0.05,0.188,0.752,2.8550906770,1.0125664027,4.2841975203,0.2243285942,2.4616709043,0.0583040219,7.6731269953,0.2558716875,17.2740860969,1.5510707063
MOF-177_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,3.5094305628,0.8532520886,4.2659994981,0.1557875252,2.4123887264,0.0737227521,7.6122981290,0.2337156312,17.8001169163,1.3164779971
MOF-177_EQeq,0.03,0.05,0.184,0.736,4.2065898574,0.6766438106,4.1915312761,0.0915805130,2.3643255424,0.1305419138,7.4877437836,0.1360683060,18.2501904595,1.0348345434
