MOF,H2_comp,CO2_comp,O2_comp,N2_comp,H2_mass,H2_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
HKUST-1_v2_EQeq,0.0,0.03,0.19399999999999998,0.7759999999999999,0.0000000000,0.0000000000,23.3213486889,0.7161011073,3.3402516051,0.1400781673,9.1824367234,0.2583900563,35.8440370174,1.1145693309
HKUST-1_v2_EQeq,1e-05,0.03,0.193998,0.775992,0.0000000000,0.0000000000,23.2290589324,1.0124039146,3.4156366450,0.1238248898,9.1411891355,0.2413614654,35.7858847129,1.3775902698
HKUST-1_v2_EQeq,0.04,0.03,0.18600000000000003,0.7440000000000001,0.0049678639,0.0003583663,23.7330155584,1.0439891473,3.2455243509,0.0460712721,8.8905195833,0.1159034883,35.8740273565,1.2063222740
HKUST-1_v2_EQeq,0.05,0.03,0.184,0.736,0.0064051076,0.0005627853,23.6168577614,1.4374485471,3.2820596444,0.1576708039,8.7407257112,0.1177075113,35.6460482246,1.7133896476
HKUST-1_v2_EQeq,5e-05,0.03,0.19399,0.77596,0.0000208296,0.0000510219,23.3836329088,1.4328683607,3.4162979173,0.1485583169,9.1867785748,0.2449348124,35.9867302305,1.8264125119
HKUST-1_v2_EQeq,0.0001,0.03,0.19398,0.7759199999999999,0.0000104148,0.0000416592,23.6477725567,1.5041041975,3.3671984505,0.1010070409,9.1908309694,0.2674295355,36.2058123914,1.8725824331
HKUST-1_v2_EQeq,0.0005,0.03,0.1939,0.7756000000000001,0.0000833185,0.0001412733,23.2420158687,0.2693056304,3.3675290866,0.1400313341,9.2071852762,0.3182953164,35.8168135500,.7277735542
HKUST-1_v2_EQeq,0.001,0.03,0.1938,0.7752,0.0001041481,0.0001140885,23.5641207577,1.6473389925,3.3465336917,0.1716845469,9.2701421210,0.4251375866,36.1809007185,2.2442752145
HKUST-1_v2_EQeq,0.005,0.03,0.193,0.772,0.0006040589,0.0003583663,23.1951890464,0.6497049381,3.3346307907,0.1115836967,9.1430706044,0.4280461634,35.6734945004,1.1896931645
HKUST-1_v2_EQeq,0.01,0.03,0.192,0.768,0.0013747548,0.0008753398,23.5907165742,0.8490511831,3.3331429281,0.1452151518,9.0782322907,0.4673919135,36.0034665478,1.4625335882
HKUST-1_v2_EQeq,0.02,0.03,0.19,0.76,0.0027495096,0.0010771148,23.6984637284,0.9722813700,3.3389290605,0.1308859817,9.0644830947,0.4121343825,36.1046253932,1.5163788490
HKUST-1_v2_EQeq,0.03,0.03,0.188,0.752,0.0036451832,0.0004319322,23.6175397054,0.9259412500,3.2564353436,0.1005894911,9.0000789661,0.3799426205,35.8776991983,1.4069052938
