,MOF,H2_comp,CO2_comp,O2_comp,N2_comp,H2_mass,H2_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,UIO-66_v2_EQeq,0.0,0.03,0.194,0.7759999999999999,0.0,0.0,22.568090098600003,0.9071505476999999,2.0710929821,0.0460770662,6.0676012326999995,0.1206021345,30.7067843134,1.0738297484000001
1,UIO-66_v2_EQeq,1e-05,0.03,0.193998,0.775992,0.0,0.0,22.7550228077,0.3926735806,2.0660193209,0.0363898638,6.0879102321000005,0.14365398199999999,30.908952360700003,0.5727174264
2,UIO-66_v2_EQeq,5e-05,0.03,0.19399,0.77596,5.7765e-06,9.433e-06,22.4108699402,0.38521227329999996,2.0603955036,0.0318728446,6.1498272608,0.1191062592,30.621098481100002,0.5362008101
3,UIO-66_v2_EQeq,0.0001,0.03,0.19397999999999999,0.7759199999999999,5.7765e-06,1.5404e-05,22.7074070794,0.48515683909999996,2.0522042914,0.0121926358,6.1114568982,0.1413891534,30.871074045500002,0.6387540322999999
4,UIO-66_v2_EQeq,0.0005,0.03,0.1939,0.7756000000000001,3.08081e-05,3.73369e-05,22.4630665285,0.697042961,2.0682505093,0.0321458932,6.1343078673,0.12156576220000001,30.665655713200003,0.8507919533
5,UIO-66_v2_EQeq,0.001,0.03,0.1938,0.7752,5.39141e-05,1.96364e-05,22.638399995700002,0.3377064521,2.0778171115,0.042335412,6.0960980501,0.1563798029,30.8123690714,0.5364413034000001
6,UIO-66_v2_EQeq,0.005,0.03,0.193,0.772,0.0003465907,7.7977e-05,22.649789106300002,0.6236063035,2.0531823466,0.037729378,6.1033225954,0.19661007309999998,30.806640639,0.8580237316
7,UIO-66_v2_EQeq,0.01,0.03,0.192,0.768,0.0006565967999999999,9.92335e-05,22.4167115874,0.4873294631,2.0460608823,0.0758292436,6.0438672636,0.20726280149999998,30.5072963301,0.7705207417000001
8,UIO-66_v2_EQeq,0.02,0.03,0.19,0.76,0.0013728842,0.00025445810000000003,22.658068275300003,0.4181305685,2.0300757928,0.0201566368,6.005817991900001,0.0418413874,30.695334944200003,0.4803830508
9,UIO-66_v2_EQeq,0.03,0.03,0.188,0.752,0.0020583635,0.0001946188,22.6635316863,0.6953623076000001,2.0013454218,0.0237025512,5.935820175599999,0.10681784820000001,30.6027556472,0.8260773257999999
10,UIO-66_v2_EQeq,0.04,0.03,0.18600000000000005,0.7440000000000001,0.0027669489000000003,0.0002880801,22.564433815900003,0.8585793128,2.0001839812,0.0307109474,5.8695684198,0.0437753928,30.4369531658,0.9333537331
11,UIO-66_v2_EQeq,0.05,0.03,0.184,0.736,0.0034293222,0.0004842785,22.508328787399996,0.4882074808,1.9691918575999998,0.0636143067,5.815116754500001,0.118959063,30.2960667217,0.671265129
