,MOF,acetone_comp,CO2_comp,O2_comp,N2_comp,acetone_mass,acetone_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,UIO-66_v2_EQeq,0.0,0.05,0.19,0.76,0.0,0.0,32.531166418000005,0.19968126760000002,1.8722421374,0.016820212299999998,5.3330522825,0.149472997,39.7364608379,0.36597447689999996
1,UIO-66_v2_EQeq,1e-05,0.05,0.189998,0.759992,119.9089590945,0.6583573428,4.3633742169,0.1114020383,0.3892048351,0.0109527443,0.8438268867000001,0.024023117200000003,125.5053650332,0.8047352426000001
2,UIO-66_v2_EQeq,5e-05,0.05,0.18999,0.7599600000000001,137.8457642991,0.8057929691,3.3955519695,0.2297194948,0.2724189332,0.0150649075,0.4839375023,0.0258298066,141.9976727041,1.076407178
3,UIO-66_v2_EQeq,0.0001,0.05,0.18997999999999998,0.7599199999999999,142.5352835569,1.2309504047,3.2869141427999997,0.1911145959,0.25181864579999996,0.0136993205,0.4143678072,0.0230235834,146.4883841527,1.4587879044999998
4,UIO-66_v2_EQeq,0.0005,0.05,0.1899,0.7596,155.16230322200002,2.9773915584,2.5502362074000002,0.20372118460000002,0.206369644,0.0218414267,0.2780914775,0.022852661,158.19700055090001,3.2258068307
5,UIO-66_v2_EQeq,0.001,0.05,0.1898,0.7592,163.0785604936,2.8414916758,2.2895894759,0.2256988221,0.18020666780000003,0.0155660448,0.2227032971,0.0186572265,165.7710599344,3.1014137692
6,UIO-66_v2_EQeq,0.005,0.05,0.189,0.7559999999999999,171.5168553442,1.0055342868000001,1.9283319293999999,0.1481989383,0.1551134395,0.010001555799999999,0.1586189049,0.0125716189,173.758919618,1.1763063998
7,UIO-66_v2_EQeq,0.01,0.05,0.188,0.752,176.29034877259997,1.7246695937999998,1.5533738290999999,0.3545520993,0.1426126716,0.011658398799999999,0.128008239,0.015490209599999999,178.1143435123,2.1063703015
8,UIO-66_v2_EQeq,0.02,0.05,0.18600000000000005,0.7440000000000001,176.4898567593,1.2727435958,1.5562316133,0.1221300135,0.1314261654,0.0108767421,0.1174122393,0.0103169104,178.2949267773,1.4160672618
9,UIO-66_v2_EQeq,0.03,0.05,0.184,0.736,178.55021905659999,1.0316934367,1.5414804036,0.1915720621,0.12800297230000002,0.010539296299999999,0.11042851220000001,0.007252438199999999,180.33013094470002,1.2410572333
10,UIO-66_v2_EQeq,0.04,0.05,0.182,0.728,177.5040916899,1.6466781046,1.5800184643000001,0.21615241329999998,0.13793634529999999,0.0098672754,0.1232989058,0.015045848899999999,179.34534540529998,1.8877436422
11,UIO-66_v2_EQeq,0.05,0.05,0.18,0.72,179.13204801979998,1.3444058462000001,1.5405138000999998,0.20894833829999998,0.12619968310000002,0.0100470329,0.1018928458,0.0134082953,180.9006543488,1.5768095127000001
