MOF,H2S_comp,CO2_comp,O2_comp,N2_comp,H2S_mass,H2S_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
UIO-66_v2_EQeq,0.0,0.04,0.192,0.768,0.0000000000,0.0000000000,27.5658083601,0.7765906889,1.9700476559,0.0255385267,5.7016913939,0.1055405868,35.2375474099,.9076698024
UIO-66_v2_EQeq,1e-05,0.04,0.191998,0.767992,0.4251742154,0.0160157918,27.4066129685,0.3650668568,1.9468188452,0.0392768243,5.6343158200,0.1245915447,35.4129218491,.5449510176
UIO-66_v2_EQeq,0.04,0.04,0.184,0.736,0.0,0.0,,,,,,,,
UIO-66_v2_EQeq,0.05,0.04,0.182,0.728,0.0,0.0,,,,,,,,
UIO-66_v2_EQeq,5e-05,0.04,0.19199000000000002,0.7679600000000001,2.0398661556,0.1188502475,27.2545620375,0.6657046180,1.9164685703,0.0268774777,5.5207299139,0.1253722345,36.7316266773,.9368045777
UIO-66_v2_EQeq,0.0001,0.04,0.19198,0.7679199999999999,3.8293674931,0.1145253674,26.6687162721,0.8608796349,1.8933925808,0.0468814158,5.4447651583,0.0873479716,37.8362415043,1.1096343897
UIO-66_v2_EQeq,0.0005,0.04,0.1919,0.7676000000000001,14.2237881627,0.3265816171,23.7971894711,0.9804059566,1.7418857198,0.0409708385,4.8099149328,0.0498040060,44.5727782864,1.3977624182
UIO-66_v2_EQeq,0.001,0.04,0.1918,0.7672,23.2090237309,0.4907330261,21.5856427201,0.4806285420,1.5895230606,0.0276685755,4.3600933387,0.0916585957,50.7442828503,1.0906887393
UIO-66_v2_EQeq,0.005,0.04,0.191,0.764,59.4910233694,1.4237823852,16.8328533769,0.2108599416,1.2546614167,0.0339881873,3.1060995841,0.0681419567,80.6846377471,1.7367724708
UIO-66_v2_EQeq,0.01,0.04,0.19,0.76,0.0,0.0,,,,,,,,
UIO-66_v2_EQeq,0.02,0.04,0.188,0.752,0.0,0.0,,,,,,,,
UIO-66_v2_EQeq,0.03,0.04,0.18600000000000003,0.7440000000000001,0.0,0.0,,,,,,,,
