MOF,H2S_comp,CO2_comp,O2_comp,N2_comp,H2S_mass,H2S_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
MOF-177_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,4.4431907660,0.0639894470,2.4634123240,0.0464329247,7.8014926731,0.1678997467,14.7080957631,.2783221184
MOF-177_EQeq,1e-05,0.05,0.189998,0.759992,0.0014837835,0.0025158774,4.3763848691,0.0504456608,2.5369002358,0.0855290628,7.8418927974,0.2893925048,14.7566616858,.4278831058
MOF-177_EQeq,0.04,0.05,0.182,0.728,4.7633161329,0.2262636122,4.4393596035,0.1228158767,2.3638031165,0.0860437577,7.5025317536,0.2043251893,19.0690106065,.6394484359
MOF-177_EQeq,0.05,0.05,0.18,0.72,6.1167122011,0.4323491672,4.3507639695,0.2232802881,2.3119088091,0.0791869327,7.3921555651,0.1084096257,20.1715405448,.8432260137
MOF-177_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0081608095,0.0048931123,4.3356787670,0.2486181714,2.4606260524,0.1137774929,7.8248180279,0.2315552329,14.6292836568,.5988440095
MOF-177_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0120557413,0.0046921356,4.4395990511,0.1795148540,2.4529638057,0.0333771607,7.7819786508,0.1522458214,14.6865972489,.3698299717
MOF-177_EQeq,0.0005,0.05,0.1899,0.7596,0.0628753278,0.0050317548,4.3423833015,0.1545281735,2.4872697740,0.0309287123,7.7232841307,0.2558891272,14.6158125340,.4463777678
MOF-177_EQeq,0.001,0.05,0.1898,0.7592,0.1211138321,0.0090559432,4.3469328070,0.1664834650,2.4796075273,0.0893020675,7.7106305069,0.1427457941,14.6582846733,.4075872698
MOF-177_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,0.6033434849,0.0587993111,4.3536373415,0.1723996541,2.4404255838,0.1130898930,7.6851708059,0.1927627134,15.0825772161,.5370515716
MOF-177_EQeq,0.01,0.05,0.188,0.752,1.2144768335,0.0572940302,4.3634546955,0.2129313133,2.4578397809,0.0905163097,7.7397490870,0.0818638728,15.7755203969,.4426055260
MOF-177_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,2.4293246129,0.0785547437,4.3797371363,0.1979547267,2.4583622068,0.1086489608,7.6796824871,0.1833865544,16.9471064431,.5685449856
MOF-177_EQeq,0.03,0.05,0.184,0.736,3.6200609097,0.2123631995,4.3598629806,0.1085794150,2.3796500359,0.0945640611,7.4610644563,0.1997312775,17.8206383825,.6152379531
