MOF,argon_comp,CO2_comp,O2_comp,N2_comp,argon_mass,argon_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
NU-100_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,6.1798009938,0.2752228777,3.0070403437,0.0741694743,9.0603108301,0.2272386985,18.2471521676,.5766310505
NU-100_EQeq,1e-05,0.05,0.189998,0.759992,0.0002124055,0.0003973743,6.0546410596,0.2330421413,3.0083589225,0.0616273941,8.9049941948,0.2155804987,17.9682065824,.5106474084
NU-100_EQeq,0.04,0.05,0.182,0.728,0.7267454103,0.0161253408,6.0382065075,0.2008995722,2.8607631605,0.0555919282,8.5075608580,0.0956907601,18.1332759363,.3683076013
NU-100_EQeq,0.05,0.05,0.18,0.72,0.9136622483,0.0299472921,6.0727132183,0.1821964936,2.8558716583,0.0808244507,8.4269421777,0.1463303066,18.2691893026,.4392985430
NU-100_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0007434192,0.0006192631,6.0782693836,0.1887777908,3.0332417815,0.0897472625,8.9318795007,0.1940871731,18.0441340850,.4732314895
NU-100_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0014337371,0.0010934242,6.0225322727,0.1587017750,2.9810090450,0.0820863930,8.8371106595,0.3273670667,17.8420857143,.5692486589
NU-100_EQeq,0.0005,0.05,0.1899,0.7596,0.0091334364,0.0038085200,6.0647006431,0.1369320858,2.9962365040,0.0386936733,8.9608500934,0.1528820103,18.0309206769,.3323162894
NU-100_EQeq,0.001,0.05,0.1898,0.7592,0.0191695962,0.0030670354,6.0346388645,0.1172005916,3.0014257498,0.0724453462,8.9915336003,0.1011895958,18.0467678108,.2939025690
NU-100_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,0.0939363314,0.0075051612,6.1165191953,0.1468183291,3.0098476406,0.0348884954,8.8849605459,0.1924192459,18.1052637132,.3816312316
NU-100_EQeq,0.01,0.05,0.188,0.752,0.1864389256,0.0127990837,5.9940496148,0.0859465720,2.9648883551,0.0604323590,8.7588751642,0.1561329022,17.9042520597,.3153109169
NU-100_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,0.3667711931,0.0101566703,6.1135364118,0.1886670104,2.9653987728,0.0372043136,8.7141904454,0.0327693016,18.1598968231,.2687972959
NU-100_EQeq,0.03,0.05,0.184,0.736,0.5505019486,0.0205567485,6.0770411786,0.0539764173,2.9398353569,0.1237040159,8.6335345279,0.1442186561,18.2009130120,.3424558378
