MOF,H2_comp,CO2_comp,O2_comp,N2_comp,H2_mass,H2_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
NU-125_v2_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,12.7096008272,0.1427981212,3.3744921768,0.0886985999,10.1854794995,0.2158848373,26.2695725035,.4473815584
NU-125_v2_EQeq,1e-05,0.05,0.189998,0.759992,0.0000000000,0.0000000000,12.3496821642,0.2823678087,3.3459426427,0.0913383383,10.0517214386,0.2071971462,25.7473462455,.5809032932
NU-125_v2_EQeq,0.04,0.05,0.182,0.728,0.0082418493,0.0004338224,12.5626424279,0.6694094068,3.2638496602,0.0653183921,9.7674512270,0.1983208485,25.6021851644,.9334824698
NU-125_v2_EQeq,0.05,0.05,0.18,0.72,0.0102446648,0.0006495319,12.5530081688,0.5332977768,3.2000576611,0.1151905619,9.4896812361,0.1974720606,25.2529917308,.8466099312
NU-125_v2_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0000000000,0.0000000000,12.4204292606,0.4608463369,3.3766882948,0.0822520918,10.0480593425,0.1617444674,25.8451768979,.7048428961
NU-125_v2_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0000065882,0.0000263528,12.4969281534,0.4956680467,3.3692633244,0.0965798336,10.1488585383,0.2342915971,26.0150566043,.8265658302
NU-125_v2_EQeq,0.0005,0.05,0.1899,0.7596,0.0001119996,0.0000986033,12.4729144032,0.1962732591,3.4050286747,0.0382700560,10.2146847161,0.3012675631,26.0927397936,.5359094815
NU-125_v2_EQeq,0.001,0.05,0.1898,0.7592,0.0001778816,0.0000893668,12.6395727054,0.4588116853,3.3684267080,0.1530230597,10.0065861039,0.2087116902,26.0147633989,.8206358020
NU-125_v2_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,0.0011529366,0.0004409673,12.5136083631,0.1480470396,3.3605834294,0.0474922590,10.0011845121,0.3243581610,25.8765292412,.5203384269
NU-125_v2_EQeq,0.01,0.05,0.188,0.752,0.0020357566,0.0003101360,12.7064373392,0.4282491542,3.3416549838,0.1200832334,9.9688665138,0.3419055597,26.0189945934,.8905480833
NU-125_v2_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,0.0043086886,0.0005764589,12.4093570524,0.1750767855,3.2968960073,0.0574104181,9.8298899659,0.3164141118,25.5404517142,.5494777743
NU-125_v2_EQeq,0.03,0.05,0.184,0.736,0.0060479758,0.0009661109,12.4491882428,0.3789178995,3.2751439814,0.0881643436,9.8275096035,0.3060319536,25.5578898035,.7740803076
