MOF,O2_comp,CO2_comp,H2_comp,CH4_comp,H2S_comp,N2_comp,O2_mass,O2_error,CO2_mass,CO2_error,H2_mass,H2_error,CH4_mass,CH4_error,H2S_mass,H2S_error,N2_mass,N2_error,total_mass,total_error
NU-125_v2_EQeq,0.1,0.04,0.03,0.01,0.02,0.8,1.7464366974,0.1780882951,9.6644559901,1.2152295036,0.0071152656,0.0012219307,0.2385530904,0.0328259032,9.4084044727,1.0202603980,10.2602778128,0.5435345194,31.3252433290,2.9911605500
NU-125_v2_EQeq,0.1,0.04,0.03,0.01,0.03,0.79,1.7725809593,0.0983246728,9.6170036694,0.5737831393,0.0055340955,0.0035698123,0.2354073354,0.0547277001,13.2633219439,2.2250756095,10.0579470020,0.6544402462,34.9517950055,3.6099211802
NU-125_v2_EQeq,0.1,0.0,0.0,0.03,0.0,0.87,1.8750664661,0.1906173100,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7182807338,0.0724207196,0.0000000000,0.0000000000,11.9301936449,0.9168670350,14.5235408448,1.1799050646
NU-125_v2_EQeq,0.1,0.04,0.03,0.02,0.0,0.81,1.8081371556,0.1783828184,10.0771473856,0.8400675446,0.0068517373,0.0011334783,0.4923106635,0.0690316255,0.0000000000,0.0000000000,10.7235329724,0.8804580848,23.1079799144,1.9690735516
NU-125_v2_EQeq,0.1,0.04,0.03,0.02,0.01,0.8,1.8259152537,0.1750408613,9.8024991050,2.0912467256,0.0079717328,0.0012775011,0.5012236361,0.0936944595,4.5388005477,0.8651705803,10.5724715073,0.5237117559,27.2488817826,3.7501418837
NU-125_v2_EQeq,0.1,0.04,0.03,0.02,0.02,0.79,1.7872217460,0.1138689911,9.3107205083,0.8572396081,0.0060611522,0.0033229661,0.4430271679,0.1234928680,9.5409485868,0.7004265020,10.2071774190,0.7494647698,31.2951565802,2.5478157051
NU-125_v2_EQeq,0.1,0.04,0.03,0.02,0.03,0.78,1.6774158459,0.1805764319,9.0806486501,1.1374531968,0.0067199731,0.0027513168,0.4833976909,0.1373846464,13.2377041740,1.9572382423,10.0817506268,0.6510038968,34.5676369608,4.0664077310
NU-125_v2_EQeq,0.1,0.04,0.03,0.03,0.0,0.8,1.6815989278,0.2182230081,10.4668315953,0.9171094701,0.0078399686,0.0028382873,0.7041248361,0.0576817075,0.0000000000,0.0000000000,10.1998532268,0.1804674133,23.0602485546,1.3763198863
NU-125_v2_EQeq,0.1,0.04,0.03,0.03,0.01,0.79,1.7140178126,0.1414537461,9.8902140009,1.1886752225,0.0057976238,0.0030219706,0.7696613994,0.1370641405,4.8105716725,0.4284588594,10.2035153229,0.6237131348,27.3937778321,2.5223870739
NU-125_v2_EQeq,0.1,0.04,0.03,0.03,0.02,0.78,1.7307501402,0.0651406728,9.1309768691,0.9194332538,0.0064564447,0.0026874725,0.7261451214,0.0670602704,9.0887392562,1.3748659901,10.2895745818,0.3808139787,30.9726424134,2.8100016383
NU-125_v2_EQeq,0.1,0.04,0.03,0.03,0.03,0.77,1.6784616164,0.1884709361,9.4200046409,0.8178581293,0.0075764402,0.0017678020,0.7308637539,0.0866209924,12.9837541065,1.7117813241,9.8519540951,0.4546533264,34.6726146530,3.2611525103
NU-125_v2_EQeq,0.1,0.08,0.0,0.0,0.0,0.8200000000000001,1.6951939440,0.1442101942,19.3993714868,2.1740040637,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,10.9652313165,0.6564403066,32.0597967473,2.9746545645
NU-125_v2_EQeq,0.1,0.08,0.0,0.0,0.01,0.81,1.7861759755,0.1663531262,18.9593590581,1.0005067653,0.0000000000,0.0000000000,0.0000000000,0.0000000000,4.7092144087,0.7587237997,10.3728872686,0.5398021610,35.8276367109,2.4653858522
NU-125_v2_EQeq,0.1,0.0,0.0,0.03,0.01,0.86,1.6941481735,0.0391291483,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7287665839,0.1026328528,5.0277658091,1.1917811294,11.5484201241,1.1434363703,18.9991006906,2.4769795008
NU-125_v2_EQeq,0.1,0.08,0.0,0.0,0.02,0.8,1.6826446983,0.2308667122,18.0318818801,1.7162391033,0.0000000000,0.0000000000,0.0000000000,0.0000000000,9.1076741296,1.1377422776,9.9636480268,0.5931182705,38.7858487348,3.6779663636
NU-125_v2_EQeq,0.1,0.08,0.0,0.0,0.03,0.79,1.7140178126,0.1434498272,17.6450735686,0.8937706866,0.0000000000,0.0000000000,0.0000000000,0.0000000000,13.6409055969,2.3574053613,10.2044308469,0.4550955676,43.2044278250,3.8497214427
NU-125_v2_EQeq,0.1,0.08,0.0,0.01,0.0,0.81,1.7412078450,0.1296080526,18.6286307621,1.8117930580,0.0000000000,0.0000000000,0.2590004982,0.0246807600,0.0000000000,0.0000000000,10.5569075988,0.9145603923,31.1857467041,2.8806422629
NU-125_v2_EQeq,0.1,0.08,0.0,0.01,0.01,0.8,1.8070913851,0.0720292209,18.7422287420,1.6530136650,0.0000000000,0.0000000000,0.2621462532,0.0499593265,4.8551243159,0.7080016431,10.2346431399,1.0080647149,35.9012338361,3.4910685704
NU-125_v2_EQeq,0.1,0.08,0.0,0.01,0.02,0.79,1.7338874517,0.1579909668,18.8170020959,2.2176215140,0.0000000000,0.0000000000,0.2191542677,0.0221447650,9.0330484519,0.6371962610,9.9691411710,0.7877636085,39.7722334382,3.8227171153
NU-125_v2_EQeq,0.1,0.08,0.0,0.01,0.03,0.78,1.6993770259,0.0828735989,18.2260050104,0.8291369702,0.0000000000,0.0000000000,0.2348830429,0.0430558762,13.2477285187,0.7889215235,9.9032234408,0.8010620772,43.3112170387,2.5450500460
NU-125_v2_EQeq,0.1,0.08,0.0,0.02,0.0,0.8,1.7548028612,0.2163102355,19.6898372076,1.7964260922,0.0000000000,0.0000000000,0.5012236361,0.0427740435,0.0000000000,0.0000000000,10.2199947554,0.4732683681,32.1658584603,2.5287787393
NU-125_v2_EQeq,0.1,0.08,0.0,0.02,0.01,0.79,1.6889193211,0.0992104986,18.1569834529,1.1736554404,0.0000000000,0.0000000000,0.4592802356,0.0830569355,4.4196222265,1.1017121943,10.0762574826,0.7623055742,34.8010627187,3.2199406430
NU-125_v2_EQeq,0.1,0.08,0.0,0.02,0.02,0.78,1.7129720421,0.0851131256,18.2202532139,1.8888193700,0.0000000000,0.0000000000,0.4755333033,0.0643492966,8.7902365453,0.8431698117,10.0231570888,0.3822726711,39.2221521934,3.2637242750
NU-125_v2_EQeq,0.1,0.08,0.0,0.02,0.03,0.77,1.6857820097,0.0843386497,18.1871803843,2.0787910675,0.0000000000,0.0000000000,0.4508915555,0.0408813699,12.8122264294,1.2394646289,9.6551164285,0.7717905590,42.7911968074,4.2152662750
NU-125_v2_EQeq,0.1,0.0,0.0,0.03,0.02,0.85,1.8185948604,0.2880257700,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7355823865,0.0849677436,9.2747465424,1.4284073580,11.1080530653,0.9310046652,22.9369768546,2.7324055368
NU-125_v2_EQeq,0.1,0.08,0.0,0.03,0.0,0.79,1.6533631249,0.2492709707,18.5711127975,1.7309945182,0.0000000000,0.0000000000,0.6648028981,0.0671913116,0.0000000000,0.0000000000,10.2685175291,0.6322129302,31.1577963496,2.6796697307
NU-125_v2_EQeq,0.1,0.08,0.0,0.03,0.01,0.78,1.6606835182,0.1663531262,18.4043107004,1.7578867627,0.0000000000,0.0000000000,0.7198536113,0.0481207990,4.5521663407,0.6526087875,9.9096321090,0.4684907419,35.2466462796,3.0934602173
