MOF,O2_comp,CO2_comp,H2_comp,CH4_comp,H2S_comp,N2_comp,O2_mass,O2_error,CO2_mass,CO2_error,H2_mass,H2_error,CH4_mass,CH4_error,H2S_mass,H2S_error,N2_mass,N2_error,total_mass,total_error
MOF-177_EQeq,0.1,0.04,0.03,0.01,0.03,0.79,1.2851677471,0.2108772270,3.5797425066,0.5627784136,0.0081183199,0.0044644155,0.1056394422,0.0115823601,3.5926109141,0.8249356148,7.7903635823,0.8337955116,16.3616425122,2.4484335426
MOF-177_EQeq,0.1,0.0,0.0,0.03,0.0,0.87,1.2068038601,0.2756948458,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3727937341,0.1033895585,0.0000000000,0.0000000000,8.8986990665,0.4301885257,10.4782966607,.8092729300
MOF-177_EQeq,0.1,0.04,0.03,0.02,0.0,0.81,1.2764606486,0.1944160773,3.3929733323,0.6113375887,0.0071309567,0.0029437484,0.2793770373,0.0357845343,0.0000000000,0.0000000000,8.0251416628,0.5169403406,12.9810836377,1.3614222893
MOF-177_EQeq,0.1,0.04,0.03,0.02,0.01,0.8,1.2851677471,0.2065179878,3.5629811704,0.3760471935,0.0081183199,0.0025399013,0.2496932271,0.0524994725,1.3168578983,0.2524068026,8.3986522455,0.5288525619,14.8214706083,1.4188639196
MOF-177_EQeq,0.1,0.04,0.03,0.02,0.02,0.79,1.2573050317,0.3262734679,3.3307169409,0.3188881904,0.0076794918,0.0035379453,0.2645351322,0.0994821088,2.3017192279,0.2183230056,8.4306674383,0.7801677485,15.5926232628,1.7466724665
MOF-177_EQeq,0.1,0.04,0.03,0.02,0.03,0.78,1.2242180572,0.1387027409,3.3786064728,0.2562873075,0.0088862691,0.0010749049,0.2409626947,0.1011235376,3.4516514771,0.6357583972,7.9824547391,0.3161926997,16.2867797100,1.4491395878
MOF-177_EQeq,0.1,0.04,0.03,0.03,0.0,0.8,1.3234789808,0.1626154100,3.8144012127,0.4982813163,0.0082280269,0.0036053408,0.3815242666,0.0368755201,0.0000000000,0.0000000000,8.3026066671,0.6327381290,13.8302391541,1.3341157162
MOF-177_EQeq,0.1,0.04,0.03,0.03,0.01,0.79,1.2712363894,0.2575888824,3.4552297237,0.4826162466,0.0073503707,0.0045286550,0.4138272365,0.0623240172,1.1554964375,0.3784011701,8.2004629568,0.5029942411,14.5036031146,1.6884532124
MOF-177_EQeq,0.1,0.04,0.03,0.03,0.02,0.78,1.1928725024,0.1545847204,3.4432573408,0.1814754206,0.0072406637,0.0024432915,0.3727937341,0.0483264740,2.1347935788,0.2759498341,7.8406731710,0.3019345189,14.9916309908,.9647142595
MOF-177_EQeq,0.1,0.04,0.03,0.03,0.03,0.77,1.2990991048,0.1918409162,3.3522672302,0.0502269648,0.0065824215,0.0049550669,0.3963661717,0.1338251368,3.8207426345,0.4971228503,8.0785003175,1.4446074336,16.9535578802,2.3225783686
MOF-177_EQeq,0.1,0.08,0.0,0.0,0.0,0.8200000000000001,1.3548245356,0.3701653757,6.7021399839,0.6029898733,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,8.4855506260,0.5337520418,16.5425151455,1.5069072908
MOF-177_EQeq,0.1,0.08,0.0,0.0,0.01,0.81,1.3217375611,0.2411473349,6.9152484007,1.1260253722,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0905809073,0.1486563038,8.5145167528,0.7977839043,17.8420836219,2.3136129152
MOF-177_EQeq,0.1,0.0,0.0,0.03,0.01,0.86,1.3321860793,0.1569211458,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3658093082,0.0745732622,1.3558072164,0.9274685761,9.0999374212,0.9993031752,12.1537400251,2.1582661593
MOF-177_EQeq,0.1,0.08,0.0,0.0,0.02,0.8,1.3321860793,0.2312878113,6.9942661283,0.8451383068,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.4018746173,0.2807940306,8.2004629568,0.8202157510,18.9287897817,2.1774358997
MOF-177_EQeq,0.1,0.08,0.0,0.0,0.03,0.79,1.2503393529,0.1668858033,7.2025855918,0.8008584612,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.6093034790,0.4332927429,8.1044173783,0.3693525314,20.1666458020,1.7703895388
MOF-177_EQeq,0.1,0.08,0.0,0.01,0.0,0.81,1.2503393529,0.2234452541,6.8697533454,0.9022316629,0.0000000000,0.0000000000,0.1327040927,0.0654731725,0.0000000000,0.0000000000,8.0007491350,0.5859920894,16.2535459260,1.7771421789
MOF-177_EQeq,0.1,0.08,0.0,0.01,0.01,0.8,1.2782020683,0.1760126567,7.9352954293,1.7111647459,0.0000000000,0.0000000000,0.1300849330,0.0485781761,1.1814626496,0.1380995219,7.9351942164,0.3236896258,18.4602392966,2.3975447264
