MOF,O2_comp,CO2_comp,H2_comp,CH4_comp,H2S_comp,N2_comp,O2_mass,O2_error,CO2_mass,CO2_error,H2_mass,H2_error,CH4_mass,CH4_error,H2S_mass,H2S_error,N2_mass,N2_error,total_mass,total_error
IRMOF-1_v2_EQeq,0.1,0.04,0.03,0.01,0.02,0.8,0.8779118140,0.1145202595,3.0499955359,0.4724009018,0.0060543413,0.0019635702,0.0911526935,0.0443506982,1.8202757979,0.4812541254,5.8484196569,0.6975439975,11.6938098395,1.8120335526
IRMOF-1_v2_EQeq,0.1,0.04,0.03,0.01,0.03,0.79,0.9428461197,0.2456405654,3.2678523599,0.3129838605,0.0052361871,0.0060874194,0.0859439681,0.0172753876,2.7553110862,0.5555942154,6.0348778263,0.2952193537,13.0920675473,1.4328008020
IRMOF-1_v2_EQeq,0.1,0.0,0.0,0.03,0.0,0.87,0.8908986751,0.1492980765,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2695515364,0.0491390166,0.0000000000,0.0000000000,6.7829843843,0.3494976668,7.9434345958,.5479347599
IRMOF-1_v2_EQeq,0.1,0.04,0.03,0.02,0.0,0.81,0.9947935644,0.2068787008,3.0499955359,0.1961358589,0.0050725562,0.0028152115,0.1823053870,0.0768176626,0.0000000000,0.0000000000,6.1121897503,0.3963601988,10.3443567938,.8790076326
IRMOF-1_v2_EQeq,0.1,0.04,0.03,0.02,0.01,0.8,0.9506382364,0.1868664464,2.9214242955,0.5892740292,0.0047452945,0.0012245011,0.2083490137,0.0920781253,0.9295025351,0.2718378519,6.0189606655,0.5186440911,11.0336200407,1.6599250450
IRMOF-1_v2_EQeq,0.1,0.04,0.03,0.02,0.02,0.79,0.9246645141,0.2331277230,3.1964238930,0.4812815964,0.0052361871,0.0043416170,0.1862119310,0.0614099661,2.0249876658,0.3779319986,6.0917248292,0.4798695227,12.4292490202,1.6379624238
IRMOF-1_v2_EQeq,0.1,0.04,0.03,0.02,0.03,0.78,0.9999883088,0.2403095750,3.3357094034,0.4161282956,0.0045816637,0.0033693654,0.1783988430,0.0556139681,2.8659661499,0.6792905178,5.6869741687,0.4178993271,13.0716185375,1.8126110490
IRMOF-1_v2_EQeq,0.1,0.04,0.03,0.03,0.0,0.8,0.9428461197,0.2814765468,2.8749957920,0.2082479772,0.0032726169,0.0023140896,0.3047104325,0.0914869273,0.0000000000,0.0000000000,5.9962218644,0.9304143943,10.1220468255,1.5139399352
IRMOF-1_v2_EQeq,0.1,0.04,0.03,0.03,0.01,0.79,0.9999883088,0.1964410322,3.0285669958,0.6967846029,0.0050725562,0.0040612108,0.2903864378,0.0241518658,0.9986619499,0.3082493384,6.0257823059,0.3439502060,11.3484585544,1.5736382561
IRMOF-1_v2_EQeq,0.1,0.04,0.03,0.03,0.02,0.78,0.9766119587,0.1718196578,2.7499959750,0.2422257163,0.0060543413,0.0053374767,0.2851777125,0.0719860164,2.0056230296,0.3653293309,5.9916741042,0.4420928222,12.0151371213,1.2987910203
IRMOF-1_v2_EQeq,0.1,0.04,0.03,0.03,0.03,0.77,0.9895988199,0.3811682466,3.1249954261,0.6487812692,0.0045816637,0.0035247163,0.3229409712,0.0766408668,2.8770316563,0.4253388351,5.8688845779,0.3413547739,13.1880331151,1.8768087079
IRMOF-1_v2_EQeq,0.1,0.08,0.0,0.0,0.0,0.8200000000000001,0.9506382364,0.1596063573,6.4107049027,1.2918485460,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,6.0894509491,0.3156027645,13.4507940882,1.7670576678
IRMOF-1_v2_EQeq,0.1,0.08,0.0,0.0,0.01,0.81,0.9766119587,0.3388152359,6.2392765822,0.6407097646,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9350352883,0.2702567293,6.0598905076,0.3020068922,14.2108143368,1.5517886220
IRMOF-1_v2_EQeq,0.1,0.0,0.0,0.03,0.01,0.86,0.8493407194,0.1213837387,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2890842565,0.0574142368,0.9046051458,0.2338201981,6.6510993376,0.4430274804,8.6941294593,.8556456540
IRMOF-1_v2_EQeq,0.1,0.08,0.0,0.0,0.02,0.8,0.8908986751,0.2736994468,6.3642763993,1.0523524779,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.9419963680,0.3992026162,5.9552920223,0.5437189236,15.1524634647,2.2689734645
IRMOF-1_v2_EQeq,0.1,0.08,0.0,0.0,0.03,0.79,0.9610277254,0.2518245809,6.2928479324,0.9404718001,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.7608438394,0.2344738762,5.9825785837,0.4066114757,15.9972980809,1.8333817329
IRMOF-1_v2_EQeq,0.1,0.08,0.0,0.01,0.0,0.81,0.9116776530,0.2086968788,6.3964192094,0.4294033248,0.0000000000,0.0000000000,0.0846417868,0.0329428716,0.0000000000,0.0000000000,5.9461965018,0.1508321432,13.3389351510,.8218752184
IRMOF-1_v2_EQeq,0.1,0.08,0.0,0.01,0.01,0.8,0.9558329809,0.1631182848,6.1428481519,1.2451930233,0.0000000000,0.0000000000,0.0885483308,0.0440437692,1.0456903520,0.2967124282,6.1099158702,0.6366214610,14.3428356858,2.3856889665
IRMOF-1_v2_EQeq,0.1,0.08,0.0,0.01,0.02,0.79,0.8285617416,0.1637786854,5.9785626781,0.2251979957,0.0000000000,0.0000000000,0.0963614188,0.0191380789,1.9613610041,0.2181055938,5.7529166920,0.6740817791,14.6177635346,1.3003021329
IRMOF-1_v2_EQeq,0.1,0.08,0.0,0.01,0.03,0.78,0.9220671419,0.1478450192,6.2499908522,0.8084364634,0.0000000000,0.0000000000,0.0924548748,0.0483037317,3.0125841093,0.3933316697,5.8006681745,0.6341476184,16.0777651527,2.0320645024
IRMOF-1_v2_EQeq,0.1,0.08,0.0,0.02,0.0,0.8,0.9921961921,0.1947856007,6.4428477128,1.0008655062,0.0000000000,0.0000000000,0.1849097496,0.0619597529,0.0000000000,0.0000000000,5.8325024961,0.5969530813,13.4524561506,1.8545639411
IRMOF-1_v2_EQeq,0.1,0.08,0.0,0.02,0.01,0.79,0.9714172143,0.1328474012,5.9642769847,1.0068627228,0.0000000000,0.0000000000,0.1992337443,0.0672107244,0.9737645606,0.1789398789,5.7460950517,0.3119776777,13.8547875556,1.6978384050
IRMOF-1_v2_EQeq,0.1,0.08,0.0,0.02,0.02,0.78,0.9688198421,0.3263192763,6.4999904863,0.9832771250,0.0000000000,0.0000000000,0.1966293817,0.0523470418,1.9807256403,0.5038755815,5.8620629376,0.5989591869,15.5082282880,2.4647782115
IRMOF-1_v2_EQeq,0.1,0.08,0.0,0.02,0.03,0.77,0.9740145865,0.1184583995,5.7928486642,0.6748383734,0.0000000000,0.0000000000,0.1770966616,0.0999885346,2.8355360074,0.3124903701,5.6596876073,0.6918576858,15.4391835270,1.8976333634
IRMOF-1_v2_EQeq,0.1,0.0,0.0,0.03,0.02,0.85,0.9636250976,0.1287206945,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2981995258,0.1096928372,1.8894352127,0.2203397683,6.3645904431,0.6732221372,9.5158502792,1.1319754372
IRMOF-1_v2_EQeq,0.1,0.08,0.0,0.03,0.0,0.79,0.9792093310,0.0534831677,5.9571341380,0.6927456636,0.0000000000,0.0000000000,0.2747602618,0.0612994170,0.0000000000,0.0000000000,5.5755540430,0.5865729283,12.7866577738,1.3941011766
IRMOF-1_v2_EQeq,0.1,0.08,0.0,0.03,0.01,0.78,0.9142750252,0.1773835997,6.1999909254,0.4729406037,0.0000000000,0.0000000000,0.3073147952,0.1046292777,0.9156706521,0.1927749682,5.8870756188,0.6516799184,14.2243270167,1.5994083677
IRMOF-1_v2_EQeq,0.1,0.08,0.0,0.03,0.02,0.77,0.9246645141,0.3131530531,6.5321332964,0.6330190461,0.0000000000,0.0000000000,0.3021060698,0.0933946387,1.8977343425,0.3117057101,5.7279040108,0.7455275828,15.3845422336,2.0968000308
IRMOF-1_v2_EQeq,0.1,0.08,0.0,0.03,0.03,0.76,1.0051830533,0.2355460056,5.8857056711,0.4842407557,0.0000000000,0.0000000000,0.3073147952,0.0415067109,2.7276473203,0.1597807010,5.6142100050,0.3268064929,15.5400608449,1.2478806661
IRMOF-1_v2_EQeq,0.1,0.08,0.01,0.0,0.0,0.81,0.8753144417,0.1631182848,6.2999907791,0.6049953196,0.0016363085,0.0020697847,0.0000000000,0.0000000000,0.0000000000,0.0000000000,6.0030435047,0.4350188807,13.1799850340,1.2052022698
IRMOF-1_v2_EQeq,0.1,0.08,0.01,0.0,0.01,0.8,0.8727170695,0.2156913951,6.2678479690,1.1552878302,0.0014726776,0.0034941987,0.0000000000,0.0000000000,0.9212034053,0.2044874440,6.0053173848,0.2752804009,14.0685585062,1.8542412689
