MOF,H2_comp,CO2_comp,O2_comp,N2_comp,H2_mass,H2_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
MOF-801_EQeq,0.0,0.02,0.196,0.784,0.0000000000,0.0000000000,65.4783286595,1.9289670362,0.5440585413,0.0203127223,1.7829826524,0.0538682804,67.8053698532,2.0031480389
MOF-801_EQeq,1e-05,0.02,0.195998,0.783992,0.0000000000,0.0000000000,65.2368095017,1.9322240258,0.5399118009,0.0144309773,1.7525858230,0.0831453943,67.5293071256,2.0298003974
MOF-801_EQeq,0.04,0.02,0.188,0.752,0.0008149094,0.0000823437,63.9798971686,1.7833355870,0.5215918727,0.0280075954,1.6901937568,0.1050843937,66.1924977075,1.9165099198
MOF-801_EQeq,0.05,0.02,0.18600000000000003,0.7440000000000001,0.0010059647,0.0001784232,65.7003169341,1.2984822349,0.5177545905,0.0172492370,1.6768375742,0.0584278364,67.8959150635,1.3743377315
MOF-801_EQeq,5e-05,0.02,0.19599,0.78396,0.0000000000,0.0000000000,64.3277511353,1.6058579807,0.5448940786,0.0078789795,1.7801109377,0.0448107984,66.6527561516,1.6585477586
MOF-801_EQeq,0.0001,0.02,0.19598,0.78392,0.0000019495,0.0000077982,65.7306983081,1.3217950491,0.5482671735,0.0311183924,1.7452439863,0.0739888739,68.0242114174,1.4269101136
MOF-801_EQeq,0.0005,0.02,0.1959,0.7836000000000001,0.0000097477,0.0000174373,65.4321608854,0.9170857026,0.5483909568,0.0320048653,1.7678384210,0.0844810213,67.7484000109,1.0335890265
MOF-801_EQeq,0.001,0.02,0.1958,0.7832,0.0000175459,0.0000191016,66.1076571204,2.2057138127,0.5364768143,0.0180352308,1.7754240825,0.0416374574,68.4195755631,2.2654056025
MOF-801_EQeq,0.005,0.02,0.195,0.78,0.0000818808,0.0000264449,65.4774350897,0.7105794830,0.5461319116,0.0109507999,1.7487929922,0.1216951777,67.7724418743,.8432519055
MOF-801_EQeq,0.01,0.02,0.19399999999999998,0.7759999999999999,0.0002183489,0.0000517272,65.0159701027,1.7178054467,0.5418304420,0.0340389441,1.7676487794,0.0508577711,67.3256676730,1.8027538891
MOF-801_EQeq,0.02,0.02,0.192,0.768,0.0004172024,0.0000989478,65.4366287345,1.5854598790,0.5346819565,0.0172993525,1.7663212887,0.0970700376,67.7380491821,1.6999282169
MOF-801_EQeq,0.03,0.02,0.19,0.76,0.0005848632,0.0001299046,64.8246610587,2.4299524903,0.5233557847,0.0217534840,1.6935531212,0.1054692310,67.0421548278,2.5573051099
