MOF	gas_kh	gas_r2	gas_rmse	air_kh	air_r2	air_rmse	kh	pure_air_mass	max_comp
EDUVOO	57.90486278938124	0.993327227172864	0.0014765054863106002	-154.10099419507432	0.04608218517366114	0.19119307999330437	-96.19613140569308	11.933241774324447	0.001
UIO-66	40162.70495254187	0.9977576664264713	0.0832830204978473	-8643.990562495826	0.8451264873861128	0.15184912815229626	31518.714390046043	10.675835278877493	0.0001
MOF-801									
FIDRIV									
KICXAX	825.4655377970375	0.9964736942890816	0.01396938249055433	-137.54642332236924	0.7401956572101998	0.023292216947380536	687.9191144746683	1.1931935543420782	0.001
MgMOF-74	5319.118755419975	0.9968961522729345	0.12149077683105565	-135.02842179906682	0.04498886623944631	0.19373400140999017	5184.0903336209085	13.09779466495212	0.001
LODPUQ	246.04503324287415	0.9978912584655741	0.1532378082367098	-146.63260229171212	0.9415876510148105	0.4893264269886022	99.41243095116204	39.59446757183631	0.05
BAZGAM	18.172195828955733	0.9971424857801157	0.012834374409047526	-18.241507793965724	0.39038289251538805	0.27047286048842956	-0.06931196500999093	17.39879980491312	0.05
JEWCAP									
SADLEQ									
GAGZEV	30.29068792234146	0.9920504299203609	0.03695411806771118	-13.66753683129571	0.37265589190327286	0.22634609806157288	16.62315109104575	14.014384094891376	0.05
YEQRIV									
XUWVUG	1.991769081998919	0.9952339419248964	0.0018151221011528287	-0.6139361711868448	0.041308600123436845	0.024143611741777538	1.3778329108120744	0.3469802190423521	0.05
WIYMOG	20.249783849588248	0.9988076798944946	0.009244066730472737	-9.021617844189707	0.45080780005735277	0.132723901992946	11.22816600539854	9.267143352985167	0.05
XALTIP	50.31594767401624	0.9969204834251078	0.03665012711610242	-10.839698623677991	0.5175053930098055	0.1378571704441001	39.476249050338254	9.07182953124548	0.05
GUPBEZ	114.08075222849027	0.992449222038006	0.06981381996220123	-55.25034374126086	0.8995250206733423	0.13173145385107218	58.830408487229406	6.428318437060818	0.03
OFEREX									
SICZOV									
BIWSEG									
AMIMAL									
ALUKIC									
NU-125	48.2787426903159	0.9916226002607132	0.05825070928776366	-16.077766486951784	0.3971225633900014	0.2373629405577125	32.20097620336412	14.564404085446165	0.05
WUNSEE01	412.52572240309206	0.9988200780166336	0.18898892706704323	-235.41011525206216	0.9342523343770223	0.8220057449354949	177.1156071510299	37.94851680459373	0.05
RAVXIX	39.40948181633846	0.9992941414174056	0.013754615908570607	-14.714389233268294	0.31410978681268664	0.31778834043517146	24.69509258307017	15.411074867074944	0.05
NU-100	25.545415971742948	0.9984716797870357	0.01328020470164057	-12.856424197303374	0.39707838727705136	0.19693378398400624	12.688991774439573	12.89860436545803	0.05
KIFJUF									
SAPBIW	16.674334511077003	0.9978895404884041	0.01018884926709354	-10.400413769275927	0.4334711993744301	0.1461453464634973	6.273920741801076	9.382021070533053	0.05
UKUPUL									
RAVXET									
KINKAV	178.5087103469853	0.9972161566447487	0.121676330156498	-35.88837933136993	0.6514222167514793	0.37907057253157606	142.62033101561536	10.173146492850746	0.05
XAFXOT									
VETTIZ	245.09849002583837	0.9956387567657891	0.21056686404451988	-93.84942727259912	0.8868353378362186	0.43904392623477373	151.24906275323926	25.778819391426367	0.05
HIFTOG	297.60379863183937	0.9929628439911233	0.010775522266319218	-224.79451126769962	-0.07787694108254195	0.40093126241812393	72.80928736413975	13.259804365959075	0.001
RUTNOK									
HABQUY	25.419103300123222	0.9928758161457025	0.029092968199098852	-16.707633579809777	0.42459626829510533	0.24619875148763598	8.711469720313445	13.728684092292012	0.05
NAYZOE	31.934300209262314	0.9967677353286878	0.02402232157907245	-16.293207192776997	0.5379663388668066	0.18653878121964357	15.641093016485318	12.938704447641317	0.05
XUKYEI	20.05680731769912	0.9977511768368517	0.01251897286142912	-10.169350812424016	0.3578119702484487	0.17522257877080472	9.887456505275106	11.784741116202037	0.05
AXUHEH	316.82307102157756	0.9903421474056269	0.08128791806113775	-204.94542125664643	0.7396460744769487	0.300513545384916	111.87764976493114	20.81464197401742	0.008
MOF-177									
XAHQAA	18.303032990489125	0.9964063050705603	0.014528690996806964	-10.635797645373014	0.31855807412458625	0.2337592817477313	7.6672353451161115	15.219257240732528	0.05
TOHSAL	64.32684194788055	0.9990790690670333	0.025866228999279896	-25.171990462288804	0.4422543985484624	0.3293378766368138	39.15485148559175	21.34663494140424	0.05
HKUST-1	531.8753558424578	0.9911943778257023	0.29841881069694515	-101.2658575750179	0.74775175244626	0.3335116469700718	430.6094982674399	16.847807074894654	0.02
ZIF-8	174.9082390595714	0.9931797047327914	0.202429869530359	-19.276656204133666	0.7741794580744252	0.14528286711846133	155.63158285543773	11.03108292984849	0.05
MUDTEL	57.00769162903909	0.9982279881679584	0.03174107809040887	-17.68383263818919	0.5064047243245561	0.21884461838490843	39.3238589908499	13.717239055729022	0.05
XAFFAN	27929.611570072644	0.9963177608443811	0.05866356608954427	-1593.4057156729282	0.03213700865138236	0.18294163849905504	26336.205854399715	13.26470862506608	0.0001
NIBHOW									
IRMOF-1									
RAVXOD									
NIBJAK									
LOFVUY									
