MOF	gas_kh	gas_r2	gas_rmse	air_kh	air_r2	air_rmse	kh	pure_air_mass	max_comp
EDUVOO	0.2852555271448707	0.9955518158380416	0.0002475084545021009	-13.456372385952232	0.35102000981860215	0.19731531032893843	-13.17111685880736	11.930229086914823	0.05
UIO-66	0.07599011793973268	0.992612645464843	8.515315127512763e-05	-8.305471283357937	0.3909921074621949	0.15170290122368976	-8.229481165418203	10.69424437684513	0.05
MOF-801									
FIDRIV	0.15454023918165785	0.9924080655925024	0.00018104080547465146	17.581193173135063	-0.17568209658720568	1.421721917709014	17.73573341231672	21.59433934754645	0.05
KICXAX									
MgMOF-74	0.1377981487765955	0.9938448240724724	0.00014258932012838058	-9.534379377368214	0.4319972172213765	0.15137852885861722	-9.39658122859162	13.216804513948064	0.05
LODPUQ	0.10242129420232035	0.9924822045371572	0.00011608900705849189	-27.90437477466405	0.3474384025753301	0.47886546553736076	-27.80195348046173	39.716669767632624	0.05
BAZGAM	0.7274726117827753	0.9916805529816995	0.0008839850913192302	-16.99373438285221	0.4251965801136457	0.23468810742047425	-16.266261771069434	17.378373556017102	0.05
JEWCAP									
SADLEQ									
GAGZEV									
YEQRIV									
XUWVUG									
WIYMOG	0.23519564969631981	0.9909410320049862	0.000298664071946028	-9.854992309896451	0.4681147908187767	0.14350635116472774	-9.619796660200132	9.234550823304478	0.05
XALTIP	0.19248297747147197	0.9931246807546186	0.00021439670484483137	-7.342454514383643	0.31011832504300973	0.14871168293181816	-7.1499715369121715	9.012761703953084	0.05
GUPBEZ									
OFEREX									
SICZOV	0.26433269843068324	0.996073433104282	0.00021529811903919346	-15.355205006977657	0.30943816737092256	0.24826425813908476	-15.090872308546974	13.59198155524979	0.05
BIWSEG									
AMIMAL									
ALUKIC									
NU-125	0.20985224215021892	0.9927133317664825	0.00023730861079160397	-15.520357144966916	0.3915406445563062	0.2287132946213436	-15.310504902816696	14.571405756866609	0.05
WUNSEE01									
RAVXIX	0.364902361446671	0.9944941410162892	0.00035755369494878367	-12.26476070496809	0.3600270640638731	0.25883569436075743	-11.89985834352142	15.35074352598332	0.05
NU-100	0.33453379661042776	0.9970070083043506	0.000240271199314375	-12.045671979142973	0.30515348263044284	0.20645446662704717	-11.711138182532546	12.899267094462774	0.05
KIFJUF									
SAPBIW	0.29309615128256866	0.9952856440136032	0.00026791214020599653	-8.330294412849867	0.47583458842845416	0.13299247899364505	-8.037198261567298	9.385754161063295	0.05
UKUPUL									
RAVXET									
KINKAV									
XAFXOT									
VETTIZ									
HIFTOG									
RUTNOK									
HABQUY									
NAYZOE	0.2344339901751888	0.996324358738949	0.00018661213904149485	-13.970822979752825	0.46307127637848056	0.1773515629323789	-13.736388989577636	12.926030596196409	0.05
XUKYEI	0.3453264649744729	0.9919988208127962	0.00041551147568590893	-10.093542534237399	0.3442576188559381	0.20922767578482274	-9.748216069262925	11.764280518701307	0.05
AXUHEH									
MOF-177									
XAHQAA									
TOHSAL	0.22526269723975287	0.9958452463035135	0.0001905648776324527	-14.435952156440989	0.336214003701782	0.32988813187158406	-14.210689459201236	21.224019636131356	0.05
HKUST-1									
ZIF-8									
MUDTEL									
XAFFAN									
NIBHOW									
IRMOF-1									
RAVXOD	0.4698293132138644	0.9955172525306458	0.0004168283757492493	-14.947608088264003	0.42489143839979093	0.24671070197154477	-14.477778775050139	14.741884431909822	0.05
NIBJAK									
LOFVUY									
