MOF,O2_comp,CO2_comp,H2_comp,CH4_comp,H2S_comp,N2_comp,O2_mass,O2_error,CO2_mass,CO2_error,H2_mass,H2_error,CH4_mass,CH4_error,H2S_mass,H2S_error,N2_mass,N2_error,total_mass,total_error
IRMOF-1_v2_EQeq,0.15,0.02,3.0000000000000008e-05,1e-05,0.0,0.82996,13.3276363902,0.4712111439,14.3371218727,1.1011072914,0.0000000000,0.0000000000,0.0015626176,0.0041669803,0.0000000000,0.0000000000,57.2599395147,2.1192867159,84.9262603952,3.6957721315
IRMOF-1_v2_EQeq,0.15,0.02,3.0000000000000008e-05,1e-05,1e-05,0.82995,13.2850394856,0.5808681400,14.3885503689,1.0696006875,0.0000000000,0.0000000000,0.0010417451,0.0025517439,0.0099589557,0.0129044871,56.4004128310,1.7940775199,84.0850033863,3.4600025784
IRMOF-1_v2_EQeq,0.15,0.02,3.0000000000000008e-05,1e-05,2e-05,0.82994,13.1801056475,0.5763460706,14.5999786309,1.5867026449,0.0000000000,0.0000000000,0.0015626176,0.0025517439,0.0188113608,0.0179793197,56.9807070365,4.1180659712,84.7811652933,6.3016457503
IRMOF-1_v2_EQeq,0.15,0.02,3.0000000000000008e-05,1e-05,3.0000000000000008e-05,0.8299300000000001,13.0263412115,0.5395576794,13.9871223850,1.1183937150,0.0000000000,0.0000000000,0.0005208725,0.0020834901,0.0188113608,0.0132786076,56.3594829889,1.3858946932,83.3922788187,3.0592081853
IRMOF-1_v2_EQeq,0.15,0.02,3.0000000000000008e-05,1e-05,4e-05,0.8299200000000001,13.0834834005,0.3668298880,13.8628368526,1.3086942732,0.0000654523,0.0002618094,0.0010417451,0.0025517439,0.0320899685,0.0283415248,56.6223435303,3.2318553690,83.6018609493,4.9385346083
IRMOF-1_v2_EQeq,0.15,0.02,3.0000000000000008e-05,1e-05,5e-05,0.82991,13.1343918963,1.0922431706,14.3271218874,0.8919765472,0.0000000000,0.0000000000,0.0015626176,0.0025517439,0.0497947787,0.0528370687,56.3531161246,2.4338810596,83.8659873046,4.4734895900
IRMOF-1_v2_EQeq,0.15,0.02,0.0,2e-05,0.0,0.8299799999999999,13.1759498519,0.7890979278,14.2871219459,0.6138128738,0.0000000000,0.0000000000,0.0010417451,0.0025517439,0.0000000000,0.0000000000,55.8565007074,1.5835653761,83.3206142503,2.9890279216
IRMOF-1_v2_EQeq,0.15,0.02,3.0000000000000008e-05,2e-05,0.0,0.82995,13.3764669882,0.3627702476,14.4571216971,1.3640256530,0.0000000000,0.0000000000,0.0026043627,0.0000000000,0.0000000000,0.0000000000,55.4954085451,1.8831145555,83.3316015931,3.6099104561
IRMOF-1_v2_EQeq,0.15,0.02,3.0000000000000008e-05,2e-05,1e-05,0.82994,13.1437424363,0.4783860454,14.6814070831,0.5772975782,0.0000000000,0.0000000000,0.0015626176,0.0025517439,0.0132786076,0.0227852722,56.5013731081,2.2321378270,84.3413638527,3.3131584667
IRMOF-1_v2_EQeq,0.15,0.02,3.0000000000000008e-05,2e-05,2e-05,0.8299300000000001,13.1562098230,0.6193599515,14.0771222533,1.2736046173,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0232375634,0.0129044871,56.9752497242,2.7774711313,84.2318193639,4.6833401872
IRMOF-1_v2_EQeq,0.15,0.02,3.0000000000000008e-05,2e-05,3.0000000000000008e-05,0.8299200000000001,13.1406255896,0.5882175940,13.7871226777,1.3035067012,0.0000000000,0.0000000000,0.0020834901,0.0020834901,0.0265572153,0.0256184994,56.7178464951,1.5626898270,83.6742354678,3.4821161117
IRMOF-1_v2_EQeq,0.15,0.02,3.0000000000000008e-05,2e-05,4e-05,0.82991,13.0014064380,0.4863079942,14.3628361208,0.9862054728,0.0000000000,0.0000000000,0.0015626176,0.0041669803,0.0354096204,0.0360945895,56.3603925410,1.6266188333,83.7616073378,3.1393938701
IRMOF-1_v2_EQeq,0.15,0.02,3.0000000000000008e-05,2e-05,5e-05,0.8299000000000001,13.2954289746,0.4011795913,13.8156940645,0.7465501618,0.0000000000,0.0000000000,0.0010417451,0.0025517439,0.0387292723,0.0402029811,55.9656469530,1.8265779904,83.1165410095,3.0170624685
IRMOF-1_v2_EQeq,0.15,0.02,3.0000000000000008e-05,3.0000000000000008e-05,0.0,0.82994,13.2923121279,0.6554573681,14.4942644999,0.7720832473,0.0000654523,0.0002618094,0.0036461077,0.0062504704,0.0000000000,0.0000000000,56.8415455734,1.7807756203,84.6318337612,3.2148285155
IRMOF-1_v2_EQeq,0.15,0.02,3.0000000000000008e-05,3.0000000000000008e-05,1e-05,0.8299300000000001,13.0855612983,0.5229949431,14.3099790553,0.7655638969,0.0000000000,0.0000000000,0.0026043627,0.0046588256,0.0088524051,0.0150099831,56.3849504462,1.7169740962,83.7919475676,3.0252017449
IRMOF-1_v2_EQeq,0.15,0.02,3.0000000000000008e-05,3.0000000000000008e-05,2e-05,0.8299200000000001,13.3442595725,0.3926292197,14.3456932888,0.7418993970,0.0000000000,0.0000000000,0.0015626176,0.0041669803,0.0177048102,0.0162629066,57.2117332562,1.8824906215,84.9209535453,3.0374491251
IRMOF-1_v2_EQeq,0.15,0.02,3.0000000000000008e-05,3.0000000000000008e-05,3.0000000000000008e-05,0.82991,13.0315359559,0.7373053639,14.5685501054,0.5925791023,0.0000000000,0.0000000000,0.0062504704,0.0096607463,0.0265572153,0.0256184994,56.0011194828,1.9174944900,83.6340132298,3.2826582019
IRMOF-1_v2_EQeq,0.15,0.02,0.0,2e-05,1e-05,0.8299700000000001,13.1749109031,0.3248040717,13.9899795237,0.4670875613,0.0000000000,0.0000000000,0.0015626176,0.0041669803,0.0121720570,0.0129044871,55.6063738947,2.5049889002,82.7849989961,3.3139520006
IRMOF-1_v2_EQeq,0.15,0.02,3.0000000000000008e-05,3.0000000000000008e-05,4e-05,0.8299,13.2621826100,0.4805293063,14.5556929814,0.8934396443,0.0000000000,0.0000000000,0.0020834901,0.0051034877,0.0243441140,0.0258089741,56.8406360214,3.0285466355,84.6849392169,4.4334280479
IRMOF-1_v2_EQeq,0.15,0.02,3.0000000000000008e-05,3.0000000000000008e-05,5e-05,0.82989,13.2902342301,0.4925801220,14.3728361062,0.7590208161,0.0000000000,0.0000000000,0.0020834901,0.0060743654,0.0343030697,0.0410469138,56.6359868110,2.2441331020,84.3354437071,3.5428553193
IRMOF-1_v2_EQeq,0.15,0.02,3.0000000000000008e-05,4e-05,0.0,0.8299300000000001,13.2704942011,0.3010156076,14.2814076686,0.7082938402,0.0000000000,0.0000000000,0.0057295979,0.0060743654,0.0000000000,0.0000000000,56.6368963630,2.1218225393,84.1945278306,3.1372063525
IRMOF-1_v2_EQeq,0.15,0.02,3.0000000000000008e-05,4e-05,1e-05,0.8299200000000001,13.1395866407,0.5678632716,14.2942647926,0.5720987687,0.0000000000,0.0000000000,0.0046878528,0.0060743654,0.0077458545,0.0150099831,56.7233038074,2.8983209556,84.1695889480,4.0593673444
IRMOF-1_v2_EQeq,0.15,0.02,3.0000000000000008e-05,4e-05,2e-05,0.82991,13.2008846254,0.5216889209,14.4528359891,0.7375956799,0.0000000000,0.0000000000,0.0010417451,0.0025517439,0.0221310127,0.0185161337,56.4531668497,2.0835421426,84.1300602220,3.3638946210
IRMOF-1_v2_EQeq,0.15,0.02,3.0000000000000008e-05,4e-05,3.0000000000000008e-05,0.8299,13.3037405657,0.3365296434,14.4614074051,2.0917416452,0.0000000000,0.0000000000,0.0046878528,0.0038978531,0.0265572153,0.0177048102,56.5050113163,1.7922505547,84.3014043552,4.2421245066
IRMOF-1_v2_EQeq,0.15,0.02,3.0000000000000008e-05,4e-05,4e-05,0.82989,13.0917949917,0.2636065386,14.2056934937,1.4744441233,0.0000000000,0.0000000000,0.0031252352,0.0051034877,0.0265572153,0.0162629066,56.9625159956,3.1437760924,84.2896869315,4.9031931486
IRMOF-1_v2_EQeq,0.15,0.02,3.0000000000000008e-05,4e-05,5e-05,0.82988,13.4585439506,0.2525650353,14.4928359305,0.5016699440,0.0000000000,0.0000000000,0.0036461077,0.0041669803,0.0354096204,0.0227852722,56.3767644778,2.9321655786,84.3672000870,3.7133528104
IRMOF-1_v2_EQeq,0.15,0.02,3.0000000000000008e-05,5e-05,0.0,0.8299200000000001,13.1873782898,0.5994510029,14.4685502518,0.9693071924,0.0000654523,0.0002618094,0.0052087253,0.0032942872,0.0000000000,0.0000000000,56.5559462309,0.7317231739,84.2171489501,2.3040374658
IRMOF-1_v2_EQeq,0.15,0.02,3.0000000000000008e-05,5e-05,1e-05,0.82991,13.2247804499,0.7200268128,14.5342644413,1.0603564931,0.0000000000,0.0000000000,0.0046878528,0.0051034877,0.0143851583,0.0150099831,56.7305802238,1.4491833125,84.5086981261,3.2496800892
IRMOF-1_v2_EQeq,0.15,0.02,0.0,2e-05,2e-05,0.82996,13.3068574124,0.6426921388,14.3228361794,0.9177332233,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0199179115,0.0205234569,56.5604939911,2.4623910659,84.2101054944,4.0433398849
IRMOF-1_v2_EQeq,0.15,0.02,3.0000000000000008e-05,5e-05,2e-05,0.8299000000000001,13.0949118383,0.5709267588,14.1728363989,0.8187285296,0.0000654523,0.0002618094,0.0046878528,0.0083339605,0.0177048102,0.0082806667,56.8406360214,3.5911925345,84.1308423739,4.9977242595
IRMOF-1_v2_EQeq,0.15,0.02,3.0000000000000008e-05,5e-05,3.0000000000000008e-05,0.82989,13.1697161586,0.8876150886,14.3299790260,1.5311011360,0.0001309047,0.0003206497,0.0052087253,0.0093176512,0.0199179115,0.0165613335,56.7851533466,1.6916259662,84.3101060727,4.1365418252
IRMOF-1_v2_EQeq,0.15,0.02,3.0000000000000008e-05,5e-05,4e-05,0.82988,13.0751718094,0.7598403705,13.8428368819,0.8730417232,0.0000654523,0.0002618094,0.0046878528,0.0051034877,0.0486882280,0.0190378170,56.5022826602,3.2583165681,83.4737328846,4.9156017759
IRMOF-1_v2_EQeq,0.15,0.02,3.0000000000000008e-05,5e-05,5e-05,0.8298700000000001,13.1946509320,0.2494342982,14.2342648804,0.8939876884,0.0000000000,0.0000000000,0.0036461077,0.0025517439,0.0320899685,0.0108419377,56.3049098662,1.5483172801,83.7695617548,2.7051329483
IRMOF-1_v2_EQeq,0.15,0.02,4e-05,0.0,0.0,0.82996,13.0782886561,0.6942355697,14.5756929521,0.8190873937,0.0000654523,0.0002618094,0.0000000000,0.0000000000,0.0000000000,0.0000000000,56.7587763372,1.6467524572,84.4128233977,3.1603372300
IRMOF-1_v2_EQeq,0.15,0.02,4e-05,0.0,1e-05,0.82995,12.9546537379,0.3080198749,13.9385510275,0.5035863954,0.0000654523,0.0002618094,0.0000000000,0.0000000000,0.0066393038,0.0129044871,57.2435675778,2.8200185583,84.1434770993,3.6447911251
IRMOF-1_v2_EQeq,0.15,0.02,4e-05,0.0,2e-05,0.82994,13.1801056475,0.5281458654,14.2885505152,0.8072415430,0.0000654523,0.0002618094,0.0000000000,0.0000000000,0.0177048102,0.0162629066,56.2166833177,0.7363350481,83.7031097429,2.0882471725
IRMOF-1_v2_EQeq,0.15,0.02,4e-05,0.0,3.0000000000000008e-05,0.8299300000000001,13.2237415010,0.7395856771,14.6356928643,0.7765427502,0.0000654523,0.0002618094,0.0000000000,0.0000000000,0.0265572153,0.0291928108,57.0061744938,1.2711490170,84.8922315267,2.8167320645
IRMOF-1_v2_EQeq,0.15,0.02,4e-05,0.0,4e-05,0.8299200000000001,13.2029625231,0.4220025728,13.9756938303,0.8855102015,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0420489242,0.0165613335,55.9911144102,1.6632461760,83.2118196878,2.9873202838
IRMOF-1_v2_EQeq,0.15,0.02,4e-05,0.0,5e-05,0.82991,13.0949118383,0.5191585096,13.7156942108,0.8301155705,0.0000654523,0.0002618094,0.0000000000,0.0000000000,0.0320899685,0.0308249338,56.9206766014,1.4165600794,83.7634380713,2.7969209027
IRMOF-1_v2_EQeq,0.15,0.02,0.0,2e-05,3.0000000000000008e-05,0.82995,13.4595828995,0.5725353148,14.4556931278,1.0301322264,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0298768672,0.0248420002,57.4845988701,2.6140684044,85.4297517646,4.2415779458
IRMOF-1_v2_EQeq,0.15,0.02,4e-05,1e-05,0.0,0.82995,13.0003674891,0.6205091273,13.8642654220,1.0643368877,0.0002618094,0.0006412993,0.0005208725,0.0020834901,0.0000000000,0.0000000000,57.4327544034,2.4249578685,84.2981699964,4.1125286729
IRMOF-1_v2_EQeq,0.15,0.02,4e-05,1e-05,1e-05,0.82994,13.1375087429,0.6281646875,14.5085501932,0.8027186914,0.0000654523,0.0002618094,0.0015626176,0.0025517439,0.0088524051,0.0112846466,56.4095083515,1.2434664293,84.0660477626,2.6884480081
IRMOF-1_v2_EQeq,0.15,0.02,4e-05,1e-05,2e-05,0.8299300000000001,13.1790666986,0.6579098229,14.5328358720,0.6286743959,0.0000000000,0.0000000000,0.0005208725,0.0020834901,0.0177048102,0.0177048102,56.3449301562,1.7550970443,84.0750584095,3.0614695634
IRMOF-1_v2_EQeq,0.15,0.02,4e-05,1e-05,3.0000000000000008e-05,0.8299200000000001,13.4564660529,0.4042886429,13.8642654220,0.8692935392,0.0000000000,0.0000000000,0.0010417451,0.0025517439,0.0254506647,0.0258089741,57.4236588830,1.3107071035,84.7708827677,2.6126500036
IRMOF-1_v2_EQeq,0.15,0.02,4e-05,1e-05,4e-05,0.8299099999999999,13.2569878655,0.8186759054,14.3599789821,0.3633849103,0.0001309047,0.0003206497,0.0005208725,0.0020834901,0.0343030697,0.0338539397,56.3640307492,1.2367018325,84.0159524437,2.4550207277
IRMOF-1_v2_EQeq,0.15,0.02,4e-05,1e-05,5e-05,0.8299,13.1780277497,0.6094796895,13.9456938742,1.0731437206,0.0000654523,0.0002618094,0.0005208725,0.0020834901,0.0520078799,0.0165613335,56.7851533466,1.9017652319,83.9614691752,3.6032952750
IRMOF-1_v2_EQeq,0.15,0.02,4e-05,2e-05,0.0,0.82994,13.3712722437,0.5084272381,14.4656931131,0.8058144170,0.0000654523,0.0002618094,0.0020834901,0.0020834901,0.0000000000,0.0000000000,56.2330552545,1.4425048125,84.0721695537,2.7590917671
IRMOF-1_v2_EQeq,0.15,0.02,4e-05,2e-05,1e-05,0.8299300000000001,13.0419254448,0.7539534071,13.9128367794,0.8113167124,0.0000000000,0.0000000000,0.0010417451,0.0041669803,0.0099589557,0.0162629066,57.5000612548,1.4849350160,84.4658241798,3.0706350224
IRMOF-1_v2_EQeq,0.15,0.02,4e-05,2e-05,2e-05,0.8299200000000001,13.1738719542,0.4974384876,14.4485502811,0.9949818786,0.0001309047,0.0005236187,0.0015626176,0.0025517439,0.0177048102,0.0225692932,56.3431110521,2.1772358290,83.9849316199,3.6953008510
