,MOF,CH4_comp,CO2_comp,O2_comp,N2_comp,CH4_mass,CH4_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,HKUST-1_v2_EQeq,0.0,0.04,0.192,0.768,0.0,0.0,28.217706705999998,0.9939095827,3.2159324164,0.05901276230000001,8.6714008178,0.2215488484,40.1050399402,1.2744711934000001
1,HKUST-1_v2_EQeq,1e-05,0.04,0.191998,0.767992,0.0005801705,0.0012404567,28.335228390999998,0.7792161254000001,3.1992352913,0.17836157309999998,8.5994708135,0.3675663192,40.1345146663,1.3263844744
2,HKUST-1_v2_EQeq,5e-05,0.04,0.19199,0.7679600000000001,0.0019062745,0.0008452288,28.764171175500003,2.1162604735,3.2202306862,0.050808351200000004,8.5410005484,0.39337311810000003,40.5273086846,2.5612871716
3,HKUST-1_v2_EQeq,0.0001,0.04,0.19197999999999998,0.7679199999999999,0.003978312,0.002599891,28.58822962,1.324117618,3.1506317787,0.0976166458,8.6162593054,0.2446062033,40.359099016100004,1.6689403581
4,HKUST-1_v2_EQeq,0.0005,0.04,0.1919,0.7676000000000001,0.0192285079,0.0045877736,28.3770542904,0.8861242544,3.2207266404,0.1197322899,8.5149494402,0.2992392145,40.1319588789,1.3096835324
5,HKUST-1_v2_EQeq,0.001,0.04,0.1918,0.7672,0.0346444668,0.0040126973,28.352504306,0.9708573148,3.2061786502999996,0.11403544130000001,8.4501111265,0.2440764192,40.0434385496,1.3329818726
6,HKUST-1_v2_EQeq,0.005,0.04,0.191,0.764,0.17371962289999998,0.0227608956,27.8869638594,1.5189301723,3.1332733814,0.0641945201,8.501634429400001,0.2557749716,39.6955912931,1.8616605596
7,HKUST-1_v2_EQeq,0.01,0.04,0.19,0.76,0.3424663559,0.0335996324,27.6512385454,0.5679603422,3.174768217,0.1261601106,8.579787754,0.15471890160000001,39.7482608723,0.8824389868000001
8,HKUST-1_v2_EQeq,0.02,0.04,0.188,0.752,0.6843525413,0.048135816799999995,27.724433869499997,0.8204919828,3.1102941697000004,0.1361377996,8.374418184400001,0.1126154198,39.893498764899995,1.117381019
9,HKUST-1_v2_EQeq,0.03,0.04,0.18600000000000005,0.7440000000000001,0.97336033,0.0292015883,28.0897285461,1.3266818015000001,3.0225102745,0.0646526825,8.199296846000001,0.3276231116,40.2848959966,1.7481591839
10,HKUST-1_v2_EQeq,0.04,0.04,0.184,0.736,1.37409238,0.0381233276,26.919512618899997,1.1975763605,2.9444801454,0.1168198826,8.1935077109,0.2007640855,39.4315928552,1.5532836562
11,HKUST-1_v2_EQeq,0.05,0.04,0.182,0.728,1.6385672449000002,0.09077094640000001,26.909738088,1.4325177961000002,2.9026546737,0.1473450569,7.976994056100001,0.1209589884,39.4279540627,1.7915927878
