MOF,O2_comp,CO2_comp,H2_comp,CH4_comp,H2S_comp,N2_comp,O2_mass,O2_error,CO2_mass,CO2_error,H2_mass,H2_error,CH4_mass,CH4_error,H2S_mass,H2S_error,N2_mass,N2_error,total_mass,total_error
NU-125_v2_EQeq,0.15,0.02,3.000000000000001e-05,1e-05,3.000000000000001e-05,0.8299300000000001,2.7139835432,0.1618501369,5.5136720798,0.2214673188,0.0000263528,0.0001054113,0.0000000000,0.0000000000,0.0133657930,0.0164302031,11.0943202048,0.5716296271,19.3353679736,.9714826972
NU-125_v2_EQeq,0.15,0.02,3.000000000000001e-05,1e-05,4e-05,0.8299200000000001,2.6696428749,0.1330877602,5.3330656712,0.3237111861,0.0000527057,0.0001291020,0.0002097170,0.0008388680,0.0200486895,0.0129125828,11.1357018910,0.6464677448,19.1587215493,1.1171472439
NU-125_v2_EQeq,0.15,0.02,3.000000000000001e-05,1e-05,5e-05,0.82991,2.7311341790,0.0950729031,5.2715214492,0.3829849984,0.0000263528,0.0001054113,0.0004194340,0.0010273993,0.0191576367,0.0179542178,11.3012286358,0.5023456246,19.3234876875,.9994905545
NU-125_v2_EQeq,0.15,0.02,0.0,2e-05,0.0,0.8299799999999999,2.7474481985,0.1663920408,4.8706212364,0.1961556556,0.0000000000,0.0000000000,0.0004194340,0.0010273993,0.0000000000,0.0000000000,11.2690021899,0.6945311809,18.8874910588,1.0581062766
NU-125_v2_EQeq,0.15,0.02,3.000000000000001e-05,2e-05,0.0,0.82995,2.7047807630,0.0957697396,5.2347099519,0.7591970425,0.0000263528,0.0001054113,0.0012583020,0.0015693783,0.0000000000,0.0000000000,11.1646324504,0.5300185511,19.1054078201,1.3866601228
NU-125_v2_EQeq,0.15,0.02,3.000000000000001e-05,2e-05,1e-05,0.82994,2.6934864418,0.2256911282,5.2249318979,0.6291781797,0.0000000000,0.0000000000,0.0004194340,0.0010273993,0.0026731586,0.0051956864,11.2115072808,0.3799413697,19.1330182131,1.2410337633
NU-125_v2_EQeq,0.15,0.02,3.000000000000001e-05,2e-05,2e-05,0.8299300000000001,2.7507946640,0.1315750497,5.0868887830,0.2915065826,0.0000000000,0.0000000000,0.0008388680,0.0015693783,0.0080194758,0.0095969331,11.0576992436,0.4676426489,18.9042410344,.9018905926
NU-125_v2_EQeq,0.15,0.02,3.000000000000001e-05,2e-05,3.000000000000001e-05,0.8299200000000001,2.7466115821,0.1581050025,5.2398865687,0.4324341191,0.0000000000,0.0000000000,0.0004194340,0.0010273993,0.0160389516,0.0193995941,11.1624351927,0.6650447222,19.1653917291,1.2760108372
NU-125_v2_EQeq,0.15,0.02,3.000000000000001e-05,2e-05,4e-05,0.82991,2.6813555043,0.1336493034,5.1645380351,0.3151102671,0.0000000000,0.0000000000,0.0006291510,0.0025166040,0.0236129010,0.0103913728,11.0917567375,0.5057013982,18.9618923289,.9673689455
NU-125_v2_EQeq,0.15,0.02,3.000000000000001e-05,2e-05,5e-05,0.8299000000000001,2.7261144807,0.2028100302,5.3319153119,0.3741056139,0.0000000000,0.0000000000,0.0002097170,0.0008388680,0.0240584274,0.0162845854,11.1474205986,0.8265084036,19.2297185356,1.4205475011
NU-125_v2_EQeq,0.15,0.02,3.000000000000001e-05,3.000000000000001e-05,0.0,0.82994,2.7340623363,0.1473347721,5.0799866273,0.2820984974,0.0000000000,0.0000000000,0.0008388680,0.0008388680,0.0000000000,0.0000000000,11.1723228522,0.7446135643,18.9872106838,1.1748857018
