MOF,H2_comp,CO2_comp,O2_comp,N2_comp,H2_mass,H2_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
MgMOF-74_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,40.4525272090,1.5635317658,2.7442522395,0.0535462211,9.2820013078,0.1590819766,52.4787807563,1.7761599635
MgMOF-74_EQeq,1e-05,0.05,0.189998,0.759992,0.0000028839,0.0000115358,40.2718110839,2.1956710806,2.7365615398,0.0186769648,9.3063678287,0.1790631946,52.3147433363,2.3934227758
MgMOF-74_EQeq,0.04,0.05,0.182,0.728,0.0050642142,0.0002620429,40.3481638041,1.1742806895,2.6454175925,0.0511621656,8.9222745131,0.1346431091,51.9209201239,1.3603480071
MgMOF-74_EQeq,0.05,0.05,0.18,0.72,0.0065292603,0.0003797187,40.3695022807,0.5371517492,2.5772999664,0.0713872250,8.8428829378,0.2198653254,51.7962144452,.8287840183
MgMOF-74_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0000057679,0.0000141284,39.9687921269,1.1958307107,2.7426957884,0.0536033302,9.3084918839,0.2505972118,52.0199855671,1.5000453811
MgMOF-74_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0000173037,0.0000336323,40.8409000725,0.9720849987,2.7345930869,0.0709811963,9.2643676414,0.0401874531,52.8398781045,1.0832872804
MgMOF-74_EQeq,0.0005,0.05,0.1899,0.7596,0.0000778666,0.0000431630,40.5083597422,0.9409156447,2.7473193638,0.0886105512,9.3436389872,0.1558315890,52.5993959598,1.1854009479
MgMOF-74_EQeq,0.001,0.05,0.1898,0.7592,0.0001413135,0.0000528637,40.7346483069,1.1568418955,2.7420548968,0.0488924199,9.2856081941,0.1338590623,52.7624527113,1.3396462414
MgMOF-74_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,0.0006171651,0.0002443030,40.6706958224,0.6896444261,2.7288250621,0.0366315341,9.2204437814,0.1169677963,52.6205818310,.8434880595
MgMOF-74_EQeq,0.01,0.05,0.188,0.752,0.0012516338,0.0002191801,40.5083597422,0.8880158100,2.7061191867,0.0549727719,9.1491476620,0.1202029834,52.3648782247,1.0634107454
MgMOF-74_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,0.0026013219,0.0002131783,40.7043086440,1.3244154266,2.6918364587,0.0529978474,9.0698362397,0.1837618280,52.4685826643,1.5613882803
MgMOF-74_EQeq,0.03,0.05,0.184,0.736,0.0038327681,0.0005111672,39.9169880966,1.7544566255,2.6385051184,0.0460887591,9.0053130513,0.1177143770,51.5646390344,1.9187709288
