MOF,H2_comp,CO2_comp,O2_comp,N2_comp,H2_mass,H2_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
MOF-177_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,4.3179596402,0.1540569842,2.5034649773,0.0591918781,7.7661235077,0.1371381617,14.5875481252,.3503870240
MOF-177_EQeq,1e-05,0.05,0.189998,0.759992,0.0000000000,0.0000000000,4.3447777781,0.1242731045,2.5003304219,0.0339036127,7.8405207177,0.1928046683,14.6856289177,.3509813855
MOF-177_EQeq,0.04,0.05,0.182,0.728,0.0098078081,0.0017951771,4.1910523808,0.3677329852,2.3707687953,0.0783244049,7.4831701847,0.2608778430,14.0547991689,.7087304102
MOF-177_EQeq,0.05,0.05,0.18,0.72,0.0125395130,0.0019705776,4.3538767891,0.1212806531,2.3187003459,0.0718174664,7.4694493877,0.0823191349,14.1545660357,.2773878320
MOF-177_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0000109707,0.0000438828,4.3100578675,0.1580789851,2.4587104908,0.0627529962,7.9018069439,0.0763874706,14.6705862729,.2972633347
MOF-177_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0000219414,0.0000877656,4.3136495824,0.2349419630,2.4860507802,0.0852292865,7.7138320261,0.1189354620,14.5135543301,.4391944771
MOF-177_EQeq,0.0005,0.05,0.1899,0.7596,0.0000658242,0.0000438828,4.2607316496,0.1852798890,2.4560983612,0.0996992822,7.7891439559,0.1406065793,14.5060397909,.4256296333
MOF-177_EQeq,0.001,0.05,0.1898,0.7592,0.0002413555,0.0002034762,4.2789296718,0.1703279245,2.4639347499,0.0714567978,7.7438653261,0.1606079406,14.4869711033,.4025961391
MOF-177_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,0.0013603671,0.0004570980,4.3117340011,0.2214112831,2.4677658733,0.0627239945,7.8098776045,0.2182769242,14.5907378460,.5028692998
MOF-177_EQeq,0.01,0.05,0.188,0.752,0.0026110272,0.0008820336,4.2533087722,0.1245183084,2.4200509732,0.1069044498,7.6354710304,0.3214291170,14.3114418030,.5537339088
MOF-177_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,0.0053646735,0.0008103481,4.3102973151,0.2136130807,2.4212699670,0.0980491983,7.6036082909,0.1712587377,14.3405402465,.4837313648
MOF-177_EQeq,0.03,0.05,0.184,0.736,0.0071090153,0.0014514534,4.2667178411,0.2547408013,2.3841777271,0.0659940633,7.5839418153,0.1272209764,14.2419463988,.4494072944
